"","source","target","weight"
"1634","1785_Moritz,KarlPhilipp_AntonReiser_Novel_143000.txt",218,0.549873286050413
"1635","1785_Moritz,KarlPhilipp_AntonReiser_Novel_144000.txt",218,0.682369903954858
"1636","1785_Moritz,KarlPhilipp_AntonReiser_Novel_145000.txt",218,0.585438934377787
"21813","1785_Moritz,KarlPhilipp_AntonReiser_Novel_146000.txt",218,0.393713374282068
"2661","1785_Moritz,KarlPhilipp_AntonReiser_Novel_146000.txt",266,0.234741003314589
"1637","1785_Moritz,KarlPhilipp_AntonReiser_Novel_147000.txt",218,0.355579013714669
"1638","1785_Moritz,KarlPhilipp_AntonReiser_Novel_148000.txt",218,0.525631241077577
"1640","1785_Moritz,KarlPhilipp_AntonReiser_Novel_15000.txt",218,0.382292666207132
"1642","1785_Moritz,KarlPhilipp_AntonReiser_Novel_150000.txt",218,0.559983563312754
"1643","1785_Moritz,KarlPhilipp_AntonReiser_Novel_151000.txt",218,0.441549439269707
"21814","1785_Moritz,KarlPhilipp_AntonReiser_Novel_152000.txt",218,0.203726158415342
"1644","1785_Moritz,KarlPhilipp_AntonReiser_Novel_153000.txt",218,0.294594115695422
"1645","1785_Moritz,KarlPhilipp_AntonReiser_Novel_16000.txt",218,0.576955476092677
"21815","1785_Moritz,KarlPhilipp_AntonReiser_Novel_17000.txt",218,0.43549360846481
"1646","1785_Moritz,KarlPhilipp_AntonReiser_Novel_18000.txt",218,0.390214058200929
"1647","1785_Moritz,KarlPhilipp_AntonReiser_Novel_19000.txt",218,0.407265446256568
"1648","1785_Moritz,KarlPhilipp_AntonReiser_Novel_2000.txt",218,0.504545640960307
"1649","1785_Moritz,KarlPhilipp_AntonReiser_Novel_20000.txt",218,0.511567154500566
"21816","1785_Moritz,KarlPhilipp_AntonReiser_Novel_22000.txt",218,0.251909486784582
"1651","1785_Moritz,KarlPhilipp_AntonReiser_Novel_23000.txt",218,0.661511980623221
"1652","1785_Moritz,KarlPhilipp_AntonReiser_Novel_24000.txt",218,0.430852515513738
"21817","1785_Moritz,KarlPhilipp_AntonReiser_Novel_25000.txt",218,0.349971332947108
"1653","1785_Moritz,KarlPhilipp_AntonReiser_Novel_26000.txt",218,0.588268816457167
"21818","1785_Moritz,KarlPhilipp_AntonReiser_Novel_27000.txt",218,0.480686209180712
"1654","1785_Moritz,KarlPhilipp_AntonReiser_Novel_28000.txt",218,0.562277623594248
"1655","1785_Moritz,KarlPhilipp_AntonReiser_Novel_29000.txt",218,0.505767016432629
"1656","1785_Moritz,KarlPhilipp_AntonReiser_Novel_3000.txt",218,0.319444713298756
"21819","1785_Moritz,KarlPhilipp_AntonReiser_Novel_30000.txt",218,0.279701218226451
"1657","1785_Moritz,KarlPhilipp_AntonReiser_Novel_31000.txt",218,0.436482880770475
"1658","1785_Moritz,KarlPhilipp_AntonReiser_Novel_32000.txt",218,0.399364141747808
"1659","1785_Moritz,KarlPhilipp_AntonReiser_Novel_33000.txt",218,0.425003299213127
"1660","1785_Moritz,KarlPhilipp_AntonReiser_Novel_34000.txt",218,0.5400255254066
"1661","1785_Moritz,KarlPhilipp_AntonReiser_Novel_35000.txt",218,0.718804004516695
"1662","1785_Moritz,KarlPhilipp_AntonReiser_Novel_36000.txt",218,0.823605077149216
"1663","1785_Moritz,KarlPhilipp_AntonReiser_Novel_37000.txt",218,0.49173590540791
"1664","1785_Moritz,KarlPhilipp_AntonReiser_Novel_38000.txt",218,0.673601592612554
"21820","1785_Moritz,KarlPhilipp_AntonReiser_Novel_39000.txt",218,0.587672955876328
