topic.no,no.tokens,no.docs,no.novels,heterogeneity,avg.date,sd.date,coherence.total,sim.score,tokens.per,docs.per,novels.per,het.per,avg.date.per,sd.date.per,coherence.per,sim.per
236,193439,10,9,0.8,1829,35,89.8016441143,0.7362886799,10,5,54,86,40,89,14,11
238,190276,32,7,0.28125,1793,15,113.5597709383,0.816331895,8,40,44,28,7,44,34,94
239,370931,22,11,0.7272727273,1869,42,118.8878527296,0.7350821263,94,16,66,73,82,96,39,10
240,220010,18,11,0.7222222222,1819,41,137.6706483621,0.7789551292,19,12,66,72,32,95,63,58
241,311741,85,1,0,1884,0,80.1262059148,0.7904907307,71,81,5,5,89,7,10,72
242,335104,199,3,0.4170854271,1869,2,132.6646040014,0.8214968223,82,98,21,38,82,17,54,95
243,243821,98,12,0.6428571429,1898,19,100.9239138688,0.7872483148,30,86,71,61,94,53,23,70
245,290983,57,9,0.5964912281,1909,8,135.0031563735,0.7595452025,57,67,54,57,97,31,58,39
246,376532,27,17,0.7777777778,1849,38,126.0190796448,0.7392901704,96,27,87,82,59,94,45,14
247,269981,89,4,0.0337078652,1799,1,93.2912733544,0.7845765317,44,84,28,12,13,14,17,66
248,226788,39,11,0.5641025641,1864,8,125.1887187702,0.7884820939,21,49,67,53,75,31,43,70
249,292518,175,4,0.2685714286,1797,3,138.7490283074,0.784584466,58,98,28,27,11,20,65,66
250,155065,22,3,0.3636363636,1867,67,178.1391432417,0.7417522836,4,17,21,34,80,100,94,17
252,295066,38,7,0.1842105263,1864,8,73.0077538122,0.8080392785,60,48,45,23,76,32,6,89
253,340063,90,1,0,1787,0,110.6516670288,0.8390749076,85,84,6,6,4,7,31,100
254,144683,18,14,0.8333333333,1857,40,144.1568992343,0.7910608666,4,12,81,93,68,94,72,73
255,340229,83,7,0.3734939759,1791,6,122.9323196116,0.7617922093,86,80,45,34,6,28,41,41
256,281610,74,6,0.6891891892,1875,18,111.6658181849,0.7780174448,49,76,38,65,86,49,32,57
257,223931,25,18,0.88,1813,32,173.4112079192,0.7331331949,20,22,91,99,23,83,91,9
258,294329,171,2,0.2748538012,1788,0,107.9221870175,0.7297268597,59,97,15,27,5,7,28,7
259,240801,82,4,0.3048780488,1819,5,174.8083446512,0.7566976635,28,80,29,29,32,24,93,35
260,338399,31,17,0.7741935484,1857,34,129.7359653862,0.7483691449,84,37,87,79,68,86,51,25
261,249951,57,9,0.2631578947,1799,12,130.506150726,0.7567914267,32,67,55,26,13,39,52,35
262,294333,34,17,0.8529411765,1800,21,143.9067120108,0.7155083138,60,44,88,96,14,57,72,2
263,188339,22,14,0.7727272727,1846,35,171.2567857256,0.7516280495,8,17,81,78,56,90,90,29
264,325949,107,1,0,1774,0,139.7472086711,0.8018979386,78,89,6,6,1,8,65,83
265,366350,60,3,0.0333333333,1903,1,57.7503315402,0.7783595215,93,68,22,12,95,14,4,57
266,219118,77,13,0.4545454545,1803,14,206.5540559608,0.7325762345,19,77,75,43,16,43,99,8
267,305941,28,13,0.7857142857,1872,22,112.7619966992,0.8043308947,68,31,75,83,83,59,33,86
268,335627,114,2,0.4035087719,1913,1,111.4204462606,0.8309457354,83,90,15,36,99,15,32,98
269,227867,34,1,0,1849,0,162.062561881,0.8007544359,23,44,6,6,59,8,84,82
270,323243,38,20,0.8157894737,1827,32,143.1940350848,0.7801621931,77,48,95,89,39,83,70,61
271,358476,243,5,0.4855967078,1848,3,87.6037862168,0.7792538431,91,100,33,46,58,20,14,59
272,301019,29,18,0.8275862069,1859,33,135.8128930008,0.764296508,64,33,91,90,70,84,61,43
273,303677,60,9,0.6333333333,1808,11,125.4122419712,0.7682801279,66,69,55,60,19,37,44,46
275,304945,50,8,0.16,1912,22,123.7558568266,0.7982627191,66,61,50,22,98,59,41,80
276,252718,18,10,0.6666666667,1868,43,156.1108876773,0.7290776669,33,13,61,64,81,97,81,6
277,106986,7,6,0.7142857143,1828,31,40.1065609406,0.741518885,1,2,38,72,40,78,2,16
278,395032,53,12,0.5094339623,1803,18,131.4791960185,0.8132636888,98,63,71,49,16,50,52,93
279,231527,27,17,0.8518518519,1825,29,136.9882399163,0.753076643,24,28,88,95,37,74,62,31
280,289310,41,15,0.756097561,1850,15,158.3593089828,0.7489055773,56,53,82,76,60,45,82,25
281,200651,27,4,0.4444444444,1814,33,127.2714659524,0.7404942825,12,28,29,42,23,85,48,15
282,377245,33,26,0.8787878788,1837,27,102.7306562479,0.7518990351,96,41,100,99,49,71,24,30
283,384949,35,22,0.8285714286,1854,40,133.869124199,0.7510465666,98,45,98,90,62,95,56,28
284,133268,24,10,0.4583333333,1803,16,221.6400887415,0.7573573169,2,20,61,44,17,47,100,36
285,331886,64,13,0.4375,1894,15,79.3577183102,0.7845564327,81,72,76,41,93,45,9,67
286,209871,30,13,0.7333333333,1833,26,144.1476028476,0.7477889028,16,36,76,74,45,67,72,23
287,226844,72,8,0.3888888889,1802,3,113.92242738,0.8380692797,22,75,50,36,15,20,35,100
288,262401,123,1,0,1780,0,155.8817031877,0.7576759032,41,92,7,7,3,8,81,37
