"Austen","PROTAG.NAME","PROTAG.GENDER","Combination","Combination_Class","Combination_Class2","STORY.ID","Short_Title","Author_Gender","Canonicity","PUB..DATE","GENRE","PREDICATE","AGENT","PATIENT","POSESSOR","AFFECT","COGITATION","SOCIABILITY","POLARITY","COMMUNICATIVENESS","DESCRIPTIVENESS","ABSTRACTION","DISTINCTIVENESS_SKEW","DISTINCTIVENESS_SKEW.woSaid.","DEPTH","CLASS.SIMILARITY","HOMOGENEITY","DISTINCTIVENESS_KL","EMBODIMENT","CLOTHES","MOTION","PHYSICAL","PERCEPTION","VALUATION","CENTRALITY","ENSEMBLE","MENTIONS","POPULATION","SOCIO","COMM","COG_PER","COG_PER_RATIO"
"","Antonia","F","m_F","All","Mixed","Chadwyck_1796_Lewis_TheMonk","1796_Lewis_TheMonk","m","can",1796,"rom",0.037647059,0.443921569,0.131764706,0.386666667,0.1651,0.0753,0.006880734,0.125,0.012996942,0.01911315,0.554281346,5.219332914,5.357656084,0.834880091,0.628775427,0.536189464,0.966898547,0.066513762,0.00382263,0.029816514,0.008409786,0.03058104,0.008409786,1.156193896,3,981.617535,0.762125415,-0.068419266,-0.017584098,0.10588104,2.46230998030152
"","Eliza","F","f_F","Female_Female","Female_Female","Chadwyck_1797_Foster_TheCoquetteor","1797_Foster_TheCoquetteor","f","non",1797,"rom",0.060367454,0.434383202,0.162729659,0.342519685,0.1658,0.0722,0.003797468,0.875,0.034177215,0.032911392,0.516455696,6.333417737,5.379282599,0.772460426,0.769825295,0.353696073,0.869136453,0.02278481,0.002531646,0.039240506,0.002531646,0.027848101,0.003797468,2.151761518,3,1525.837385,1.921709553,-0.068402532,0.006329114,0.100048101,2.59263638838426
"","Vivaldi","M","f_M","All","Mixed","Chadwyck_1797_Radcliffe_TheItalianor","1797_Radcliffe_TheItalianor","f","can",1797,"rom",0.033055941,0.574202497,0.131761442,0.26098012,0.1077,0.1273,0.010369702,0.375,0.046889089,0.010820559,0.53336339,12.4080333,5.353978643,0.878442308,0.879068989,0.57162165,1.116231006,0.019161407,0.003381425,0.036744815,0.002028855,0.054102795,0.009693418,1.160601915,2,2473.97428,0.583209401,-0.116930298,-0.007213706,0.181402795,2.35292834686267
"","Lady Aubrey","F","f_F","Female_Female","Female_Female","Chadwyck_1797_Robinson_WalsinghamorThe","1797_Robinson_WalsinghamorThe","f","can",1797,"rom",0.064485082,0.428296439,0.113570741,0.393647738,0.1496,0.0554,0.005602241,0,0.032679739,0.019607843,0.527544351,6.607070504,4.167126248,0.755987273,0.762686102,0.628643886,0.900009487,0.029878618,0.000933707,0.028011205,0.001867414,0.026143791,0.007469655,1.240659341,2,590.1848444,0.522750084,-0.049797759,0.006535948,0.081543791,2.11904998781546
"","Dey","M","m_M","All","Male_Male","Chadwyck_1797_Tyler_TheAlgerineCaptive","1797_Tyler_TheAlgerineCaptive","m","non",1797,"rom",0.237288136,0.322033898,0.101694915,0.338983051,0.1333,0.0167,0,0.5,0.032786885,0.131147541,0.62295082,2.746641704,3.032629238,0.908908441,0.244274688,0.021769857,1.616602971,0.016393443,0,0.016393443,0.016393443,0,0.016393443,1.534883721,2,117.7814262,1.784567064,-0.0167,0.032786885,0.0167,0
"","Wieland","M","m_M","All","Male_Male","Chadwyck_1798_Brown_Wieland1798","1798_Brown_Wieland1798","m","can",1798,"rom",0.131578947,0.618421053,0.092105263,0.157894737,0.0674,0.0674,0,0.625,0,0.021978022,0.450549451,2.768966026,2.768966026,0.811314456,0.2731201,0.150527957,1.717997301,0.010989011,0,0.076923077,0.010989011,0.032967033,0.010989011,2.185185185,3,163.6821147,1.221508319,-0.0674,-0.032967033,0.100367033,2.0444666646222
"","Juliana","F","f_F","Female_Female","Female_Female","Chadwyck_1798_Foster_TheBoardingSchool","1798_Foster_TheBoardingSchool","f","non",1798,"rom",0.1,0.442857143,0.1,0.357142857,0.0704,0.0563,0,0.5,0.042253521,0.042253521,0.478873239,3.989340986,4.529756669,0.811717577,0.468164754,0.052388721,2.493272379,0,0,0.028169014,0,0.028169014,0.028169014,1.014285714,2,155.9645292,2.228064703,-0.0563,0.014084507,0.084469014,1.99865000599595
"","Rachel","F","f_F","Female_Female","Female_Female","Chadwyck_1798_Rowson_ReubenandRachel","1798_Rowson_ReubenandRachel","f","non",1798,"rom",0.059349075,0.495213784,0.111040204,0.334396937,0.1194,0.0835,0.006188119,0.25,0.0625,0.025371287,0.564356436,14.15967744,4.910937438,0.865676254,0.906219133,0.627812791,1.050853232,0.058168317,0.006188119,0.041460396,0.004950495,0.030940594,0.01299505,2.253665689,3,1241.217799,0.80755875,-0.077311881,0.031559406,0.114440594,2.69872000518154
"","Maria","F","f_F","Female_Female","Female_Female","Chadwyck_1798_Shelley_TheWrongsof","1798_Shelley_TheWrongsof","f","can",1798,"rom",0.024752475,0.52640264,0.095709571,0.353135314,0.1131,0.1242,0,0.25,0.012841092,0.004815409,0.540930979,4.477677813,4.522887314,0.947441229,0.560366654,0.26226235,1.093692892,0.04975923,0.001605136,0.035313002,0,0.038523275,0.011235955,2.34,4,1222.979471,2.090563198,-0.1242,-0.025682183,0.162723275,3.22402495634133
"","Clarice","F","m_F","All","Mixed","Chadwyck_1799_Brown_EdgarHuntlyvolume","1799_Brown_EdgarHuntlyvolume","m","can",1799,"rom",0.16,0.68,0.08,0.08,0.1481,0.0741,0,0.125,0,0.071428571,0.392857143,2.338738329,2.338738329,0.83980533,0.14847306,0.009462517,3.67798892,0,0,0.035714286,0,0,0,1.210526316,5,130.4012803,2.963665461,-0.0741,0,0.0741,0
"","Ormond","M","m_M","All","Male_Male","Chadwyck_1799_Brown_OrmondorThe","1799_Brown_OrmondorThe","m","can",1799,"rom",0.301470588,0.411764706,0.154411765,0.132352941,0.1056,0.0561,0.043046358,0.625,0.013245033,0.109271523,0.394039735,7.743098436,8.039540413,0.797108716,0.506096822,0.294001039,0.791883681,0.006622517,0.003311258,0.023178808,0.003311258,0.023178808,0.026490066,1.547045952,3,750.3236899,1.061278204,-0.013053642,-0.009933775,0.079278808,2.42031428018214
"","Marguerite","F","m_F","All","Mixed","Chadwyck_1799_Godwin_StLeonA","1799_Godwin_StLeonA","m","can",1799,"rom",0.111683849,0.493127148,0.111683849,0.283505155,0.1651,0.0849,0.012841092,0.125,0.020866774,0.04975923,0.495987159,4.024038692,3.525455608,0.808702492,0.702451682,0.163966815,0.755827023,0.035313002,0,0.02247191,0.012841092,0.041733547,0.016051364,1.566079295,3,383.3462733,0.539164941,-0.072058908,-0.020866773,0.126633547,2.03433463251997
"","William","M","f_M","All","Mixed","Chadwyck_1799_Hays_TheVictimof","1799_Hays_TheVictimof","f","non",1799,"rom",0.055555556,0.423611111,0.152777778,0.368055556,0.1577,0.0638,0.010033445,0.5,0.033444816,0.02006689,0.548494983,4.588581797,3.739366833,0.796844109,0.586491426,0.182914114,0.997183048,0.063545151,0.003344482,0.013377926,0,0.030100334,0.003344482,1.87283237,3,676.7765384,2.088816477,-0.053766555,0.003344482,0.093900334,2.11957780933594
"","Mervyn","M","m_M","All","Male_Male","Chadwyck_1800_Brown_ArthurMervynor","1800_Brown_ArthurMervynor","m","can",1800,"rom",0.071129707,0.422594142,0.154811716,0.351464435,0.122,0.0813,0.008064516,1.375,0.040322581,0.016129032,0.572580645,4.732499897,3.634532814,0.866393415,0.668849484,0.12457119,1.282165595,0.036290323,0,0.036290323,0.004032258,0.016129032,0.012096774,1.614035088,2,357.2491813,1.294381092,-0.073235484,0.024193549,0.097429032,5.0406000806496
"","miss Clifford","F","m_F","All","Mixed","Chadwyck_1800_Moore_MordauntSketchesof","1800_Moore_MordauntSketchesof","m","non",1800,"rom",0.140540541,0.428828829,0.165765766,0.264864865,0.257,0.0559,0,0.5,0.006980803,0.083769634,0.502617801,9.419754972,9.425753161,0.854366322,0.316083812,0.278557804,1.606964764,0.013961606,0,0.026178011,0.006980803,0.015706806,0.012216405,1.315315315,3,297.5962984,0.509582703,-0.0559,-0.008726003,0.071606806,3.55896673072807
"","miss Wilmot","F","m_F","All","Mixed","Chadwyck_1801_Brown_ClaraHowardIn","1801_Brown_ClaraHowardIn","m","can",1801,"rom",0.22826087,0.434782609,0.086956522,0.25,0.2243,0.0654,0,0.625,0.009259259,0.12037037,0.398148148,5.985552558,5.95092235,0.782975646,0.298462451,0.136381555,2.198299916,0,0,0.018518519,0,0.018518519,0.009259259,1.094594595,6,341.2103746,2.305475504,-0.0654,-0.00925926,0.083918519,3.5315999081784
"","Jane","F","m_F","All","Mixed","Chadwyck_1801_Brown_JaneTalbot","1801_Brown_JaneTalbot","m","can",1801,"rom",0.093093093,0.366366366,0.159159159,0.381381381,0.1541,0.0843,0,0.125,0.017291066,0.04610951,0.576368876,8.960244497,9.37208198,0.900080285,0.493794927,0.234991569,1.147117126,0.031700288,0,0.031700288,0.002881844,0.017291066,0.005763689,2.290697674,3,476.9109726,1.210433941,-0.0843,0,0.101591066,4.87535007963072
"","Belinda","F","f_F","Female_Female","Female_Female","Chadwyck_1801_Edgeworth_BelindaByMaria","1801_Edgeworth_BelindaByMaria","f","can",1801,"rom",0.07641196,0.506090808,0.183093392,0.234403839,0.1978,0.0872,0.008931761,0.125,0.092533048,0.032154341,0.608074312,16.04572824,15.18605167,0.879057646,0.753389446,0.674712367,1.669540761,0.027152555,0.003929975,0.030725259,0.005359057,0.054305109,0.009646302,1.069512656,3,1579.208666,0.557827152,-0.078268239,0.038227939,0.141505109,1.60574210430183
"Watsons","Emma","F","f_F","Female_Female","Female_Female","Chadwyck_1805_Austen_TheWatsonsin","1805_Austen_TheWatsonsin","f","can",1805,"rom",0.075987842,0.449848024,0.191489362,0.282674772,0.1374,0.114,0.008797654,0.375,0.052785924,0.032258065,0.542521994,5.284861481,3.685756626,0.882715985,0.766904254,0.188283356,1.50520375,0.026392962,0.002932551,0.017595308,0.005865103,0.04398827,0.005865103,3.084745763,2,2081.427264,5.71820677,-0.105202346,0.008797654,0.15798827,2.59159998790587
"","Mary","F","m_F","All","Mixed","Chadwyck_1805_Godwin_FleetwoodOrThe","1805_Godwin_FleetwoodOrThe","m","can",1805,"rom",0.058984911,0.528120713,0.128943759,0.283950617,0.1339,0.0984,0.002638522,0.625,0.023746702,0.027704486,0.525065963,5.178209953,4.691873265,0.85382436,0.751036874,0.255751295,0.690871111,0.038258575,0.003957784,0.042216359,0.003957784,0.058047493,0.01055409,1.547717842,2,539.083558,0.722632115,-0.095761478,-0.034300791,0.156447493,1.69516364815273
"","Adeline","F","f_F","Female_Female","Female_Female","Chadwyck_1805_Opie_AdelineMowbrayOr","1805_Opie_AdelineMowbrayOr","f","can",1805,"rom",0.05597771,0.503292807,0.135764944,0.304964539,0.1443,0.1026,0.007100882,0.5,0.027179236,0.024485798,0.555093046,8.172532598,7.967767165,0.781731533,0.810994639,0.635521748,1.198050423,0.041625857,0.004407444,0.03525955,0.004652302,0.047747307,0.006611166,3.177725119,2,3771.020416,0.937365254,-0.095499118,-0.020568071,0.150347307,2.14881228798935
"","Victoria","F","f_F","Female_Female","Female_Female","Chadwyck_1806_Dacre_ZofloyaorThe","1806_Dacre_ZofloyaorThe","f","non",1806,"rom",0.062412342,0.49368864,0.113955119,0.329943899,0.1411,0.1059,0.002736914,0,0.017447828,0.044816969,0.572699282,6.233083645,6.348262391,0.734385102,0.682599802,0.537568817,1.190210723,0.075607253,0.005131714,0.038658912,0.005815943,0.046869655,0.015737256,3.111346766,5,2984.285206,1.017138789,-0.103163086,-0.029421827,0.152769655,2.25945763842298
