"","X.2","X.1","STORY.ID","PUB..DATE","COLLECTION","GENRE","X..PREDICATE","X..AGENT","X..PATIENT","X..POSESSOR","AFFECT","COGITATION","SOCIABILITY","POLARITY","COMMUNICATIVENESS","CONCRETENESS","ABTRACTION","OBJECTIVITY","DISTINCTIVENESS.AwSaid","DISTINCTIVENESS.AwoSaid","DEPTH","CLASS.SIMILIARITY","HOMOGENEITY","DISTINCTIVENESS.BwStop","DISTINCTIVENESS.BwoStop","EMBODIMENT","CLOTHES","MOTION","PHYSICAL","PERCEPTION","VALUATION","CENTRALITY","ENSEMBLE","DISTRIBTION","MENTIONS","POPULATION","PROTAG..NAME","PROTAG..GENDER","X","cog_per"
"6449",6449,6464,"2005_Gill,Charlotte_Ladykiller_PW",2005,"contemporary","prizewinners",0.0159045726,0.5666003976,0.0516898608,0.365805169,5.65,6.63,0,0,0.01953125,0.001953125,0.66015625,0.501953125,13.0415502823,13.3169980459,0.8448476472,0.4252341371,0.5291774827,2.2257412896,1.6048040313,0.103515625,0.025390625,0.056640625,0.0078125,0.01953125,0,1.164983165,4,1.018550995,833.639000967,1.6672780019,"Anne","F",NA,0.08583125
"6451",6451,6466,"2005_Ishiguro,Kazuo_NeverLetMeGo_PW",2005,"contemporary","prizewinners",0.0346184107,0.6931549961,0.0826121164,0.1896144768,9.08,7.65,0.0053191489,0.5,0.0904255319,0.009118541,0.5972644377,0.2834346505,10.8141904174,4.2653604257,0.7931025266,0.901806851,0.4649131563,1.6698159648,1.1755980003,0.0478723404,0.0113981763,0.0645896657,0.0022796353,0.0759878419,0.0075987842,1.1421446384,2,2.462741377,1410.9528552798,1.0268943634,"Tommy","M",NA,0.1524878419
"6452",6452,6467,"2005_Jin,Ha_WarTrash_PW",2005,"contemporary","prizewinners",0.0804289544,0.5522788204,0.1126005362,0.254691689,11.59,6.8,0,0.25,0.0507614213,0.0228426396,0.538071066,0.347715736,5.8239289205,2.748099571,0.8498230458,0.7881203838,0.6166711709,1.3921959071,0.9416298827,0.0532994924,0.0025380711,0.038071066,0.0025380711,0.0431472081,0.0076142132,1.3964912281,4,0.9592256697,304.9761689476,0.7662717813,"Pei","M",NA,0.1111472081
"6453",6453,6468,"2005_Johnson,Craig_TheColdDish_MY",2005,"contemporary","mystery",0.0215264188,0.6653620352,0.0782778865,0.2348336595,5.66,3.45,0.0019212296,0.25,0.0153698367,0.0076849183,0.7012487992,0.4409221902,5.7899889878,5.9499694165,0.8418204995,0.6458301731,0.5372734755,1.8500988449,1.2805938502,0.0999039385,0.0096061479,0.0682036503,0.0028818444,0.0922190202,0.0038424592,2.0485651214,2,2.6246085551,693.189118126,0.7469710325,"Henry","M",NA,0.1267190202
"6455",6455,6470,"2005_Larsson,Stieg_TheGirlWithTheDragonTattoo_BS",2005,"contemporary","bestsellers",0.0433376455,0.6701164295,0.0808538163,0.2056921087,6.86,7.42,0.0087390762,0.5,0.0368289638,0.013732834,0.5699126092,0.3220973783,7.5959088938,7.1946802806,0.8438200723,0.852664463,0.7103283746,1.4366271045,0.8955966333,0.0355805243,0.0099875156,0.0418227216,0.0024968789,0.056803995,0.0049937578,1.9090322581,2,2.3812060714,933.2851637765,0.6021194605,"Salander","F",NA,0.131003995
"6457",6457,6472,"2005_Moore,Lisa_Alligator_PW",2005,"contemporary","prizewinners",0.0165118679,0.7192982456,0.0505675955,0.213622291,4.3,10.2,0.0040241449,0.5,0.0482897384,0.0070422535,0.5995975855,0.4175050302,5.374700418,5.1268677148,0.8037279293,0.8128351584,0.7498633093,1.921302414,1.1451188896,0.0804828974,0.0150905433,0.0663983903,0.0030181087,0.0985915493,0.0070422535,1.0234899329,6,0.9528734495,1059.5429980089,1.1851711387,"Colleen","F",NA,0.2005915493
"6458",6458,6473,"2005_Pate,Kathy_Alphabet_PW",2005,"contemporary","prizewinners",0.034439834,0.6958506224,0.0692946058,0.2004149378,5.76,9.6,0.0181013677,0.125,0.0514883347,0.0096540628,0.5434432824,0.3338696702,9.0436983942,9.0563317173,0.8010805608,0.83891947,0.6830222955,1.8884582905,1.3700244115,0.0836685438,0.0128720837,0.0321802092,0.005229284,0.0241351569,0.005229284,7.7814569536,2,4.0039139811,2446.1075662791,1.0408968367,"Simon","M",NA,0.1201351569
"6460",6460,6475,"2005_Ravel,Edeet_WallofLight_PW",2005,"contemporary","prizewinners",0.067264574,0.634529148,0.1053811659,0.1928251121,10.64,8.09,0.0021367521,0.375,0.0405982906,0.0213675214,0.4893162393,0.3076923077,4.7629219383,3.5476783966,0.8405054829,0.7603187929,0.5596604033,1.3696359579,0.94825959,0.0512820513,0.014957265,0.047008547,0.0021367521,0.0427350427,0.0235042735,1.1371158392,4,1.4582903097,571.8148022981,1.3518080433,"Sonya","F",NA,0.1236350427
"6461",6461,6476,"2005_SafranFoer,Jonathan_ExtremelyLoudandIncrediblyClose_BS",2005,"contemporary","bestsellers",0.0855614973,0.5668449198,0.1764705882,0.1711229947,8.38,6.81,0.0051813472,0.625,0.0362694301,0.0207253886,0.5336787565,0.3678756477,2.3766600292,2.4585039284,0.7991784423,0.673684221,0.5156074911,2.4261260059,2.0317252487,0.0725388601,0.0051813472,0.0829015544,0,0.0466321244,0.0051813472,1.1111111111,5,1.2998190373,278.1995721712,1.1083648294,"Dad","M",NA,0.1147321244
"6463",6463,6478,"2005_Sorrentino,Christopher_Trance_PW",2005,"contemporary","prizewinners",0.0424570912,0.6757000903,0.0894308943,0.1924119241,7.77,10.31,0.0043936731,0.625,0.0456942004,0.0105448155,0.5615114236,0.3620386643,7.7846129093,5.0813730833,0.8358651856,0.8936214631,0.779341893,1.4079695328,0.9157776509,0.0685413005,0.0131810193,0.0483304042,0.0035149385,0.0281195079,0.0026362039,1.3885578069,4,1.3526946518,636.4137946104,0.5462779353,"Tania","F",NA,0.1312195079
