STORY.ID,PUB..DATE,COLLECTION,GENRE,X..PREDICATE,X..AGENT,X..PATIENT,X..POSESSOR,AFFECT,COGITATION,SOCIABILITY,POLARITY,COMMUNICATIVENESS,CONCRETENESS,ABTRACTION,OBJECTIVITY,DISTINCTIVENESS.AwSaid,DISTINCTIVENESS.AwoSaid,DEPTH,CLASS.SIMILIARITY,HOMOGENEITY,DISTINCTIVENESS.BwStop,DISTINCTIVENESS.BwoStop,EMBODIMENT,CLOTHES,MOTION,PHYSICAL,PERCEPTION,VALUATION,CENTRALITY,ENSEMBLE,DISTRIBTION,MENTIONS,POPULATION,PROTAG..NAME,PROTAG..GENDER,AUTH_GENDER,cog_per,cog_per_norm,GENRE
3797,1915,klab,DNE,0.1591804571,0.6469661151,0.1268715524,0.0669818755,9.28,11.99,0.036199095,0.875,0.0761689291,0.0874811463,0.5460030166,0.3273001508,10.7454733923,9.4277475996,0.815769886,0.8467308099,0.6811716927,1.6008338441,1.0797435444,0.0173453997,0.0030165913,0.0520361991,0.0271493213,0.1380090498,0.0128205128,3.9577677225,2,3.7776362502,3049.8860941931,1.1623041518,John,M,M,0.2579090498,2.6289449242,adventure/war
20394,1959,klab,DNE,0.0228439425,0.6432238193,0.0780287474,0.2559034908,9.2,16.37,0.0037631711,0.5,0.0178123432,0.0097842449,0.6036126443,0.3489713999,7.8910187822,8.1059518055,0.8851112242,0.715050684,0.4157025563,1.8563431868,1.2393918903,0.0519317612,0.0045158053,0.0674862017,0.003512293,0.0940792775,0.0070245861,3.2745762712,2,3.6435017479,3078.5165119707,0.7967175238,Webb,M,M,0.2577792775,2.6257205778,adventure/war
20376,1959,klab,DNE,0.0508905852,0.6972010178,0.072519084,0.179389313,6.78,14.06,0.0073982737,0.875,0.0530209618,0.0123304562,0.6066584464,0.3353884094,6.2659506305,3.9118698615,0.862407515,0.8627557389,0.4717375318,1.8343323184,1.2893402062,0.0517879162,0.0086313194,0.0678175092,0.0049321825,0.1171393342,0.0061652281,1.5441767068,2,2.5453816618,1651.6323024055,2.147766323,Sulgrave,M,M,0.2577393342,2.6247281392,adventure/war
23291,1990,klab,DNE,0.0164383562,0.8136986301,0.0361643836,0.1336986301,5.09,8.36,0.0037614186,0.125,0.1783987104,0.0053734551,0.6679204729,0.388500806,16.8112823743,10.9926486164,0.8632513795,0.861191445,0.9211042401,2.0321978938,1.5336929291,0.0843632456,0.0128962923,0.0537345513,0.0021493821,0.1730252552,0.0016120365,1.7422680412,2,1.8412971033,1317.112328639,0.7793564075,Grant,M,M,0.2566252552,2.5970475278,scifi
21056,1972,klab,DNE,0.0224913495,0.7629757785,0.0873702422,0.1271626298,5.41,16.99,0.0033726813,0.125,0.0935919056,0.0050590219,0.6323777403,0.3010118044,10.1224482309,9.5642353831,0.9303555704,0.835658367,0.5788559481,2.1605618001,1.5635074295,0.0455311973,0.0118043845,0.0885328836,0.0016863406,0.0860033727,0.0059021922,2.278372591,2,2.8979928112,1177.6033999978,1.1067701128,Reuben,M,M,0.2559033727,2.5791115027,literary fiction
10915,1948,klab,DNE,0.0435582822,0.8466257669,0.0558282209,0.0539877301,7.92,14.28,0.0444444444,0.375,0.1927927928,0.0192192192,0.6600600601,0.2408408408,13.8790284746,8.2963532817,0.7269221885,0.8650469575,0.9126275883,2.3003480847,1.6936421832,0.0306306306,0.0024024024,0.0672672673,0.0042042042,0.1129129129,0.0048048048,1.0465938303,3,1.9442312426,1139.5051647559,0.3661648987,Noah,M,M,0.2557129129,2.5743793035,adventure/war
11742,1944,klab,DNE,0.0621242485,0.7795591182,0.0901803607,0.0681362725,10.98,14.9,0.011741683,0.625,0.0978473581,0.0371819961,0.6673189824,0.2641878669,6.8383667625,5.1457611201,0.7771417862,0.8291130666,0.6761364596,2.497887013,1.9906443707,0.0469667319,0.0019569472,0.0861056751,0.011741683,0.1056751468,0.0039138943,1.6712328767,2,1.8031725592,1053.3741642751,1.6033092303,Yahmose,M,F,0.2546751468,2.5485947764,mystery
22448,1985,klab,DNE,0.0454845089,0.7455504285,0.1015161503,0.1074489123,7.98,15.44,0.0108626198,0.375,0.0293929712,0.0242811502,0.5821086262,0.324600639,7.6595612274,8.074765494,0.8518201223,0.6963845103,0.4570732203,1.7027474383,1.2009038977,0.0268370607,0.0012779553,0.075399361,0.007028754,0.0996805112,0.0095846645,2.8504672897,3,3.2897374818,1466.2333666641,0.9614645027,Tailchaser,M,M,0.2540805112,2.5338203511,scifi
11242,1928,klab,DNE,0.0172642762,0.7363877822,0.0690571049,0.1772908367,10.79,14.34,0.0057215512,0.25,0.0152574698,0.0031786395,0.5594405594,0.3000635728,5.7788726338,5.908773812,0.8236802488,0.6542735591,0.6074024708,1.651461514,1.0814846358,0.034965035,0.0044500954,0.069294342,0.0031786395,0.1099809282,0.0101716465,1.3395522388,2,2.3313319899,2007.773831828,1.3981711921,Charlton,M,M,0.2533809282,2.5164383834,scifi
22088,1983,klab,DNE,0.0380029806,0.7078986587,0.0521609538,0.2019374069,9.51,16.37,0.0057595392,0,0.0323974082,0.0165586753,0.5881929446,0.3074154068,5.9292142849,5.2396746586,0.8329421664,0.7685445633,0.5557708424,1.6161809483,1.1639538701,0.0518358531,0.0122390209,0.0460763139,0.003599712,0.0885529158,0.0107991361,2.7224576271,5,2.9146522032,1366.5996660605,1.0635016857,Koesler,M,M,0.2522529158,2.4884115802,mystery
