"","source","target","weight"
"51","1839_Droste-Hülshoff, Annette von_Gedichte_Geistliches Jahr in Liedern auf alle Sonn- und Festtage_Als der Herr in Sidons Land gekommen.txt","1819_Droste-Hülshoff, Annette von_Gedichte_Geistliches Jahr in Liedern auf alle Sonn- und Festtage_Am zweiten Sonntage in der Fasten.txt",38.096302523199
"52","1839_Droste-Hülshoff, Annette von_Gedichte_Geistliches Jahr in Liedern auf alle Sonn- und Festtage_Als der Herr in Sidons Land gekommen.txt","1819_Droste-Hülshoff, Annette von_Gedichte_Geistliches Jahr in Liedern auf alle Sonn- und Festtage_Am Karsamstage.txt",37.65661429283
"53","1839_Droste-Hülshoff, Annette von_Gedichte_Geistliches Jahr in Liedern auf alle Sonn- und Festtage_Am achten Sonntage nach Pfingsten.txt","1819_Droste-Hülshoff, Annette von_Gedichte_Geistliches Jahr in Liedern auf alle Sonn- und Festtage_Am Montage in der Karwoche.txt",26.8491835094172
"54","1839_Droste-Hülshoff, Annette von_Gedichte_Geistliches Jahr in Liedern auf alle Sonn- und Festtage_Am achtzehnten Sonntage nach Pfingsten.txt","1839_Droste-Hülshoff, Annette von_Gedichte_Geistliches Jahr in Liedern auf alle Sonn- und Festtage_Am achten Sonntage nach Pfingsten.txt",35.8356829728039
"55","1839_Droste-Hülshoff, Annette von_Gedichte_Geistliches Jahr in Liedern auf alle Sonn- und Festtage_Am Allerheiligentage.txt","1819_Droste-Hülshoff, Annette von_Gedichte_Geistliches Jahr in Liedern auf alle Sonn- und Festtage_Am Grünendonnerstage.txt",17.2957786636248
"56","1839_Droste-Hülshoff, Annette von_Gedichte_Geistliches Jahr in Liedern auf alle Sonn- und Festtage_Am Allerheiligentage.txt","1819_Droste-Hülshoff, Annette von_Gedichte_Geistliches Jahr in Liedern auf alle Sonn- und Festtage_Am Ostersonntage.txt",16.2891061229643
"57","1839_Droste-Hülshoff, Annette von_Gedichte_Geistliches Jahr in Liedern auf alle Sonn- und Festtage_Am Allerseelentage.txt","1819_Droste-Hülshoff, Annette von_Gedichte_Geistliches Jahr in Liedern auf alle Sonn- und Festtage_Am Mittwochen in der Karwoche.txt",42.3460166390344
"58","1839_Droste-Hülshoff, Annette von_Gedichte_Geistliches Jahr in Liedern auf alle Sonn- und Festtage_Am Aschermittwochen.txt","1819_Droste-Hülshoff, Annette von_Gedichte_Geistliches Jahr in Liedern auf alle Sonn- und Festtage_Am ersten Sonntage nach hl. drei Könige.txt",45.0999210469092
"59","1839_Droste-Hülshoff, Annette von_Gedichte_Geistliches Jahr in Liedern auf alle Sonn- und Festtage_Am Christihimmelfahrtstage.txt","1819_Droste-Hülshoff, Annette von_Gedichte_Geistliches Jahr in Liedern auf alle Sonn- und Festtage_Fastnacht.txt",35.4476473454824
"60","1839_Droste-Hülshoff, Annette von_Gedichte_Geistliches Jahr in Liedern auf alle Sonn- und Festtage_Am Christihimmelfahrtstage.txt","1819_Droste-Hülshoff, Annette von_Gedichte_Geistliches Jahr in Liedern auf alle Sonn- und Festtage_Am vierten Sonntage in der Fasten (Josefsfest).txt",32.3463015987067
"61","1839_Droste-Hülshoff, Annette von_Gedichte_Geistliches Jahr in Liedern auf alle Sonn- und Festtage_Am Dienstage in der Karwoche.txt","1819_Droste-Hülshoff, Annette von_Gedichte_Geistliches Jahr in Liedern auf alle Sonn- und Festtage_Am Grünendonnerstage.txt",44.3227714320225
"62","1839_Droste-Hülshoff, Annette von_Gedichte_Geistliches Jahr in Liedern auf alle Sonn- und Festtage_Am Dienstage in der Karwoche.txt","1819_Droste-Hülshoff, Annette von_Gedichte_Geistliches Jahr in Liedern auf alle Sonn- und Festtage_Am Ostersonntage.txt",41.8526134929046
"63","1839_Droste-Hülshoff, Annette von_Gedichte_Geistliches Jahr in Liedern auf alle Sonn- und Festtage_Am dreiundzwanzigsten Sonntage nach Pfingsten.txt","1819_Droste-Hülshoff, Annette von_Gedichte_Geistliches Jahr in Liedern auf alle Sonn- und Festtage_Am Grünendonnerstage.txt",41.4375590730684
"64","1839_Droste-Hülshoff, Annette von_Gedichte_Geistliches Jahr in Liedern auf alle Sonn- und Festtage_Am dreizehnten Sonntage nach Pfingsten.txt","1839_Droste-Hülshoff, Annette von_Gedichte_Geistliches Jahr in Liedern auf alle Sonn- und Festtage_Am Dienstage in der Karwoche.txt",32.799280581746
"65","1839_Droste-Hülshoff, Annette von_Gedichte_Geistliches Jahr in Liedern auf alle Sonn- und Festtage_Am dritten Sonntage im Advent.txt","1839_Droste-Hülshoff, Annette von_Gedichte_Geistliches Jahr in Liedern auf alle Sonn- und Festtage_Am Aschermittwochen.txt",39.4776328938864
"66","1839_Droste-Hülshoff, Annette von_Gedichte_Geistliches Jahr in Liedern auf alle Sonn- und Festtage_Am dritten Sonntage nach Ostern.txt","1819_Droste-Hülshoff, Annette von_Gedichte_Geistliches Jahr in Liedern auf alle Sonn- und Festtage_Fastnacht.txt",37.4805539837111
"68","1839_Droste-Hülshoff, Annette von_Gedichte_Geistliches Jahr in Liedern auf alle Sonn- und Festtage_Am einundzwanzigsten Sonntage nach Pfingsten.txt","1839_Droste-Hülshoff, Annette von_Gedichte_Geistliches Jahr in Liedern auf alle Sonn- und Festtage_Am dritten Sonntage nach Pfingsten.txt",24.5664441643291
"69","1839_Droste-Hülshoff, Annette von_Gedichte_Geistliches Jahr in Liedern auf alle Sonn- und Festtage_Am elften Sonntage nach Pfingsten.txt","1819_Droste-Hülshoff, Annette von_Gedichte_Geistliches Jahr in Liedern auf alle Sonn- und Festtage_Am Grünendonnerstage.txt",40.1572697183287
"70","1839_Droste-Hülshoff, Annette von_Gedichte_Geistliches Jahr in Liedern auf alle Sonn- und Festtage_Am elften Sonntage nach Pfingsten.txt","1819_Droste-Hülshoff, Annette von_Gedichte_Geistliches Jahr in Liedern auf alle Sonn- und Festtage_Am dritten Sonntage nach hl. drei Könige.txt",39.2950246545171
"71","1839_Droste-Hülshoff, Annette von_Gedichte_Geistliches Jahr in Liedern auf alle Sonn- und Festtage_Am ersten Sonntage im Advent.txt","1819_Droste-Hülshoff, Annette von_Gedichte_Geistliches Jahr in Liedern auf alle Sonn- und Festtage_Am Feste vom süßen Namen Jesus.txt",29.266947391075
"73","1839_Droste-Hülshoff, Annette von_Gedichte_Geistliches Jahr in Liedern auf alle Sonn- und Festtage_Am ersten Sonntage nach Pfingsten (Dreifaltigkeit).txt","1839_Droste-Hülshoff, Annette von_Gedichte_Geistliches Jahr in Liedern auf alle Sonn- und Festtage_Am dreizehnten Sonntage nach Pfingsten.txt",36.6183363298562
"74","1839_Droste-Hülshoff, Annette von_Gedichte_Geistliches Jahr in Liedern auf alle Sonn- und Festtage_Am Fronleichnamstage.txt","1839_Droste-Hülshoff, Annette von_Gedichte_Geistliches Jahr in Liedern auf alle Sonn- und Festtage_Am ersten Sonntage nach Ostern.txt",45.1805902049233
"75","1839_Droste-Hülshoff, Annette von_Gedichte_Geistliches Jahr in Liedern auf alle Sonn- und Festtage_Am fünften Sonntage nach Ostern.txt","1819_Droste-Hülshoff, Annette von_Gedichte_Geistliches Jahr in Liedern auf alle Sonn- und Festtage_Am Feste vom süßen Namen Jesus.txt",42.7516581312697
"76","1839_Droste-Hülshoff, Annette von_Gedichte_Geistliches Jahr in Liedern auf alle Sonn- und Festtage_Am fünften Sonntage nach Pfingsten.txt","1819_Droste-Hülshoff, Annette von_Gedichte_Geistliches Jahr in Liedern auf alle Sonn- und Festtage_Am fünften Sonntage in der Fasten.txt",35.7692952617157
