"","word","half2","half1","fish.odds","fish.p","diff"
"lannée","lannée",0,5,0,0.0237653919421028,-5
"mystère","mystère",0,5,0,0.0237653919421028,-5
"riches","riches",0,5,0,0.0237653919421028,-5
"servait","servait",0,5,0,0.0237653919421028,-5
"terres","terres",0,5,0,0.0237653919421028,-5
"toits","toits",0,5,0,0.0237653919421028,-5
"avezvous","avezvous",0,6,0,0.0112474177617722,-6
"caché","caché",0,6,0,0.0112474177617722,-6
"chiens","chiens",0,6,0,0.0112474177617722,-6
"immense","immense",0,6,0,0.0112474177617722,-6
"noirs","noirs",1,7,0.128354611753894,0.0308541690001096,-6
"pleines","pleines",0,6,0,0.0112474177617722,-6
"sort","sort",1,7,0.128354611753894,0.0308541690001096,-6
"troisième","troisième",0,6,0,0.0112474177617722,-6
"veines","veines",0,6,0,0.0112474177617722,-6
"vert","vert",1,7,0.128354611753894,0.0308541690001096,-6
"verte","verte",0,6,0,0.0112474177617722,-6
"animaux","animaux",1,8,0.112296537791375,0.016241804064121,-7
"demeure","demeure",0,7,0,0.00532271987124961,-7
"doux","doux",3,10,0.269477311087863,0.0483830221737676,-7
"gorge","gorge",0,7,0,0.00532271987124961,-7
"mesure","mesure",3,10,0.269477311087863,0.0483830221737676,-7
"quoique","quoique",3,10,0.269477311087863,0.0483830221737676,-7
"seuls","seuls",1,8,0.112296537791375,0.016241804064121,-7
"chair","chair",0,8,0,0.00251876313486376,-8
"espèce","espèce",3,11,0.244938356022198,0.0288216715187514,-8
"fallu","fallu",1,9,0.0998071682597851,0.0084787108190486,-8
"loeil","loeil",2,10,0.179656989462371,0.0174912299960796,-8
"sommet","sommet",1,9,0.0998071682597851,0.0084787108190486,-8
"travailler","travailler",4,12,0.299396407930628,0.0417688678877396,-8
"âmes","âmes",0,9,0,0.00119182907350132,-9
"derrière","derrière",6,15,0.359223956146988,0.0295902739753437,-9
"fleurs","fleurs",4,13,0.276321989584863,0.0257169222695332,-9
"jardin","jardin",2,11,0.163303300770545,0.00973039960595158,-9
"poids","poids",1,10,0.0898188077984513,0.00439593756804432,-9
"sable","sable",6,15,0.359223956146988,0.0295902739753437,-9
"semble","semble",2,11,0.163303300770545,0.00973039960595158,-9
"cheveux","cheveux",5,15,0.299322097238752,0.0140381609864623,-10
"ouvrage","ouvrage",5,15,0.299322097238752,0.0140381609864623,-10
"reste","reste",4,14,0.256544522153626,0.0156472207109946,-10
"sol","sol",0,10,0,0.000563914870434301,-10
"voyait","voyait",8,18,0.399077618308332,0.0299854966170835,-10
"chez","chez",5,16,0.280572074227712,0.0085525744168115,-11
"mur","mur",8,19,0.378030871719431,0.0197738326177408,-11
"nature","nature",2,13,0.138145145606421,0.00293532722699794,-11
"pauvres","pauvres",4,15,0.239465738090758,0.00942137984077349,-11
"chien","chien",13,25,0.466776813636591,0.0331035048995642,-12
"peau","peau",2,14,0.128261972199157,0.00159553876955345,-12
"arbres","arbres",6,19,0.283456559396837,0.00449657888080804,-13
"branches","branches",5,18,0.249323170834989,0.00307427433401243,-13
"murs","murs",1,15,0.0598276409169532,0.000153717789344183,-14
"soleil","soleil",32,47,0.610806415302447,0.0320175939106259,-15
"regard","regard",4,20,0.179482658398179,0.000359736666032341,-16
"comment","comment",11,28,0.352453803282598,0.00329594784937013,-17
"trois","trois",11,28,0.352453803282598,0.00329594784937013,-17
"toit","toit",3,21,0.128169313115032,0.0000547798247325497,-18
"pierres","pierres",13,32,0.364373345074768,0.00150429092127012,-19
"quelques","quelques",15,37,0.363477480498938,0.000696181011968945,-22
"dont","dont",16,40,0.358541760614284,0.000390984190285635,-24
"sens","sens",2,28,0.0640059984188834,0.000000105732635116581,-26
