"","source","target","weight","count.source","count.target","count.diff","abs.diff","page.diff"
"183","1871_0041400.txt","1871_0020700.txt",23.1867289799871,298,300,-0.00671140939597315,0.00671140939597315,69
"184","1871_0041400.txt","1871_0019800.txt",22.870246972871,298,300,-0.00671140939597315,0.00671140939597315,72
"185","1871_0041700.txt","1871_0006300.txt",30.6993282950698,300,300,0,0,118
"186","1871_0041700.txt","1871_0006000.txt",28.0429947620391,300,300,0,0,119
"187","1871_0042000.txt","1871_0002400.txt",21.6586925380022,300,300,0,0,132
"188","1871_0042000.txt","1871_0021900.txt",21.3717918812163,300,300,0,0,67
"189","1871_0042300.txt","1871_0004500.txt",29.5131199197775,300,300,0,0,126
"190","1871_0042300.txt","1871_0040800.txt",28.2849746748126,300,300,0,0,5
"191","1871_0042600.txt","1871_0021600.txt",29.7909361027702,300,300,0,0,70
"192","1871_0042900.txt","1871_0001800.txt",25.9129999379643,300,300,0,0,137
"193","1871_0043200.txt","1871_0016200.txt",26.1847777814115,300,300,0,0,90
"194","1871_0043500.txt","1871_0002400.txt",30.6729897752401,300,300,0,0,137
"195","1871_0043800.txt","1871_0042900.txt",37.31927342596,300,300,0,0,3
"196","1871_0044100.txt","1871_0043800.txt",22.6509839957741,298,300,-0.00671140939597315,0.00671140939597315,1
"197","1871_0044400.txt","1871_0044100.txt",24.7574114955846,300,298,0.00671140939597315,0.00671140939597315,1
"198","1871_0044700.txt","1871_0026700.txt",16.7203375345661,299,300,-0.00334448160535117,0.00334448160535117,60
"199","1871_0045000.txt","1871_0025500.txt",19.8611344727286,300,300,0,0,65
"200","1871_0045300.txt","1871_0029700.txt",20.5202897237783,300,300,0,0,52
"201","1871_0045600.txt","1871_0024300.txt",22.9074690112213,299,300,-0.00334448160535117,0.00334448160535117,71
"202","1871_0045900.txt","1871_0017100.txt",22.8027094507957,300,299,0.00334448160535117,0.00334448160535117,96
"203","1871_0045900.txt","1871_0043200.txt",22.7334375719298,300,300,0,0,9
"204","1871_0046200.txt","1871_0045900.txt",33.1907440978695,299,300,-0.00334448160535117,0.00334448160535117,1
"205","1871_0046500.txt","1871_0024000.txt",26.4331956060864,300,300,0,0,75
"206","1871_0046500.txt","1871_0033600.txt",26.0596339867334,300,300,0,0,43
"207","1871_0046800.txt","1871_0041700.txt",22.8295179015023,300,300,0,0,17
"208","1871_0047100.txt","1871_0031800.txt",20.493324850199,300,300,0,0,51
"209","1871_0047400.txt","1871_0024000.txt",32.3073882160011,300,300,0,0,78
"210","1871_0047700.txt","1871_0021600.txt",26.1596594678754,300,300,0,0,87
"211","1871_0048000.txt","1871_0020400.txt",22.0602782681538,300,300,0,0,92
"212","1871_0048300.txt","1871_0004500.txt",16.3038071775857,300,300,0,0,146
"213","1871_0048600.txt","1871_0006300.txt",22.0345345361393,299,300,-0.00334448160535117,0.00334448160535117,141
"214","1871_0048900.txt","1871_0002700.txt",24.6812044930033,300,300,0,0,154
"215","1871_0048900.txt","1871_0005400.txt",23.8948265473267,300,300,0,0,145
"216","1871_0049200.txt","1871_0036900.txt",28.4134169195826,300,300,0,0,41
"217","1871_0049500.txt","1871_0048900.txt",34.6307295540992,300,300,0,0,2
"218","1871_0049800.txt","1871_0049500.txt",30.0212046754326,299,300,-0.00334448160535117,0.00334448160535117,1
"219","1871_0050100.txt","1871_0037500.txt",27.9731404493286,300,299,0.00334448160535117,0.00334448160535117,42
"220","1871_0050400.txt","1871_0002700.txt",24.9719585337546,300,300,0,0,159
"221","1871_0050700.txt","1871_0037200.txt",13.4948807397187,300,300,0,0,45
"222","1871_0051000.txt","1871_0027900.txt",14.4614083229042,300,300,0,0,77
"223","1871_0051300.txt","1871_0008100.txt",28.9987612457614,300,300,0,0,144
"224","1871_0051600.txt","1871_0050100.txt",24.6991696856967,300,300,0,0,5
"225","1871_0051900.txt","1871_0034500.txt",26.3651830259893,300,300,0,0,58
"226","1871_0052200.txt","1871_0051900.txt",25.3327633500601,300,300,0,0,1
"227","1871_0052200.txt","1871_0001500.txt",23.0638489216301,300,300,0,0,169
"228","1871_0052500.txt","1871_0024600.txt",31.3992343176703,300,300,0,0,93
"229","1871_0052800.txt","1871_0043800.txt",37.0987509036754,300,300,0,0,30
"230","1871_0053100.txt","1871_0052800.txt",43.121015924078,300,300,0,0,1
"231","1871_0053400.txt","1871_0049800.txt",31.5841024633808,300,299,0.00334448160535117,0.00334448160535117,12
"232","1871_0053400.txt","1871_0053100.txt",30.8701895317508,300,300,0,0,1
"233","1871_0053700.txt","1871_0053400.txt",23.0749753338267,300,300,0,0,1
"234","1871_0054000.txt","1871_0053700.txt",29.7494983299061,300,300,0,0,1
"235","1871_0054300.txt","1871_0054000.txt",32.5655526892563,300,300,0,0,1
"236","1871_0054600.txt","1871_0001800.txt",25.8777966339253,300,300,0,0,176
"237","1871_0054900.txt","1871_0054600.txt",29.5907500002121,300,300,0,0,1
"238","1871_0055200.txt","1871_0054600.txt",36.27660746259,300,300,0,0,2
"239","1871_0055500.txt","1871_0049200.txt",25.7513162538687,300,300,0,0,21
"240","1871_0055800.txt","1871_0053400.txt",25.2495702228327,300,300,0,0,8
"241","1871_0056100.txt","1871_0026100.txt",24.6267658477563,300,300,0,0,100
"242","1871_0056100.txt","1871_0046500.txt",23.931778130876,300,300,0,0,32
"243","1871_0056400.txt","1871_0056100.txt",23.6340936025741,300,300,0,0,1
"244","1871_0056700.txt","1871_0028200.txt",26.5561033034623,300,300,0,0,95
"245","1871_0057000.txt","1871_0035400.txt",32.7665625321902,300,300,0,0,72
"246","1871_0057300.txt","1871_0043500.txt",23.2669923850593,300,300,0,0,46
"247","1871_0057600.txt","1871_0051600.txt",26.6522353340426,300,300,0,0,20
"248","1871_0057900.txt","1871_0057600.txt",36.303965760814,300,300,0,0,1
"249","1871_0058200.txt","1871_0057900.txt",29.5774445585022,300,300,0,0,1
"250","1871_0058200.txt","1871_0057600.txt",28.3216603466914,300,300,0,0,2
"251","1871_0058500.txt","1871_0057900.txt",40.1875600909619,300,300,0,0,2
"252","1871_0058800.txt","1871_0058500.txt",40.1594752695873,299,300,-0.00334448160535117,0.00334448160535117,1
"253","1871_0059100.txt","1871_0058500.txt",39.666781863521,300,300,0,0,2
"254","1871_0059100.txt","1871_0057900.txt",36.9676920672288,300,300,0,0,4
"255","1871_0059400.txt","1871_0000600.txt",19.4021655304388,299,300,-0.00334448160535117,0.00334448160535117,196
"256","1871_0059400.txt","1871_0059100.txt",17.8900957291899,299,300,-0.00334448160535117,0.00334448160535117,1
"257","1871_0059700.txt","1871_0037200.txt",22.3337904046895,300,300,0,0,75
"258","1871_0060000.txt","1871_0005400.txt",26.0166501723765,300,300,0,0,182
"259","1871_0060300.txt","1871_0027900.txt",24.249662421275,300,300,0,0,108
"260","1871_0060300.txt","1871_0002400.txt",23.1917705427274,300,300,0,0,193
"261","1871_0060600.txt","1871_0005100.txt",16.8303257979801,300,299,0.00334448160535117,0.00334448160535117,185
"262","1871_0060900.txt","1871_0052500.txt",31.4470485569806,300,300,0,0,28
"263","1871_0061200.txt","1871_0048000.txt",28.9684693594626,300,300,0,0,44
"264","1871_0061200.txt","1871_0033600.txt",28.2228840132142,300,300,0,0,92
"265","1871_0061500.txt","1871_0004500.txt",20.293565409388,300,300,0,0,190
"266","1871_0061500.txt","1871_0053100.txt",20.1950033736797,300,300,0,0,28
"267","1871_0061800.txt","1871_0025200.txt",24.4004043992788,300,300,0,0,122
"268","1871_0062100.txt","1871_0035100.txt",24.5657961482526,300,300,0,0,90
"269","1871_0062100.txt","1871_0053400.txt",24.1037209373763,300,300,0,0,29
"270","1871_0062400.txt","1871_0002100.txt",33.4155621032699,300,300,0,0,201
"271","1871_0062700.txt","1871_0023400.txt",27.204985935144,300,299,0.00334448160535117,0.00334448160535117,131
"272","1871_0062700.txt","1871_0002400.txt",26.7436661473868,300,300,0,0,201
"273","1871_0063000.txt","1871_0002700.txt",33.1808308537827,300,300,0,0,201
"274","1871_0063000.txt","1871_0049800.txt",32.7572072140065,300,299,0.00334448160535117,0.00334448160535117,44
"275","1871_0063300.txt","1871_0063000.txt",38.6370594141606,349,300,0.163333333333333,0.163333333333333,1
