"","X","source","target","weight","count.source","count.target","count.diff","abs.diff","page.diff","roll.mean"
"39",39,"1881_0008700.txt","1881_0001800.txt",16.0840669993346,300,300,0,0,23,16.4
"40",40,"1881_0009000.txt","1881_0001500.txt",15.2498663998257,300,300,0,0,25,16.7
"42",42,"1881_0009300.txt","1881_0004500.txt",17.0876482251493,300,300,0,0,16,16.85
"44",44,"1881_0009600.txt","1881_0006600.txt",20.2653309471991,300,300,0,0,10,17.4
"46",46,"1881_0009900.txt","1881_0003900.txt",18.6870242795144,300,300,0,0,20,18.05
"47",47,"1881_0010200.txt","1881_0003300.txt",24.4551973381726,300,300,0,0,23,19.4
"49",49,"1881_0010500.txt","1881_0004200.txt",12.719131526421,300,300,0,0,21,20.5
"51",51,"1881_0010800.txt","1881_0002100.txt",12.881537301798,300,299,0.00334448160535117,0.00334448160535117,29,22.2
"53",53,"1881_0011100.txt","1881_0003900.txt",21.2309533272738,300,300,0,0,24,22.65
"55",55,"1881_0011400.txt","1881_0003600.txt",23.638810760888,300,300,0,0,26,23.55
"56",56,"1881_0011700.txt","1881_0003000.txt",16.9794109394151,300,300,0,0,29,23.25
"57",57,"1881_0012000.txt","1881_0005400.txt",18.8307638746425,300,300,0,0,22,23.25
"58",58,"1881_0012300.txt","1881_0010200.txt",13.4350980535121,300,300,0,0,7,22.5
"60",60,"1881_0012600.txt","1881_0006600.txt",16.2446623800579,300,300,0,0,20,22.05
"61",61,"1881_0012900.txt","1881_0005400.txt",18.7330872958735,300,300,0,0,25,23.35
"62",62,"1881_0013200.txt","1881_0004200.txt",12.3302910892351,300,300,0,0,30,24.25
"63",63,"1881_0013500.txt","1881_0006000.txt",12.4218078226512,300,300,0,0,25,23.25
"65",65,"1881_0013800.txt","1881_0001200.txt",12.8289966889235,300,300,0,0,42,23.5
"67",67,"1881_0014100.txt","1881_0006000.txt",15.6351445023704,300,300,0,0,27,24.3
"68",68,"1881_0014400.txt","1881_0006300.txt",14.6051228864884,300,300,0,0,27,25.7
"70",70,"1881_0014700.txt","1881_0009600.txt",14.8625803224452,300,300,0,0,17,26.1
"72",72,"1881_0015000.txt","1881_0007500.txt",17.7619163797228,300,300,0,0,25,27.1
"73",73,"1881_0015300.txt","1881_0015000.txt",15.5919189817643,300,300,0,0,1,29.6
"75",75,"1881_0015600.txt","1881_0015300.txt",17.8926361158487,300,300,0,0,1,29.8
"76",76,"1881_0015900.txt","1881_0002100.txt",13.8571234202897,300,299,0.00334448160535117,0.00334448160535117,46,28.65
"77",77,"1881_0016200.txt","1881_0003900.txt",26.2091724016125,300,300,0,0,41,29.25
"78",78,"1881_0016500.txt","1881_0016200.txt",14.2663546112496,300,300,0,0,1,30.6
"79",79,"1881_0016800.txt","1881_0006600.txt",12.3980205921568,300,300,0,0,34,30.7
"80",80,"1881_0017100.txt","1881_0005100.txt",14.7122106065982,300,299,0.00334448160535117,0.00334448160535117,40,32.35
"81",81,"1881_0017400.txt","1881_0001200.txt",10.3907278884218,300,300,0,0,54,33.75
"83",83,"1881_0017700.txt","1881_0006600.txt",25.4038280250639,300,300,0,0,37,35.7
"85",85,"1881_0018000.txt","1881_0005400.txt",19.6308617705142,300,300,0,0,42,36.65
"86",86,"1881_0018300.txt","1881_0001200.txt",19.7841416940002,300,300,0,0,57,36.65
"87",87,"1881_0018600.txt","1881_0011400.txt",28.1660119788219,300,300,0,0,24,36.8
"88",88,"1881_0018900.txt","1881_0018300.txt",21.4982773384602,300,300,0,0,2,34.95
"90",90,"1881_0019200.txt","1881_0006600.txt",32.032865205608,300,300,0,0,42,35.5
"92",92,"1881_0019500.txt","1881_0003900.txt",27.5574463781931,300,300,0,0,52,35.75
"94",94,"1881_0019800.txt","1881_0006600.txt",23.134482165078,300,300,0,0,44,34.4
"96",96,"1881_0020100.txt","1881_0002100.txt",19.5151649266599,299,299,0,0,60,35.6
"97",97,"1881_0020400.txt","1881_0003900.txt",25.3395615064777,300,300,0,0,55,33.2
"99",99,"1881_0020700.txt","1881_0003900.txt",26.9181764894657,300,300,0,0,56,31.9
"101",101,"1881_0021000.txt","1881_0007800.txt",20.2765973197108,300,300,0,0,44,30.4
"102",102,"1881_0021300.txt","1881_0021000.txt",31.3847297879247,300,300,0,0,1,28.5
"104",104,"1881_0021600.txt","1881_0020400.txt",28.8067730885546,300,300,0,0,4,28
"105",105,"1881_0021900.txt","1881_0019200.txt",28.5906742798715,300,300,0,0,9,28.95
"106",106,"1881_0022200.txt","1881_0006600.txt",28.4852475799965,300,300,0,0,52,27.95
"108",108,"1881_0022500.txt","1881_0020700.txt",25.7714598043223,300,300,0,0,6,28.95
"110",110,"1881_0022800.txt","1881_0020700.txt",25.5193989417785,300,300,0,0,7,30.5
"111",111,"1881_0023100.txt","1881_0003900.txt",26.118595142262,300,300,0,0,64,28.75
"112",112,"1881_0023400.txt","1881_0021600.txt",24.9470414140274,300,300,0,0,6,29.9
"114",114,"1881_0023700.txt","1881_0020400.txt",27.7553743233866,300,300,0,0,11,27.55
"115",115,"1881_0024000.txt","1881_0020400.txt",34.4270680558167,300,300,0,0,12,25.55
"117",117,"1881_0024300.txt","1881_0018600.txt",29.415950601623,300,300,0,0,19,25.8
"119",119,"1881_0024600.txt","1881_0020400.txt",31.5618467528881,300,300,0,0,14,26.05
"120",120,"1881_0024900.txt","1881_0018600.txt",27.9070227753204,300,300,0,0,21,26
"121",121,"1881_0025200.txt","1881_0018600.txt",20.4448602093482,299,300,-0.00334448160535117,0.00334448160535117,22,23.45
"123",123,"1881_0025500.txt","1881_0003900.txt",25.2154487818103,300,300,0,0,72,23.45
"125",125,"1881_0025800.txt","1881_0003300.txt",36.4458551071348,300,300,0,0,75,23.4
"127",127,"1881_0026100.txt","1881_0018600.txt",34.0710422129584,300,300,0,0,25,24.8
"129",129,"1881_0026400.txt","1881_0003000.txt",39.9853306275405,300,300,0,0,78,24.65
"130",130,"1881_0026700.txt","1881_0024000.txt",25.668790274347,300,300,0,0,9,24.3
"132",132,"1881_0027000.txt","1881_0025800.txt",36.7622984533516,300,300,0,0,4,24.45
"133",133,"1881_0027300.txt","1881_0025500.txt",21.1175567584139,300,300,0,0,6,23.75
"135",135,"1881_0027600.txt","1881_0024900.txt",39.2180450311156,300,300,0,0,9,26.2
"136",136,"1881_0027900.txt","1881_0025500.txt",31.7426020257314,300,300,0,0,8,29.6
"137",137,"1881_0028200.txt","1881_0027900.txt",32.7362477832666,300,300,0,0,1,28.55
"138",138,"1881_0028500.txt","1881_0026700.txt",33.4003450425942,300,300,0,0,6,26.95
"139",139,"1881_0028800.txt","1881_0027000.txt",31.7865508356254,300,300,0,0,6,23.25
