word,count.a,count.b,med.a,med.b,p,diff
shade,275,233,0.0001221896,5.12540333870704e-05,0.0032840209,7.09355393379474e-05
welcom,314,380,0.0001711666,0.0001006463,0.0092492536,7.05202493292966e-05
spare,337,289,0.0001728901,0.0001030962,6.60160173175065e-05,6.97938518252939e-05
foolish,139,178,6.940747745041e-05,0,0.000441691,6.940747745041e-05
hasti,145,155,6.93346750247535e-05,0,0.0043888568,6.93346750247535e-05
disagre,132,123,6.92565144996833e-05,0,0.0001222137,6.92565144996833e-05
sought,396,376,0.0001892258,0.000120045,0.0038054965,6.91808221988174e-05
footstep,167,185,6.89740208113838e-05,0,0.0083929276,6.89740208113838e-05
wrap,131,142,6.88917655341571e-05,0,0.0035183941,6.88917655341571e-05
temper,298,288,0.0001599401,9.14050214376032e-05,0.007881527,6.85350539129659e-05
belief,176,119,6.82643348581651e-05,0,2.88566860836755e-05,6.82643348581651e-05
sourc,143,131,6.82245896387908e-05,0,0.0002198401,6.82245896387908e-05
handkerchief,144,131,6.80350132494333e-05,0,7.28195884990727e-05,6.80350132494333e-05
total,168,140,6.77911329997647e-05,0,0.0001040709,6.77911329997647e-05
reserv,267,259,0.0001429127,7.51834662259461e-05,0.0036127756,6.77292371926778e-05
involuntarili,224,84,6.69646730828449e-05,0,9.57248600843044e-10,6.69646730828449e-05
oppress,207,114,6.68094267351258e-05,0,1.82202219678014e-05,6.68094267351258e-05
lesson,235,207,6.65477855863382e-05,0,0.0002784492,6.65477855863382e-05
inquiri,325,325,0.0001379237,7.1733446017012e-05,0.0060231364,6.61902858350209e-05
persist,151,124,6.53524678710738e-05,0,1.03171742422514e-05,6.53524678710738e-05
dearest,213,231,6.50947560668804e-05,0,0.0036841053,6.50947560668804e-05
neglect,236,216,9.52782595385872e-05,3.04254388705381e-05,0.0022986205,6.48528206680491e-05
friendship,285,313,0.0001332713,6.86554440734595e-05,0.0032411748,6.46158907747143e-05
irrit,196,126,6.36377972028283e-05,0,2.38620532248767e-05,6.36377972028283e-05
cup,138,167,6.32499431808644e-05,0,0.0072690894,6.32499431808644e-05
restless,173,144,6.32499431808644e-05,0,6.36402490648374e-06,6.32499431808644e-05
gratitud,364,290,0.0001462782,8.33443627917978e-05,0.0008904196,6.2933858246516e-05
agreeabl,303,323,0.0001075221,4.46499804001021e-05,0.0071246279,6.28721299070922e-05
stronger,157,135,6.21418594797458e-05,0,0.0084905771,6.21418594797458e-05
entreat,264,139,6.13305974677275e-05,0,1.85378751603416e-07,6.13305974677275e-05
offend,234,240,0.0001120719,5.09015980694995e-05,0.0042215597,6.11702732440363e-05
esteem,243,165,6.10603402242848e-05,0,0.0002338689,6.10603402242848e-05
repent,155,125,6.08818616217878e-05,0,0.0001928161,6.08818616217878e-05
household,168,164,6.08303113363369e-05,0,0.0087737959,6.08303113363369e-05
contain,228,262,0.0001355218,7.52348075116148e-05,0.0057049066,6.02870314586515e-05
entreati,177,97,5.93675294350621e-05,0,2.00718820078999e-06,5.93675294350621e-05
amiabl,179,120,5.91599662749215e-05,0,1.51810577382687e-06,5.91599662749215e-05
beam,139,144,5.8574661886687e-05,0,0.0030152267,5.8574661886687e-05
unlik,132,113,5.79950115277234e-05,0,0.0004886078,5.79950115277234e-05
unpleas,150,108,5.79950115277234e-05,0,0.0001368668,5.79950115277234e-05
curtain,151,166,5.79289650346532e-05,0,0.0033450444,5.79289650346532e-05
excess,145,136,5.79289650346532e-05,0,0.0068110775,5.79289650346532e-05
defer,142,136,5.66115938540216e-05,0,0.0082255098,5.66115938540216e-05
afflict,185,110,5.62332101950547e-05,0,0.000314056,5.62332101950547e-05
rain,184,139,5.61555532244763e-05,0,6.26980798664374e-05,5.61555532244763e-05
furnitur,125,87,5.60359356567679e-05,0,2.11461295847737e-07,5.60359356567679e-05
repress,132,84,5.58973937673107e-05,0,2.00416273292008e-06,5.58973937673107e-05
delicaci,221,170,5.52815840380786e-05,0,0.0086790248,5.52815840380786e-05
candl,165,172,5.47345401167989e-05,0,0.0004863536,5.47345401167989e-05
inclin,399,419,0.0002122024,0.0001578087,0.0027521947,5.43936741343452e-05
simpl,321,376,0.0001770024,0.0001227331,0.009346897,5.42693715829754e-05
ornament,117,103,5.42016389277123e-05,0,1.42328424451561e-05,5.42016389277123e-05
wipe,120,129,5.42016389277123e-05,0,0.0026780712,5.42016389277123e-05
motionless,141,144,5.41239819571338e-05,0,0.0004819908,5.41239819571338e-05
fever,148,148,5.35849801756288e-05,0,2.9064384923504e-05,5.35849801756288e-05
temptat,139,103,5.3406292818907e-05,0,1.26860196565178e-05,5.3406292818907e-05
shine,185,208,5.23030302880835e-05,0,0.0056867328,5.23030302880835e-05
varieti,110,99,5.14501592382362e-05,0,3.42922479773395e-05,5.14501592382362e-05
shawl,189,74,5.13993290264296e-05,0,5.99996921613935e-12,5.13993290264296e-05
lament,173,83,5.10648411272747e-05,0,2.66467724385006e-06,5.10648411272747e-05
solitud,182,149,5.09871841566963e-05,0,0.0012727697,5.09871841566963e-05
hid,119,113,5.09034921915331e-05,0,5.26907365370889e-05,5.09034921915331e-05
treasur,122,150,5.08258352209547e-05,0,0.0096641372,5.08258352209547e-05
sparkl,132,150,5.05958063282487e-05,0,0.0060461479,5.05958063282487e-05
paint,134,171,4.94592365483523e-05,0,0.0092618871,4.94592365483523e-05
kitchen,239,144,4.93673519952577e-05,0,3.12092269285958e-07,4.93673519952577e-05
composur,202,140,4.91743836325955e-05,0,0.0009872772,4.91743836325955e-05
reviv,233,138,4.86348523395967e-05,0,0.0011409718,4.86348523395967e-05
cottag,306,203,4.84735034038551e-05,0,0.0015998434,4.84735034038551e-05
percept,126,114,4.82215561778241e-05,0,0.0001054391,4.82215561778241e-05
hopeless,140,115,4.80105283223151e-05,0,0.0014040372,4.80105283223151e-05
droop,136,114,4.74661876969592e-05,0,5.99594945560007e-05,4.74661876969592e-05
complain,102,129,4.73244588000639e-05,0,0.0040337284,4.73244588000639e-05
awok,131,134,4.6780118174708e-05,0,0.0001951289,4.6780118174708e-05
bloom,111,59,4.6780118174708e-05,0,1.25660481349265e-10,4.6780118174708e-05
flew,183,151,4.58238621327274e-05,0,0.0058824715,4.58238621327274e-05
displeasur,192,77,4.56344466265733e-05,0,3.44277209090876e-07,4.56344466265733e-05
fascin,120,138,4.56182292348177e-05,0,0.0005657006,4.56182292348177e-05
refin,93,87,4.56182292348177e-05,0,8.88768657757767e-05,4.56182292348177e-05
sunshin,189,99,4.56182292348177e-05,0,1.6740315884414e-05,4.56182292348177e-05
somebodi,120,144,4.55476716800072e-05,0,0.0001261335,4.55476716800072e-05
certainti,120,104,4.54091915694694e-05,0,0.0066317655,4.54091915694694e-05
partial,209,135,4.38191789900071e-05,0,0.0010921079,4.38191789900071e-05
vexat,130,89,4.35481122426248e-05,0,3.71353542485321e-06,4.35481122426248e-05
