"","word","word1","word2","fish.odds","fish.p","G2"
"1005","rising",25,258,3.5524529297632,2.25486494955854e-07,26.2601951820205
"1153","stairs",26,269,3.54351850559378,1.36931386726297e-07,27.2218150430318
"1047","seated",24,253,3.47769155559305,5.52094576932989e-07,24.521795052405
"320","door",118,1267,3.41856572961524,1.44878102660739e-27,117.761529862043
"309","direction",24,258,3.41027958708692,7.60900050934706e-07,23.8930867544724
"336","drew",40,434,3.3795524120853,2.64886999502597e-10,39.3344416938295
"1245","through",152,1686,3.31059976883235,1.43791340213163e-33,145.181488830365
"202","carriage",60,667,3.29931592949609,3.06749350810632e-14,57.0847230437366
"467","followed",35,400,3.20819756137491,1.11405467871881e-08,32.0233773699881
"703","letters",22,252,3.20038561998838,5.50682004414486e-06,20.0615138191151
"611","house",106,1235,3.14979738926993,1.86528689240944e-22,94.3993913183266
"123","bed",40,469,3.12727007539705,2.07798565256633e-09,35.273090374743
"1009","room",140,1670,3.07777178708822,3.56784924144376e-28,120.478773941477
"801","moved",21,253,3.04278231758449,1.79085831159666e-05,17.7850817516151
"141","beside",22,287,2.81005998929618,3.54112572168493e-05,16.4452387627107
"5","above",27,356,2.78044445805547,5.94423871215221e-06,19.8324283106254
"1355","where",185,2517,2.69947762529219,6.30666764735318e-30,129.088465648067
"1033","sat",86,1172,2.69188142101276,9.27690266756977e-15,59.7771335344886
"243","concerning",22,314,2.56841685102754,0.000120639883514057,14.0807686505255
"1397","work",38,556,2.50600102453528,1.08776845186067e-06,23.2345558807574
"1111","sitting",56,829,2.4770827602961,5.94031783235918e-09,33.4989456018411
"1283","turning",36,540,2.44415631274798,3.2960230387979e-06,20.9923630748273
"28","against",62,945,2.40607714005397,2.82965459112918e-09,35.0496211720264
"728","looking",235,3591,2.40449109696545,8.80588950370693e-31,132.432654068169
"819","near",56,856,2.39903144834997,2.07569073340087e-08,31.4764042215558
"214","chair",30,466,2.36013167096477,3.7328577879319e-05,16.3231863779627
"473","forgot",22,344,2.34438095580814,0.000447859942825906,11.8093529759466
"379","entered",34,534,2.3343039309835,1.78167669271893e-05,18.0880491476411
"1329","warm",24,377,2.33369054491739,0.00025705936412662,12.7625141294587
"899","passed",64,1008,2.32850945286003,5.25955833888457e-09,33.8633253100504
"1332","watched",28,441,2.32761608624287,0.000124643266336313,14.8092403289653
"795","morning",68,1078,2.31348234625329,1.90827393549716e-09,35.4989157893791
"1173","stood",69,1094,2.3131957852674,1.44269536343914e-09,36.0112850769777
"578","head",85,1368,2.27912515309457,4.54591398637424e-11,42.9952158228977
"1268","towards",76,1227,2.27173013838433,4.6604369984725e-10,38.1827274901539
"1243","three",26,421,2.26384216240351,0.000287611301020937,12.9732314890727
"1362","white",42,681,2.26114081625192,3.94273988441164e-06,20.8996851952939
"1346","went",101,1648,2.2485726829138,1.67697345857864e-12,49.6136557390445
"1095","side",60,983,2.23846311240416,6.27224064143653e-08,29.2006266860943
"1320","walk",25,414,2.21373222486979,0.000469251922765738,11.8791630640888
"40","also",23,387,2.17863938223771,0.000959880518132202,10.5458740300892
"1042","scene",22,380,2.12225568430699,0.00158025181633805,9.49598143232483
"1313","view",27,476,2.07943985255222,0.000700323996126927,11.0996020637247
"681","large",24,428,2.05556591105295,0.00172210431921208,9.59266618460037
"1289","uncle",30,544,2.02166570788098,0.000595245539054211,11.5020120928705
"1296","up",267,4884,2.00857606436189,1.29855993108711e-23,100.406967807817
"708","light",54,988,2.00410459626701,6.82762928830741e-06,20.2425366329343
"538","grace",28,513,2.00086782050344,0.00109072612370793,10.455841629799
"325","down",134,2458,2.00046454802254,1.18061806892491e-12,49.9497621344446
"12","across",38,701,1.98738961216105,0.000138779610063258,13.9424101533566
"1041","scarcely",30,558,1.97093187072872,0.00076481915447189,10.7710453258586
"1282","turned",66,1230,1.96773640309726,9.67563438040785e-07,23.5847993114567
