,word,freq.a,freq.b,med.a,med.b,wilcox.p,MI.results,G1,G2,fisher.OR,fisher.p,med.ratio,dictionary
270,puzzl,4.151796714,2.5546471455,3.5,1,1.23449294151789e-09,7.26435338298796e-07,76.6608505475,76.6608505562,1.6252186693,1.87123299396527e-18,3.5,tent
297,unlik,3.9362226538,2.417968553,4,1,2.62058261550963e-10,6.92980489504204e-07,73.1303544007,73.1303544079,1.6279284377,1.264271871686e-17,4,tent
289,tentat,0.4471165692,0.0695818289,0,0,9.3743834163867e-11,6.56807811158046e-07,69.3130452213,69.3130452233,6.4258051861,9.63994367776426e-17,NA,tent
240,indefinit,1.189649443,0.4696773448,1,0,9.86158647620291e-10,6.36553518297432e-07,67.1756060736,67.1756060925,2.5329286985,3.1037041084434e-16,Inf,tent
269,probabl,18.6511483151,15.377584179,16,10,1.20638519043505e-05,5.80934623476917e-07,61.3061342262,61.3061342219,1.2129402755,4.71894792614817e-15,1.6,tent
245,lot,8.4233567947,6.3617672105,7,4,2.02606935920485e-06,5.35381610421222e-07,56.4989166411,56.4989166457,1.3240862326,5.57383226942748e-14,1.75,tent
261,opinion,18.5393691728,15.6310608413,13,10,0.0082512723,4.55556394628004e-07,48.0749474237,48.0749474141,1.1861300268,4.16491596610358e-12,1.3,tent
211,anywher,3.2575635756,2.1769172173,3,1,4.34416719486738e-06,4.06086156603893e-07,42.8543443766,42.8543443897,1.496426639,5.80964821580959e-11,3,tent
268,practic,9.4134006265,7.5471433665,7.5,5,4.1610992631925e-05,3.79928950736633e-07,40.0939697994,40.0939697986,1.247303294,2.56357618623915e-10,1.5,tent
223,depend,10.4593340295,8.5809305382,10,5,6.20768190462959e-07,3.42005402866063e-07,36.0918910436,36.0918910414,1.2189453653,1.79735018269556e-09,2,tent
281,sometim,21.8448380951,19.239375681,26,13,1.65390213681215e-10,3.02753925428651e-07,31.9496756232,31.9496756407,1.1354750259,1.59725572966816e-08,2,tent
276,some,178.9344541481,171.5465438693,220.5,132,2.39708808157536e-08,2.83475017412722e-07,29.9151690276,29.9151690461,1.0431472209,4.52653608514963e-08,1.6704545455,tent
302,usual,24.2161527567,21.6697695606,25,15,8.3703407302803e-07,2.58516960879323e-07,27.2813408816,27.2813408976,1.1175551294,1.72721071721493e-07,1.6666666667,tent
218,bet,2.0519456836,1.3767261854,1,0,0.0043844038,2.51161653380015e-07,26.5051339746,26.505133988,1.4904622313,2.82403963550822e-07,Inf,tent
214,approxim,0.3592901002,0.1242532658,0,0,0.0047692197,2.37813240293498e-07,25.0964735703,25.0964735789,2.8915976547,6.62489208220669e-07,NA,tent
238,incomplet,0.3672743247,0.1317084618,0,0,4.53520619000495e-08,2.30128914259706e-07,24.2855452846,24.2855452848,2.7886757376,7.41840388692343e-07,NA,tent
225,dubious,0.8622962406,0.4671922795,0,0,0.0006581754,2.28158523595383e-07,24.0776096109,24.0776096072,1.8456560532,9.97653537568226e-07,NA,tent
292,uncertain,3.0739264132,2.3285062016,3,1,6.45411288114394e-07,1.91482915514249e-07,20.2072261475,20.2072261582,1.3201376006,6.82267356280044e-06,3,tent
253,mayb,3.6567747981,2.8603101794,0.5,0,0.1394257029,1.8056503879171e-07,19.0550606745,19.0550606843,1.278463907,1.2422574223061e-05,Inf,tent
224,doubt,33.5337426898,31.0583463267,34.5,21,0.0001074604,1.7299214642383e-07,18.2558920007,18.2558920047,1.0797382816,1.90800756793299e-05,1.6428571429,tent
222,conting,0.7265644249,0.4100357772,0,0,0.0001593598,1.70315225919597e-07,17.973396096,17.9733961074,1.7719576829,2.4614482943435e-05,NA,tent
293,uncertainti,1.756529379,1.2475027889,1,0,0.001294492,1.61790927511011e-07,17.0738253591,17.073825379,1.4080430129,3.76535500520046e-05,Inf,tent
243,kinda,0.07185802,0.0049701306,0,0,3.62684237320889e-07,1.56727717524836e-07,16.5395039339,16.5395039279,14.4577299476,8.14187069897029e-05,NA,tent
279,someon,1.6846713589,1.2077417439,0,0,9.1039467207845e-07,1.47346892182578e-07,15.5495437544,15.5495437598,1.3948998137,8.61835543453128e-05,NA,tent
217,bare,6.4352849067,5.4696287618,7,3,5.99588289889488e-07,1.44019263575132e-07,15.1983785142,15.1983785205,1.176600576,9.5317542214899e-05,2.3333333333,tent
241,indetermin,0.1517002645,0.0397610451,0,0,6.33608932577237e-07,1.42689766096577e-07,15.0580764051,15.058076415,3.8151324565,9.51343051205628e-05,NA,tent
256,mysteri,13.9165032163,12.6539525921,16,7,4.68915667889646e-08,1.09572154157537e-07,11.5631689172,11.5631689321,1.0998033558,0.0006785957,2.2857142857,tent
242,indirect,0.7585013227,0.4920429327,0,0,0.0005288811,1.07691936852035e-07,11.3647492493,11.3647492652,1.5415379799,0.0007360475,NA,tent
236,hypothet,0.1037949178,0.0248506532,0,0,0.0003805188,1.07258951562141e-07,11.319056232,11.3190562504,4.1763785822,0.00073501,NA,tent
212,appar,10.9543559453,9.9725671155,10,6,0.0022275116,8.41142439917717e-08,8.8765911315,8.8765911408,1.0984737288,0.0028893449,1.6666666667,tent
259,occasion,7.505170983,6.7221016814,6.5,4,0.0002155418,7.88302340793022e-08,8.3189686148,8.3189686342,1.1165183787,0.0039569807,1.625,tent
205,ambigu,0.5030061403,0.3205734258,0,0,0.1780245903,7.68254167382411e-08,8.1073998987,8.1073999033,1.569084305,0.0049284649,NA,tent
228,fuzzi,0.0558895711,0.0099402613,0,0,0.0194287717,7.46828332860109e-08,7.8812926982,7.8812926902,5.6225669054,0.005558335,NA,tent
262,option,0.2155740601,0.1093428739,0,0,0.0167852988,6.81265710611402e-08,7.1894091461,7.1894091706,1.9716463565,0.0074627513,NA,tent
235,hypothesi,0.2475109579,0.141648723,0,0,0.0179117312,5.55335445085946e-08,5.8604648286,5.860464837,1.7473575148,0.0165361322,NA,tent
287,supposit,1.1257756474,0.8846832527,0,0,0.0611633186,5.3603432184478e-08,5.6567797466,5.6567797398,1.272521194,0.0175669969,NA,tent
264,overal,0.1037949178,0.0447311757,0,0,0.2160897962,4.72084761778656e-08,4.9819188538,4.9819188942,2.3204335958,0.0316158774,NA,tent
251,margin,1.3094128098,1.0785183474,0,0,0.0081492354,4.1182710101221e-08,4.3460187306,4.3460187275,1.2141085779,0.0386299437,NA,tent
239,indecis,0.4391323447,0.3131182299,0,0,6.98291356153999e-06,3.95770088751435e-08,4.1765687697,4.1765687913,1.4024501846,0.043988281,NA,tent
301,unsur,0.0479053467,0.0149103919,0,0,0.0910808992,3.6709670565559e-08,3.8739780532,3.8739780691,3.2128748442,0.043133837,NA,tent
