"source","target","weight","type"
"look","scope",11,"undirected"
"mind","scope",3,"undirected"
"see","slope",33,"undirected"
"feel","slope",10,"undirected"
"think","slope",4,"undirected"
"look","slope",26,"undirected"
"see","tear",109,"undirected"
"feel","tear",118,"undirected"
"think","tear",77,"undirected"
"look","tear",107,"undirected"
"mind","tear",11,"undirected"
"see","trembl",26,"undirected"
"feel","trembl",41,"undirected"
"think","trembl",13,"undirected"
"look","trembl",36,"undirected"
"mind","trembl",10,"undirected"
"see","cross",78,"undirected"
"feel","cross",28,"undirected"
"think","cross",82,"undirected"
"look","cross",125,"undirected"
"mind","cross",30,"undirected"
"see","dodg",9,"undirected"
"feel","dodg",5,"undirected"
"think","dodg",4,"undirected"
"look","dodg",10,"undirected"
"mind","dodg",1,"undirected"
"see","door",565,"undirected"
"feel","door",237,"undirected"
"think","door",353,"undirected"
"look","door",629,"undirected"
"mind","door",62,"undirected"
"see","left",368,"undirected"
"feel","left",261,"undirected"
"think","left",302,"undirected"
"look","left",354,"undirected"
"mind","left",66,"undirected"
"see","nt",3391,"undirected"
"feel","nt",2169,"undirected"
"think","nt",3887,"undirected"
"look","nt",3479,"undirected"
"mind","nt",598,"undirected"
"see","park",103,"undirected"
"feel","park",24,"undirected"
"think","park",72,"undirected"
"look","park",98,"undirected"
"mind","park",8,"undirected"
"see","rear",31,"undirected"
"feel","rear",10,"undirected"
"think","rear",9,"undirected"
"look","rear",28,"undirected"
"mind","rear",1,"undirected"
"see","room",412,"undirected"
"feel","room",256,"undirected"
"think","room",273,"undirected"
"look","room",537,"undirected"
"mind","room",60,"undirected"
"see","shave",11,"undirected"
"feel","shave",3,"undirected"
"think","shave",6,"undirected"
"look","shave",11,"undirected"
"see","step",334,"undirected"
"feel","step",233,"undirected"
"think","step",206,"undirected"
"look","step",398,"undirected"
"mind","step",56,"undirected"
"see","think",403,"undirected"
"feel","think",276,"undirected"
"think","think",800,"undirected"
"look","think",550,"undirected"
"mind","think",118,"undirected"
"see","watch",469,"undirected"
"feel","watch",288,"undirected"
"think","watch",344,"undirected"
"look","watch",516,"undirected"
"mind","watch",81,"undirected"
"see","window",371,"undirected"
"feel","window",77,"undirected"
"think","window",109,"undirected"
"look","window",393,"undirected"
"mind","window",21,"undirected"
"see","among",52,"undirected"
"feel","among",26,"undirected"
"think","among",26,"undirected"
"look","among",37,"undirected"
"mind","among",2,"undirected"
"see","arriv",77,"undirected"
"feel","arriv",48,"undirected"
"think","arriv",73,"undirected"
"look","arriv",75,"undirected"
"mind","arriv",16,"undirected"
"see","chumphon",1,"undirected"
"see","everyth",138,"undirected"
"feel","everyth",130,"undirected"
"think","everyth",140,"undirected"
"look","everyth",125,"undirected"
"mind","everyth",53,"undirected"
"see","felt",542,"undirected"
"feel","felt",806,"undirected"
"think","felt",501,"undirected"
"look","felt",526,"undirected"
"mind","felt",222,"undirected"
"see","impress",52,"undirected"
"feel","impress",32,"undirected"
"think","impress",48,"undirected"
"look","impress",65,"undirected"
"mind","impress",11,"undirected"
"see","jerusalem",4,"undirected"
"feel","jerusalem",2,"undirected"
"think","jerusalem",1,"undirected"
"look","jerusalem",3,"undirected"
"see","kuin",1,"undirected"
"feel","kuin",1,"undirected"
"see","last",357,"undirected"
"feel","last",213,"undirected"
"think","last",343,"undirected"
"look","last",309,"undirected"
"mind","last",52,"undirected"
"see","meant",135,"undirected"
"feel","meant",101,"undirected"
"think","meant",136,"undirected"
"look","meant",102,"undirected"
"mind","meant",18,"undirected"
"see","move",464,"undirected"
"feel","move",287,"undirected"
"think","move",256,"undirected"
"look","move",366,"undirected"
"mind","move",73,"undirected"
"see","peripher",22,"undirected"
"feel","peripher",6,"undirected"
"think","peripher",6,"undirected"
"look","peripher",13,"undirected"
"see","rever",3,"undirected"
"feel","rever",7,"undirected"
"think","rever",1,"undirected"
"look","rever",3,"undirected"
"mind","rever",2,"undirected"
"see","rrb",74,"undirected"
"feel","rrb",49,"undirected"
"think","rrb",91,"undirected"
"look","rrb",68,"undirected"
"mind","rrb",18,"undirected"
"see","spent",59,"undirected"
"feel","spent",37,"undirected"
"think","spent",76,"undirected"
"look","spent",77,"undirected"
"mind","spent",17,"undirected"
"see","ten",59,"undirected"
"feel","ten",35,"undirected"
"think","ten",47,"undirected"
"look","ten",62,"undirected"
"mind","ten",25,"undirected"
"see","year",195,"undirected"
"feel","year",138,"undirected"
"think","year",186,"undirected"
"look","year",158,"undirected"
"mind","year",41,"undirected"
"see","also",174,"undirected"
"feel","also",111,"undirected"
"think","also",142,"undirected"
"look","also",119,"undirected"
"mind","also",40,"undirected"
"see","blockad",3,"undirected"
"feel","blockad",1,"undirected"
"think","blockad",2,"undirected"
"see","blue",113,"undirected"
"feel","blue",34,"undirected"
"think","blue",34,"undirected"
"look","blue",119,"undirected"
"mind","blue",12,"undirected"
"see","dessert",2,"undirected"
"feel","dessert",3,"undirected"
"think","dessert",3,"undirected"
"look","dessert",3,"undirected"
"mind","dessert",1,"undirected"
"see","famili",81,"undirected"
"feel","famili",67,"undirected"
"think","famili",92,"undirected"
"look","famili",72,"undirected"
"mind","famili",15,"undirected"
"see","horizon",31,"undirected"
"feel","horizon",11,"undirected"
"think","horizon",9,"undirected"
"look","horizon",27,"undirected"
"mind","horizon",4,"undirected"
"see","next",230,"undirected"
"feel","next",159,"undirected"
"think","next",239,"undirected"
"look","next",320,"undirected"
"mind","next",53,"undirected"
"see","show",160,"undirected"
"feel","show",96,"undirected"
"think","show",123,"undirected"
"look","show",189,"undirected"
"mind","show",30,"undirected"
"see","snowdrift",1,"undirected"
"think","snowdrift",1,"undirected"
"see","someday",5,"undirected"
"feel","someday",5,"undirected"
"think","someday",3,"undirected"
"look","someday",4,"undirected"
"see","use",265,"undirected"
"feel","use",161,"undirected"
"think","use",260,"undirected"
"look","use",282,"undirected"
"mind","use",62,"undirected"
"see","week",78,"undirected"
"feel","week",53,"undirected"
"think","week",88,"undirected"
"look","week",74,"undirected"
"mind","week",19,"undirected"
"see","windrow",1,"undirected"
"see","work",299,"undirected"
"feel","work",195,"undirected"
"think","work",322,"undirected"
"look","work",301,"undirected"
"mind","work",99,"undirected"
"see","better",127,"undirected"
"feel","better",226,"undirected"
"think","better",258,"undirected"
"look","better",206,"undirected"
"mind","better",30,"undirected"
"see","broil",2,"undirected"
"see","care",158,"undirected"
"feel","care",123,"undirected"
"think","care",201,"undirected"
"look","care",219,"undirected"
"mind","care",33,"undirected"
"see","ceremoni",7,"undirected"
"feel","ceremoni",2,"undirected"
"think","ceremoni",6,"undirected"
"look","ceremoni",6,"undirected"
"mind","ceremoni",4,"undirected"
"see","chop",6,"undirected"
"feel","chop",3,"undirected"
"think","chop",5,"undirected"
"look","chop",5,"undirected"
"mind","chop",4,"undirected"
"see","entrust",1,"undirected"
"feel","entrust",1,"undirected"
"look","entrust",2,"undirected"
"see","offer",66,"undirected"
"feel","offer",49,"undirected"
"think","offer",76,"undirected"
"look","offer",75,"undirected"
"mind","offer",15,"undirected"
"see","onion",3,"undirected"
"feel","onion",1,"undirected"
"think","onion",1,"undirected"
"look","onion",1,"undirected"
"see","part",156,"undirected"
"feel","part",197,"undirected"
"think","part",190,"undirected"
"look","part",186,"undirected"
"mind","part",80,"undirected"
"see","steak",3,"undirected"
"feel","steak",2,"undirected"
"think","steak",3,"undirected"
"look","steak",7,"undirected"
"see","adventur",7,"undirected"
"feel","adventur",10,"undirected"
"think","adventur",10,"undirected"
"look","adventur",6,"undirected"
"mind","adventur",3,"undirected"
"see","ask",686,"undirected"
"feel","ask",445,"undirected"
"think","ask",903,"undirected"
"look","ask",1260,"undirected"
"mind","ask",135,"undirected"
"see","back",1524,"undirected"
"feel","back",1031,"undirected"
"think","back",1257,"undirected"
"look","back",2437,"undirected"
"mind","back",356,"undirected"
"see","bright",113,"undirected"
"feel","bright",42,"undirected"
"think","bright",53,"undirected"
"look","bright",97,"undirected"
"mind","bright",15,"undirected"
"see","busi",69,"undirected"
"feel","busi",29,"undirected"
"think","busi",60,"undirected"
"look","busi",73,"undirected"
"mind","busi",18,"undirected"
"see","drive",66,"undirected"
"feel","drive",48,"undirected"
"think","drive",79,"undirected"
"look","drive",66,"undirected"
"mind","drive",16,"undirected"
"see","light",459,"undirected"
"feel","light",170,"undirected"
"think","light",196,"undirected"
"look","light",303,"undirected"
"mind","light",43,"undirected"
"see","make",377,"undirected"
"feel","make",352,"undirected"
"think","make",474,"undirected"
"look","make",475,"undirected"
"mind","make",111,"undirected"
"see","portillo",1,"undirected"
"think","portillo",1,"undirected"
"look","portillo",2,"undirected"
"see","retir",7,"undirected"
"feel","retir",3,"undirected"
"think","retir",3,"undirected"
"look","retir",7,"undirected"
"mind","retir",1,"undirected"
"see","sinc",220,"undirected"
"feel","sinc",160,"undirected"
"think","sinc",174,"undirected"
"look","sinc",177,"undirected"
"mind","sinc",24,"undirected"
"see","cours",145,"undirected"
"feel","cours",67,"undirected"
"think","cours",142,"undirected"
"look","cours",133,"undirected"
"mind","cours",27,"undirected"
"see","decemb",3,"undirected"
"feel","decemb",3,"undirected"
"think","decemb",3,"undirected"
"look","decemb",3,"undirected"
"mind","decemb",1,"undirected"
"see","foremost",2,"undirected"
"feel","foremost",1,"undirected"
"mind","foremost",4,"undirected"
"see","funer",24,"undirected"
"feel","funer",3,"undirected"
"think","funer",9,"undirected"
"look","funer",10,"undirected"
"see","happen",231,"undirected"
"feel","happen",138,"undirected"
"think","happen",233,"undirected"
"look","happen",171,"undirected"
"mind","happen",61,"undirected"
"see","lost",86,"undirected"
"feel","lost",112,"undirected"
"think","lost",153,"undirected"
"look","lost",107,"undirected"
"mind","lost",40,"undirected"
"see","mention",48,"undirected"
"feel","mention",24,"undirected"
"think","mention",46,"undirected"
"look","mention",38,"undirected"
"mind","mention",5,"undirected"
"see","middl",62,"undirected"
"feel","middl",36,"undirected"
"think","middl",34,"undirected"
"look","middl",54,"undirected"
"mind","middl",10,"undirected"
"see","name",131,"undirected"
"feel","name",98,"undirected"
"think","name",150,"undirected"
"look","name",191,"undirected"
"mind","name",43,"undirected"
"see","never",640,"undirected"
"feel","never",307,"undirected"
"think","never",453,"undirected"
"look","never",373,"undirected"
"mind","never",100,"undirected"
"see","quinn",3,"undirected"
"look","quinn",3,"undirected"
"see","blank",36,"undirected"
"feel","blank",22,"undirected"
"think","blank",21,"undirected"
"look","blank",73,"undirected"
"mind","blank",16,"undirected"
"see","hospit",33,"undirected"
"feel","hospit",24,"undirected"
"think","hospit",38,"undirected"
"look","hospit",27,"undirected"
"mind","hospit",3,"undirected"
"see","know",533,"undirected"
"feel","know",452,"undirected"
"think","know",750,"undirected"
"look","know",687,"undirected"
"mind","know",125,"undirected"
"see","leav",167,"undirected"
"feel","leav",166,"undirected"
"think","leav",160,"undirected"
"look","leav",180,"undirected"
"mind","leav",34,"undirected"
"see","sheet",33,"undirected"
"feel","sheet",25,"undirected"
"think","sheet",25,"undirected"
"look","sheet",37,"undirected"
"mind","sheet",3,"undirected"
"see","strand",9,"undirected"
"feel","strand",8,"undirected"
"think","strand",11,"undirected"
"look","strand",12,"undirected"
"see","sympathi",2,"undirected"
"feel","sympathi",16,"undirected"
"think","sympathi",5,"undirected"
"look","sympathi",11,"undirected"
"mind","sympathi",1,"undirected"
"see","white",178,"undirected"
"feel","white",45,"undirected"
"think","white",58,"undirected"
"look","white",150,"undirected"
"mind","white",18,"undirected"
"see","apart",105,"undirected"
"feel","apart",57,"undirected"
"think","apart",78,"undirected"
"look","apart",68,"undirected"
"mind","apart",27,"undirected"
"see","car",170,"undirected"
"feel","car",66,"undirected"
"think","car",112,"undirected"
"look","car",176,"undirected"
"mind","car",16,"undirected"
"see","element",10,"undirected"
"feel","element",8,"undirected"
"think","element",10,"undirected"
"look","element",10,"undirected"
"mind","element",3,"undirected"
"feel","kuinist",1,"undirected"
"see","might",305,"undirected"
"feel","might",228,"undirected"
"think","might",648,"undirected"
"look","might",339,"undirected"
"mind","might",91,"undirected"
