filenames,corpus,WC,WPS,Sixltr,Dic,Numerals,funct,pronoun,ppron,i,we,you,shehe,they,ipron,article,verb,auxverb,past,present,future,adverb,preps,conj,negate,quant,number,swear,social,family,friend,humans,affect,posemo,negemo,anx,anger,sad,cogmech,insight,cause,discrep,tentat,certain,inhib,incl,excl,percept,see,hear,feel,bio,body,health,sexual,ingest,relativ,motion,space,time,work,achieve,leisure,home,money,relig,death,assent,nonfl,filler,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP,AllPct
"ENN_1849_TheHistoryandPracticeoftheArtofPhotography_Snelling,Henry.txt",EN_NON,35062,23.59,22.75,77.34,0.39,54.61,6.81,1.8,0.49,0.27,0.13,0.4,0.51,5.01,11.63,9.46,7.14,1.68,4.5,1.46,2.73,16.98,6.05,0.78,3.15,1.36,0.05,2.59,0.01,0.01,0.4,3.12,2.45,0.65,0.11,0.16,0.2,15.11,1.96,2.36,1.13,2.96,1.49,0.81,4.36,2.14,4.34,2.41,0.1,0.88,1.18,0.41,0.26,0.08,0.49,12.19,1.59,6.84,3.57,1.92,2.59,0.6,0.28,0.27,0.05,0.01,0.01,0.1,0.04,4.6,7.64,0.18,0.78,0,0.01,2.7,0.31,0.18,0.4,0.17,16.59
"ENN_1850_AWomanSJourneyRoundtheWorld_Pfeiffer,Ida.txt",EN_NON,185982,23.09,20.43,81.34,0.35,57.43,9.96,5.67,2.05,0.95,0.02,1.07,1.57,4.29,10.45,9.32,6.54,4.6,3.53,0.49,3.69,16.1,6.72,1.17,3.43,1.74,0,6.5,0.23,0.13,0.8,3.97,2.57,1.4,0.21,0.39,0.42,13.76,1.03,0.84,0.82,2.2,1.21,0.52,5.91,2.01,2.25,1.18,0.3,0.61,1.95,0.92,0.38,0.07,0.63,15.41,2.08,8.88,4.24,0.88,1.11,0.9,0.75,0.64,0.61,0.2,0.01,0.12,0.08,4.31,8.78,0.11,0.88,0.02,0.04,1.91,0.15,0.21,0.22,0.02,16.21
"ENN_1850_SketchesofReformsandReformersofGreatBritainandIreland_Stanton,Henry.txt",EN_NON,122693,24.83,25.95,76.29,0.5,52.3,8.58,4.8,0.26,0.15,0.1,3.27,1.01,3.79,11.18,7.03,4.92,3.61,2.04,0.66,1.85,16.97,6.2,0.86,2.28,1.11,0.02,8.33,0.15,0.14,1.08,4.94,3.06,1.85,0.31,0.77,0.39,12.59,1.21,1.14,0.71,1.56,1.24,0.65,5.12,1.49,1.43,0.46,0.5,0.35,1.22,0.59,0.4,0.08,0.18,12.06,1.56,6.35,3.98,2.65,1.97,0.54,0.44,1.07,1.02,0.23,0.01,0.05,0.07,3.93,9.18,0.07,0.59,0.05,0.11,3.16,1.05,0.42,0.11,0.47,18.26
"ENN_1852_HowtoSeetheBritishMuseuminFourVisits_Jerrold,Blanchard.txt",EN_NON,68606,30.9,24.58,73.28,0.95,52.08,6.37,2.27,0.05,0.28,0,1.05,0.91,4.09,13.69,6.93,5.49,1.82,3.52,0.94,1.88,16.49,5.04,0.37,2.02,2,0.01,5.13,0.28,0.08,0.62,3.15,2.21,0.94,0.09,0.37,0.22,11.65,2.03,0.57,0.54,1.63,0.69,0.47,5.14,0.93,1.48,0.87,0.17,0.32,1.72,1.1,0.31,0.09,0.27,12.76,1.96,7,3.59,0.79,1.36,1.01,0.52,0.35,0.58,0.45,0,0.07,0.05,3.32,8.06,0.2,2.13,0.01,0.02,2.48,0.16,0.31,0.69,0.1,17.13
"ENN_1852_TheInfantSystem_Wilderspin,Samuel.txt",EN_NON,121517,18.91,18.17,85.67,0.81,59.56,12.52,6.35,1.64,0.62,0.46,1.53,2.11,6.17,9.37,13.24,9.31,3.35,6.3,1.95,3.25,14.33,7.07,1.33,3.27,1.57,0.02,9.87,0.35,0.08,2.15,4.48,2.95,1.52,0.23,0.44,0.35,16.63,2.4,1.67,1.59,2.6,1.62,0.61,5.13,2.25,1.87,0.72,0.58,0.5,1.4,0.53,0.44,0.13,0.33,11.52,1.6,5.71,3.91,2.18,2.03,0.67,0.28,0.48,0.7,0.13,0.13,0.1,0.06,4.66,8.83,0.23,1.27,0.77,0.1,3.09,0.7,0.37,0.17,1.63,21.37
"ENN_1853_ AnecdotesofPaintersEngraversSculptorsandArchitectsandCuriositiesofArt_Spooner,Shearjashub.txt",EN_NON,74222,27.19,23.89,77.08,0.66,55.32,9.99,5.32,0.3,0.22,0.12,3.66,1.02,4.67,10.64,8.26,5.86,4.17,2.57,0.64,2.62,16.96,6.05,0.82,2.94,1.38,0.02,7.77,0.19,0.12,0.44,4.16,3.06,1.09,0.15,0.38,0.28,12.53,1.49,0.97,0.77,1.64,1.23,0.5,5.02,1.4,1.61,0.75,0.38,0.38,1.31,0.66,0.29,0.14,0.24,12.18,1.39,6.88,3.73,1.68,2.36,0.94,0.32,0.65,0.63,0.23,0.01,0.09,0.04,3.64,9.59,0.13,1,0.04,0.08,1.09,0.61,0.52,0.13,0.56,17.15
"ENN_1853_AReviewofUncleTomSCabin;or,anEssayonSlavery_Woodward,A.txt",EN_NON,55323,20.9,21.91,81.48,0.08,57.41,12.66,7.37,1.26,1.24,0.69,1.74,2.44,5.29,8.43,10.04,7.87,2.07,5.48,1.55,2.55,15,7.55,1.61,3,0.75,0.02,10.17,0.44,0.18,1.34,5.9,3.43,2.43,0.31,1.01,0.44,16.51,1.69,1.48,1.35,2.32,1.92,0.85,5.78,2.4,1.32,0.61,0.35,0.27,1.08,0.44,0.3,0.18,0.2,10.31,0.99,6.43,2.7,1.78,1.8,0.49,0.31,0.9,1.69,0.17,0.09,0.2,0.02,4.06,8.9,0.04,1.36,0.39,0.38,1.97,0.96,0.32,0.08,0.35,18.29
"ENN_1853_LecturesonArchitectureandPaintingDeliveredatEdinburghinNovember1853_Ruskin,John.txt",EN_NON,45935,28.78,20.45,83.15,0.6,59.9,11.99,5.86,1.05,0.57,1.9,1.02,1.31,6.14,8.79,10.35,7.65,2.38,5.47,1.3,3.15,16.39,7.62,1.71,3.82,1.28,0.01,7.35,0.04,0.04,0.65,4.66,3.33,1.29,0.17,0.37,0.3,17.2,2.23,1.5,1.17,2.76,2.33,0.43,4.99,3.14,1.93,1.01,0.39,0.42,1.06,0.49,0.34,0.1,0.15,12.12,1.19,6.7,3.98,1.32,2.06,1,0.53,0.48,0.77,0.18,0.05,0.11,0.1,3.41,8.36,0.3,1.31,0.18,0.05,2.02,0.71,0.27,0.31,1.17,17.76
"ENN_1855_ABriefMemoirwithPortionsoftheDiary,Letters,andOtherRemainsofElizaSouthall_Southall,Eliza.txt",EN_NON,41349,22.16,17.24,87.53,0.13,59.84,15.33,9.37,4.57,1.34,0.65,2.26,0.55,5.96,6.52,12.97,8.88,3.29,6.48,1.74,4.19,14.51,7.39,1.68,3.27,0.79,0,8.67,0.41,0.15,0.39,7.61,5.59,1.95,0.48,0.3,0.61,18.09,2.66,1.51,1.72,2.99,1.93,0.73,5.08,2.79,2.27,0.68,0.65,0.68,1.65,0.72,0.5,0.3,0.14,11.98,1.37,5.46,4.94,1.04,1.57,0.45,0.26,0.38,2.44,0.28,0.45,0.13,0.06,4.2,8.41,0.28,1.19,0.4,0.54,2.12,2.2,0.56,0.1,2.56,22.1
"ENN_1855_BlackerSArtofFlyMaking_Blacker,William.txt",EN_NON,53092,28.64,11.82,75.66,0.65,53.09,6.61,3.08,0.56,0.05,0.91,0.48,1.08,3.53,12.26,7.99,5.37,1.34,4.35,1.28,2.82,16.24,6.93,0.9,2.26,1.44,0.1,3.41,0.01,0.06,0.14,3.16,2.42,0.73,0.07,0.39,0.18,12.49,0.49,1.14,0.63,2.17,0.61,0.56,6.41,1.64,4.62,3.02,0.16,1.33,3.07,2.16,0.18,0.11,0.73,15.88,2.59,9.65,3.57,0.48,1.03,0.88,0.1,0.21,0.06,0.21,0.01,0.22,0.12,3.65,9.71,0.16,1.19,0.04,0.04,2.33,1.04,0.39,0.27,0.3,18.54
"ENN_1855_MyBondageandMyFreedom_Douglass,Frederick.txt",EN_NON,134632,23.28,19.88,83.21,0.07,57.7,12.91,8.43,4,0.59,0.32,2.5,1.02,4.48,8.57,10.66,7.29,4.97,3.61,1.03,3.17,16.33,6.55,1.41,2.72,0.91,0.05,8.68,0.45,0.2,1.33,5.53,3.29,2.2,0.41,0.83,0.46,15.4,1.91,1.26,1.28,2.22,1.67,0.7,5.24,2.01,2.12,0.8,0.57,0.56,1.57,0.76,0.43,0.09,0.31,12.09,1.56,6.25,4.09,1.43,1.81,0.58,0.44,0.66,0.86,0.2,0.03,0.15,0.09,4.15,9.33,0.05,1.1,0.13,0.16,3.67,0.9,0.44,0.36,0.98,20.49
"ENN_1856_FirstFootstepsinEastAfrica_Burton,Richard.txt",EN_NON,120280,22.57,21.42,73.65,1.03,50.37,7.89,4.78,0.76,1.11,0.11,1.57,1.23,3.11,11.69,7.38,5.02,3.47,2.8,0.49,2.36,15.4,5.83,0.82,1.84,1.38,0.04,7.32,0.29,0.2,0.75,3.97,2.03,1.92,0.3,0.78,0.42,12.13,1.18,0.89,0.6,1.74,0.83,0.72,5.5,1.43,2.13,0.79,0.41,0.74,2.15,1.02,0.48,0.11,0.63,13.86,2.1,7.43,4.34,0.93,1.15,0.79,0.38,0.57,0.59,0.35,0.01,0.1,0.14,4.67,9.04,0.75,0.6,0.02,0.16,2.56,1.28,0.51,0.81,0.35,20.72
"ENN_1856_TheChristianLife_Arnold,Thomas.txt",EN_NON,128074,35.9,18.03,89.07,0.11,64.04,15.39,7.74,0.6,3.27,0.37,1.8,1.7,7.65,6.97,12.95,9.61,2.53,6.8,1.87,4.35,15.63,8.33,2.29,3.65,0.87,0,11.05,0.15,0.07,0.78,5.66,3.67,1.94,0.32,0.56,0.41,20.8,2.9,1.5,1.77,3.49,2.61,0.59,5.76,3.87,1.59,0.48,0.64,0.35,1.24,0.37,0.55,0.18,0.15,10.7,1.28,5.14,4.06,1.07,1.66,0.29,0.09,0.17,3.24,0.3,0.04,0.1,0.04,2.42,9.27,0.42,1.85,0.39,0.07,1.02,0.65,0.58,0.07,0.4,16.92
"ENN_1856_Twenty-TwoYearsaSlave,andFortyYearsaFreeman_Steward,Austin.txt",EN_NON,80576,24.73,19.81,83.92,0.04,57.72,13.32,9.15,2.74,1,0.48,3.37,1.56,4.17,8.35,10.42,6.79,5.57,2.76,1.04,3.31,16.03,7.42,1.24,2.7,1.08,0.02,10.79,0.42,0.3,1.22,5.9,3.53,2.32,0.44,0.76,0.6,15.1,1.8,1.05,1.28,1.93,1.56,0.67,5.74,1.9,1.89,0.78,0.52,0.49,1.61,0.72,0.53,0.11,0.29,13.13,1.98,6.26,4.75,1.6,1.73,0.63,0.59,1.25,0.62,0.29,0.1,0.13,0.09,3.63,8.95,0.08,1.2,0.19,0.31,1.62,0.91,0.27,0.03,0.54,17.25
