filenames,corpus,WC,WPS,Sixltr,Dic,Numerals,Pronoun,I,We,Self,You,Other,Negate,Assent,Article,Preps,Number,Affect,Posemo,Posfeel,Optim,Negemo,Anx,Anger,Sad,Cogmech,Cause,Insight,Discrep,Inhib,Tentat,Certain,Senses,See,Hear,Feel,Social,Comm,Othref,Friends,Family,Humans,Time,Past,Present,Future,Space,Up,Down,Incl,Excl,Motion,Occup,School,Job,Achieve,Leisure,Home,Sports,TV,Music,Money,Metaph,Relig,Death,Physcal,Body,Sexual,Eating,Sleep,Groom,Swear,Nonfl,Fillers,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP,AllPct
"GNN_1834_Heine,Heinrich_Zur Geschichte der Religion und Philosophie in Deutschland_Philosophy.txt",DE_NON,43108,24.04,30.11,61.39,0.39,8.22,1.32,1.06,2.38,1.09,5.44,1.43,0.1,12.57,8.1,0.45,4.18,2.62,0.21,0.74,1.54,0.19,0.27,0.36,7.24,1.81,1.85,1.12,0.32,0.77,1.67,0.06,0.03,0.01,0.01,9.07,1.24,7.3,0.13,0.38,0.68,3.46,3.17,3.88,0.56,7,0.59,0.12,6.64,2.15,0.6,3.64,1.09,0.95,1.97,1.07,0.48,0.24,0.13,0.23,0.51,2.47,2.21,0.29,1.08,0.77,0.12,0.1,0.05,0.13,0.02,0,0.01,3.96,9.98,0.29,0.53,0.14,0.24,0.41,0,0.04,0.35,0,16.2
"GNN_1836_Büchner,Georg_Cartesius_Philosophy.txt",DE_NON,36835,20.95,24.68,42.32,11.72,5.08,0.79,1.07,1.86,0.36,2.83,1.41,0.08,8.19,7.03,0.42,2.63,1.69,0.08,0.35,0.93,0.13,0.1,0.21,5.97,1.18,2.28,0.72,0.22,0.77,1.18,0.11,0.04,0,0,5.76,0.85,4.61,0.01,0.69,0.11,2.14,1.31,3.84,0.55,5.76,0.44,0.08,4.26,1.94,0.42,2.24,0.55,0.74,1.31,0.71,0.12,0.42,0.11,0.06,0.31,1.35,1.22,0.14,0.52,0.33,0.02,0.12,0.02,0.06,0,0,0,4.85,8.9,0.47,0.58,0.15,0.01,0.04,0,0.06,0.88,0.01,16.84
"GNN_1836_Büchner,Georg_Naturwissenschaft_Philosophy.txt",DE_NON,27316,22.05,26.51,7.38,11.28,1.88,0,0.01,0.01,1.87,0,0.37,0,1.53,0.87,0.02,0.34,0.18,0,0.05,0.15,0,0,0.01,0.12,0,0,0,0,0,0.02,0.01,0,0,0,2.59,0.25,1.88,0,0.42,0,0.05,0.22,0.11,0,0.06,0.01,0,0.48,0.01,0,1.21,0.1,0.66,0.49,0.21,0.01,0,0,0.19,0.21,0.14,0.14,0,0.19,0.17,0,0.01,0,0.01,0,0,0,4.69,6.7,0.48,1.01,0.08,0.01,1.72,0,4.48,0.94,0,20.19
"GNN_1836_Heine,Heinrich_Die romantische Schule_Critical.txt",DE_NON,60173,24.53,29.9,61.11,0.41,7.87,1.28,0.81,2.09,0.99,5.5,1.21,0.09,12.58,8.36,0.38,4.62,2.98,0.34,0.73,1.63,0.14,0.19,0.48,6.2,1.64,1.27,1.12,0.18,0.68,1.54,0.15,0.08,0.02,0.01,9.1,1.16,7.06,0.16,0.39,0.91,3.78,3.36,3.76,0.33,7.25,0.69,0.21,6.91,2.22,0.44,3.21,1,0.88,1.74,1.33,0.46,0.26,0.31,0.27,0.66,2.08,1.67,0.48,1.45,1.2,0.13,0.13,0.06,0.06,0.01,0,0,3.79,9.93,0.23,0.83,0.15,0.35,0.28,0,0.1,0.36,0,16.31
GNN_1838_Schopenhauer_Johanna_Female_Autobiography.txt,DE_NON,69742,32.6,29.16,61.74,0.02,9.02,3.46,0.78,4.24,0.93,4.43,1.32,0.02,9.92,11.31,0.66,4.16,2.65,0.33,0.53,1.49,0.23,0.21,0.41,6.62,1.23,1.56,0.84,0.34,0.79,2.04,0.18,0.12,0.02,0.01,8.16,1.14,6.29,0.4,0.88,0.62,5.12,4.85,2.12,0.35,9.67,1.15,0.27,6.22,2.14,1.04,3.64,0.93,1.25,1.95,1.8,0.88,0.5,0.23,0.22,0.7,0.98,0.72,0.29,1.18,0.96,0.09,0.08,0.1,0.09,0.02,0,0,2.65,10.77,0.07,0.88,0.11,0.36,0.23,0,0.19,0,0.05,15.26
GNN_1840_Arndt1_Ernst_Male_Autobiography.txt,DE_NON,116240,27.19,28.18,61.63,0.51,7.15,2.43,0.61,3.04,0.57,3.87,1.04,0.14,10.86,9.83,0.58,4.02,2.65,0.24,0.74,1.36,0.18,0.27,0.34,5.99,1.26,1.25,1.01,0.42,0.84,1.41,0.12,0.08,0.02,0.01,7.2,1.06,5.26,0.34,0.67,0.75,4.27,4.47,2.8,0.47,8.83,0.91,0.25,9.58,2.05,0.84,3.56,0.81,1.39,1.87,1.37,0.71,0.38,0.12,0.18,0.73,1.15,0.92,0.28,1.06,0.85,0.12,0.06,0.09,0.06,0.02,0,0,3.5,8.08,0.31,0.62,0.18,0.19,0.39,0,0.04,0.1,0,13.47
GNN_1840_Immermann_Karl_Male_Autobiography.txt,DE_NON,91334,22.57,28.65,61.72,0.1,7.61,1.72,0.56,2.28,0.88,4.77,1.37,0.1,12.74,9.3,0.5,4.38,2.8,0.25,0.61,1.56,0.21,0.21,0.45,6.93,1.48,1.54,1.48,0.28,0.89,1.46,0.15,0.1,0.04,0,8.47,1.35,6.35,0.22,0.55,0.64,3.74,4.6,3.65,0.52,8.2,0.86,0.25,6.18,2.3,0.84,3.88,0.95,1.25,2.29,1.52,0.67,0.4,0.23,0.23,0.52,1.08,0.83,0.29,0.93,0.72,0.09,0.06,0.08,0.06,0.02,0,0,4.18,10.44,0.26,0.36,0.23,0.18,0.53,0,0.09,0.04,0.01,16.3
"GNN_1841_Feuerbach,Ludwig_Das Wesen des Christentums_Philosophy.txt",DE_NON,146669,17.51,27.27,63.2,1.12,5.98,0.86,0.46,1.32,0.87,3.85,2.03,0.11,15.6,7.45,0.38,5.17,3.82,0.57,1.07,1.35,0.16,0.26,0.35,7.95,1.99,2.56,1.53,0.36,0.69,1.76,0.15,0.07,0.02,0,8.31,1.15,5.5,0.05,0.6,1.72,2.92,1.44,6.33,0.57,5.68,0.55,0.07,4.92,3.05,0.28,2.77,0.39,0.95,1.94,0.74,0.38,0.12,0.09,0.16,0.43,4.53,4.26,0.32,1.11,0.87,0.11,0.07,0.01,0.07,0.02,0,0,6.3,11.1,0.35,0.83,0.3,0.09,0.95,0,0.03,0.81,0.01,21.51
GNN_1843_Pichler_Karoline_Female_Autobiography.txt,DE_NON,206040,31.59,28.22,63.83,0.24,8.59,2.85,1.11,3.97,0.9,4.32,1.06,0.11,10.38,10.27,0.48,4.62,3.01,0.43,0.67,1.58,0.23,0.18,0.43,7.15,1.41,1.62,0.99,0.29,1.11,2.01,0.14,0.08,0.02,0,9.12,1.39,6.33,0.56,1.16,0.79,4.63,5.44,2.3,0.35,8.76,0.91,0.19,7.81,2.11,0.94,3.78,0.87,1.33,2.18,1.91,1.09,0.43,0.2,0.25,0.61,1.33,1.01,0.38,1.02,0.75,0.11,0.06,0.06,0.1,0.01,0,0,3.06,11.18,0.15,0.37,0.06,0.13,0.72,0,0.04,0.15,0.12,16.07
"GNN_1844_Marx,Karl_Ökonomisch-philosophische Manuskripte aus dem Jahre 1844_Philosophy.txt",DE_NON,44501,20.35,31.78,60.21,1.05,5.57,0.41,0.28,0.69,0.96,4.42,1.1,0.05,16.11,8.02,0.36,3.49,2.41,0.08,0.67,1.08,0.09,0.19,0.3,6.92,2.4,1.84,0.76,0.21,0.65,1.22,0.11,0.05,0.02,0,8.06,0.8,5.54,0.33,0.23,1.58,3.38,0.86,5.68,0.56,5.84,0.52,0.2,5.05,2.78,0.46,6.54,0.68,4.32,4.41,1.23,0.57,0.31,0.17,0.19,2.15,0.79,0.59,0.21,0.46,0.29,0.04,0.06,0.02,0.07,0.03,0,0,5.66,9.44,0.22,0.48,0.12,0.03,1.12,0,0.31,0.75,0.89,19.68
