filenames,corpus,WC,WPS,Sixltr,Dic,Numerals,Pronoun,I,We,Self,You,Other,Negate,Assent,Article,Preps,Number,Affect,Posemo,Posfeel,Optim,Negemo,Anx,Anger,Sad,Cogmech,Cause,Insight,Discrep,Inhib,Tentat,Certain,Senses,See,Hear,Feel,Social,Comm,Othref,Friends,Family,Humans,Time,Past,Present,Future,Space,Up,Down,Incl,Excl,Motion,Occup,School,Job,Achieve,Leisure,Home,Sports,TV,Music,Money,Metaph,Relig,Death,Physcal,Body,Sexual,Eating,Sleep,Groom,Swear,Nonfl,Fillers,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP,AllPct
"GN_1866_Marlitt,Eugenie_Goldelse_Novel.txt",DE_NOV,100011,31.29,26.37,63.83,0.04,9.94,1.72,0.24,1.96,2.19,7.14,1.35,0.21,11.21,9.61,0.47,4.1,2.28,0.31,0.51,1.81,0.35,0.31,0.44,6.18,1.27,1.65,1.21,0.28,0.55,1.46,0.49,0.41,0.03,0.01,11,1.4,8.6,0.14,0.75,0.79,4.03,5.7,2.94,0.42,8.46,1.38,0.27,6.08,2.06,1.01,2.91,0.87,0.82,1.56,1.61,0.81,0.4,0.14,0.27,0.73,1.08,0.83,0.28,2.29,1.97,0.14,0.09,0.08,0.15,0.01,0,0,5.93,9.4,0.07,0.65,0.41,0.43,0.38,0,0.08,0,0,17.36
"GN_1867_Marlitt,Eugenie_DasGeheimnisderaltenMamsell_Novel.txt",DE_NOV,89017,30.11,27.06,64.91,0.07,9.98,1.69,0.21,1.91,2.29,6.96,1.32,0.21,11.64,8.77,0.4,4.59,2.32,0.26,0.55,2.26,0.39,0.43,0.53,6.07,1.35,1.62,1.15,0.32,0.52,1.34,0.5,0.43,0.03,0.01,11.34,1.42,8.61,0.11,1.09,1.04,3.77,6.01,2.81,0.41,7.72,1.31,0.28,6.4,2.04,0.95,3.42,1.22,1.03,1.64,1.7,0.88,0.37,0.19,0.28,0.74,1.22,0.87,0.42,2.47,2.22,0.13,0.1,0.1,0.11,0.02,0,0,5.49,8.63,0.12,0.67,0.43,0.93,1.29,0,0.19,0,0,17.75
"GN_1867_Raabe,Wilhelm_AbuTelfan_Novel.txt",DE_NOV,117102,31.49,24.52,64.41,0,9.43,2.39,0.8,3.19,1.28,5.45,1.41,0.12,11.55,9.67,0.5,3.94,2.37,0.25,0.54,1.56,0.23,0.34,0.43,6.03,1.17,1.26,1.14,0.27,0.67,1.7,0.26,0.2,0.03,0.01,10.48,1.51,7.53,0.26,1.22,1.13,4.06,4.2,3.39,0.46,8.44,1.15,0.23,7.82,2.1,0.92,3.19,0.87,0.87,1.78,1.39,0.82,0.3,0.1,0.17,0.56,1.01,0.77,0.27,1.73,1.34,0.24,0.07,0.13,0.06,0.18,0,0.01,2.71,9.15,0.48,0.85,0.44,0.82,0.72,0,0.12,0,0.31,15.5
"GN_1869_Spielhagen,Friedrich_HammerundAmboß_Novel.txt",DE_NOV,205077,28.77,22.13,66.33,0.04,12.19,5.2,0.53,5.73,1.11,5.73,1.66,0.24,11.12,9.53,0.57,3.89,2.4,0.28,0.56,1.48,0.23,0.22,0.35,6.58,1.32,1.78,1.36,0.24,0.71,1.47,0.35,0.28,0.03,0.02,10.1,1.94,7.31,0.34,0.66,0.75,4.57,6.09,3.25,0.41,8.31,1.28,0.16,6.31,2.15,0.89,2.99,0.68,1.02,1.76,1.31,0.6,0.38,0.15,0.18,0.56,0.9,0.7,0.22,1.88,1.61,0.16,0.08,0.1,0.07,0.03,0,0,3.04,10.84,0.31,1.06,0.52,0.77,0.87,0,0.17,0.01,0,17.51
"GN_1870_Raabe,Wilhelm_DerSchüdderump_Novel.txt",DE_NOV,116703,29.62,23.57,64.27,0.01,9.07,2.07,0.58,2.65,1.54,5.33,1.46,0.13,11.25,9.91,0.45,4.21,2.7,0.33,0.67,1.5,0.28,0.18,0.39,6.22,1.26,1.28,1.13,0.29,0.65,2.04,0.27,0.19,0.05,0.01,9.78,1.37,7.56,0.24,0.61,1.13,4.23,4.88,3.36,0.44,8.49,1.32,0.24,8.05,2.08,0.98,2.86,0.69,0.81,1.68,1.26,0.73,0.31,0.09,0.15,0.48,1.27,1.04,0.25,1.6,1.34,0.11,0.09,0.12,0.06,0.06,0.01,0.01,2.91,8.6,0.31,0.85,0.38,0.89,0.85,0,0.14,0.01,0.31,15.14
"GN_1871_François,Louisevon_DieletzteReckenburgerin_Novel.txt",DE_NOV,92241,21.9,27.75,64.33,0.06,10.15,3.37,0.59,3.95,1.44,5.69,1.47,0.15,12.63,9.51,0.54,4.06,2.43,0.29,0.62,1.62,0.3,0.29,0.43,6,1.37,1.62,1.21,0.34,0.65,1.04,0.25,0.19,0.04,0.01,9.93,1.47,7.14,0.36,1.05,0.87,4.55,5.15,2.52,0.47,7.79,1.12,0.27,6.17,2.3,0.87,3.53,0.91,1.05,1.99,1.6,0.92,0.34,0.13,0.23,0.69,1.05,0.77,0.33,1.88,1.6,0.11,0.06,0.17,0.1,0.01,0,0,4.23,9.21,0.37,0.63,0.51,0.5,0.75,0,0.01,0.01,0,16.17
"GN_1875_Otto,Louise_AnNürnberg_Novel.txt",DE_NOV,155491,36.52,22.15,62.07,0.03,10.78,1.5,0.31,1.81,2.4,8.22,1.52,0.13,9.85,9.81,0.42,3.87,2.37,0.25,0.6,1.49,0.2,0.37,0.32,6.3,1.54,1.37,1.32,0.29,0.7,1.27,0.22,0.15,0.04,0.01,12.07,1.67,9.66,0.19,0.81,0.55,4.1,5.46,2.45,0.43,8.45,1.01,0.18,6.75,2.54,0.81,3.25,0.66,1.33,1.88,1.25,0.62,0.38,0.09,0.18,0.59,1.15,0.93,0.24,1.03,0.85,0.08,0.05,0.06,0.08,0.01,0,0,2.73,8.48,0.5,0.55,0.37,0.56,3.94,0,0.55,0.01,0.51,18.19
"GN_1876_EbnerEschenbach,Maria_Bozena_Novel.txt",DE_NOV,62841,20.35,25.09,64.51,0.04,11.28,1.24,0.14,1.39,2.46,9.09,1.43,0.11,10.93,9.53,0.4,4.49,2.61,0.39,0.6,1.87,0.33,0.35,0.44,5.45,1.08,1.56,0.98,0.32,0.52,1.26,0.36,0.27,0.04,0.03,13.79,1.97,10.33,0.25,1.14,0.97,3.72,5.99,2.85,0.39,7.83,1.28,0.18,6.14,1.74,1.02,3.18,0.88,0.92,1.79,1.54,0.75,0.47,0.09,0.26,0.77,0.98,0.73,0.28,1.86,1.62,0.17,0.07,0.11,0.06,0.01,0,0,5.96,9.17,0.92,0.31,0.72,1.11,1.24,0,0.18,0.01,0.28,19.89
"GN_1877_François,Louisevon_StufenjahreeinesGlücklichen_Novel.txt",DE_NOV,163970,24.26,26.83,64.33,0.01,9.29,1.18,0.22,1.4,1.7,7.07,1.59,0.22,12.28,9.55,0.57,4.12,2.56,0.42,0.46,1.54,0.22,0.26,0.42,5.88,1.6,1.29,1.4,0.3,0.58,0.93,0.25,0.19,0.05,0,11.71,1.22,8.46,0.37,1.45,0.87,4.18,4.94,2.7,0.53,7.91,1.14,0.24,6.02,2.59,0.84,3.32,0.99,1.11,1.7,1.49,0.83,0.32,0.13,0.22,0.75,1.47,1.19,0.34,1.91,1.57,0.19,0.08,0.09,0.12,0.02,0,0,3.64,9.29,0.32,0.83,0.52,0.66,0.55,0,0.01,0,0,15.82
"GN_1880_Spyri,Johanna_HeidesLehrundWanderjahre_Novel.txt",DE_NOV,51298,32.14,18.43,64.27,0,9.47,1.2,0.23,1.43,1.6,6.76,1.74,0.19,9.64,8.11,0.39,2.77,1.82,0.27,0.36,0.94,0.27,0.12,0.23,7.59,1.34,1.76,1.61,0.11,0.61,2.5,0.3,0.19,0.02,0.02,11.29,1.64,8.93,0.22,0.29,1.07,5.68,6.54,3.17,0.44,8.06,1.78,0.33,7.58,2.1,1.34,2.63,0.68,0.64,1.59,1.13,0.77,0.19,0.05,0.12,0.3,0.68,0.57,0.11,1.32,1.01,0.07,0.16,0.2,0.05,0,0,0,3.11,9.55,0.56,0.88,0.67,0.69,0.43,0,0.47,0,0,16.25
"GN_1881_Spyri,Johanna_Heidekannbrauchen_Novel.txt",DE_NOV,37403,25.15,16.72,65.16,0.01,9.4,1.07,0.34,1.41,1.55,6.9,1.47,0.27,11.36,8.16,0.39,3.25,2.42,0.45,0.44,0.82,0.25,0.15,0.17,7.92,1.55,1.98,1.71,0.07,0.49,2.64,0.28,0.2,0.02,0,10.83,1.3,9.09,0.24,0.2,0.78,5.97,6.85,2.71,0.41,8.4,1.97,0.3,6.78,2.32,1.34,2.6,0.51,0.75,1.71,0.88,0.52,0.16,0.08,0.15,0.28,0.51,0.44,0.07,1.45,1.1,0.14,0.13,0.2,0.06,0.01,0,0,3.87,8.84,0.46,0.66,0.39,0.58,0.26,0,0.31,0,0,15.32
"GN_1884_Anzengruber,Ludwig_Sternsteinhof_Novel.txt",DE_NOV,86070,27.63,18.79,56.72,0,9.71,2.02,0.2,2.22,2.17,5.85,1.23,0.26,9.83,8.29,0.38,3.09,1.75,0.15,0.38,1.33,0.21,0.22,0.3,5.31,1.48,1.09,1.22,0.22,0.51,0.97,0.31,0.27,0.03,0,9.7,1,8.01,0.18,0.39,0.59,3.92,4.23,2.35,0.34,7.48,1.09,0.33,5.83,2.56,0.82,2.97,0.8,0.88,1.67,1.11,0.56,0.27,0.13,0.15,0.58,0.96,0.75,0.23,1.74,1.53,0.09,0.06,0.11,0.09,0.06,0,0,3.61,10.64,0.25,0.53,0.78,1.02,2.79,0,2.14,0,0.31,22.05
