filenames,corpus,WC,WPS,Sixltr,Dic,Numerals,funct,pronoun,ppron,i,we,you,shehe,they,ipron,article,verb,auxverb,past,present,future,adverb,preps,conj,negate,quant,number,swear,social,family,friend,humans,affect,posemo,negemo,anx,anger,sad,cogmech,insight,cause,discrep,tentat,certain,inhib,incl,excl,percept,see,hear,feel,bio,body,health,sexual,ingest,relativ,motion,space,time,work,achieve,leisure,home,money,relig,death,assent,nonfl,filler,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP,AllPct
"2015_Hemmings,KauiHart_ThePossibilities_CT.txt",CONT_NOV,104885,14.88,14.23,86.37,0,59.41,16.71,11.88,2.91,1.67,1.87,4.06,1.37,4.82,7.48,13.89,8.37,5.94,5.4,1.43,5.83,13.5,7.18,1.61,2.26,0.94,0.01,13.89,0.5,0.26,1.37,4.56,2.55,1.98,0.57,0.57,0.42,15.21,2,0.98,1.37,2.44,1.13,0.82,5.2,2.59,3.74,1.43,1.49,0.76,1.9,1.29,0.37,0.05,0.22,16.68,2.89,7.18,6.42,0.38,1.07,0.38,0.28,0.19,0.43,0.19,0.05,0.19,0.14,5.49,7.64,0.21,0.04,1.01,0.22,0.57,0.01,6.86,0,0,21.89
"2015_Hua,Yu_TheSeventhDay_CT.txt",CONT_NOV,63731,15.3,15.96,87.76,0.03,57.94,16.91,13.15,4.97,0.69,0.95,5.22,1.31,3.76,7.89,13.86,7.31,8.68,3.41,0.88,4.47,13.63,6.64,1.49,2.03,1.48,0.04,13.85,0.91,0.15,1.07,3.51,1.68,1.76,0.39,0.32,0.69,14.09,1.86,0.99,1.42,1.53,0.97,0.69,5.45,1.65,3.99,1.33,1.59,0.94,2.93,1.76,0.51,0.14,0.56,17.17,3.01,7.96,6.1,1.21,0.93,0.82,0.82,0.76,0.08,0.55,0.06,0.08,0.22,5.87,5.8,0.1,0.13,0.54,0.14,0.68,4.41,1.87,0,0,19.32
"2015_James,Tania_TheTuskthatDid_CT.txt",CONT_NOV,54824,12.25,15.88,82.06,0.05,54.97,15.28,11.56,3.99,0.93,1.03,4.91,0.7,3.72,9.11,11.6,6.48,6.33,3.39,0.95,3.49,13.52,5.42,1.59,2.05,1.13,0.08,12.31,0.81,0.12,0.95,3.78,1.66,2.07,0.41,0.49,0.69,13.73,1.84,0.89,1.63,1.85,1.09,0.68,4.82,1.84,4.04,1.42,1.18,1.08,3.38,2.27,0.54,0.08,0.59,14.12,2.19,6.8,5.08,1.05,0.81,0.71,0.49,0.37,0.26,0.57,0.11,0.05,0.22,7.18,6.25,0.27,0.14,0.89,0.14,0.95,3.69,1.49,0.04,0.01,20.68
"2015_July,Miranda_TheFirstBadMan_CT.txt",CONT_NOV,75895,9.81,14.78,87.37,0.04,58.37,18.88,13.92,6.15,0.9,1.35,4.97,0.56,4.96,7.27,15.15,9.04,7.76,5.14,1,4.4,11.99,5.84,2.11,2.02,1.1,0.06,12.29,0.34,0.11,0.86,4.02,2.36,1.64,0.42,0.41,0.41,15.72,1.92,0.98,1.83,2.47,1.13,0.76,5.23,2.67,4.49,1.56,1.43,1.26,3.84,2.33,0.73,0.29,0.64,15.13,2.32,7.26,5.71,0.87,0.82,0.96,1.04,0.27,0.13,0.09,0.31,0.07,0.39,9.08,4.68,0.1,0.44,1.25,0.16,0.96,5.7,2.96,0.02,0,24.95
"2015_Kanon,Joseph_LeavingBerlin_CT.txt",CONT_NOV,100516,6.4,14.38,86.71,0.02,58.22,18.84,12.97,2.38,0.84,3.02,5.34,1.4,5.87,7.68,17.19,9.18,6.28,8.62,1.11,6.07,11.49,4.96,2.94,2.02,0.82,0.05,16.35,0.24,0.2,0.58,4.27,2.64,1.6,0.47,0.41,0.27,15.21,2.5,1.16,1.76,2.54,1.22,0.94,3.23,3,4.92,1.64,2.35,0.82,2.28,1.36,0.37,0.12,0.44,15.27,2.61,6.75,5.98,1.09,0.91,0.8,0.66,0.28,0.17,0.25,0.4,0.2,0.3,12.89,8.15,0.01,0,2.73,0.03,0.23,10.98,4.44,0,0.06,39.43
"2015_Knausgaard,Karl_Dancing in the Dark (My Struggle)_CT.txt",CONT_NOV,166389,11.09,13.57,89.13,0.03,61.37,18.3,13.28,6.23,0.98,1.46,3.61,1,5.01,7.81,16.36,9.35,10.21,4.43,0.8,4.74,13.52,6.64,2.07,2.31,1.12,0.12,12.03,0.5,0.09,0.48,3.53,2.33,1.17,0.25,0.32,0.27,14.74,1.61,0.8,1.49,2.13,1.18,0.45,5.75,2.06,4.66,1.48,2.24,0.79,2.65,1.42,0.32,0.23,0.77,16.87,2.84,8.57,5.32,1.2,0.77,1.34,0.96,0.38,0.22,0.06,0.52,0.15,0.17,7.51,7.2,0.06,0.04,1.29,0.38,0.6,0.01,7.88,0.01,0.01,24.75
"2015_Metcalf,Ben_AgainsttheCountry_CT.txt",CONT_NOV,88386,46.35,17.73,85.06,0.04,60.37,14.23,8.36,3.36,1.33,0.14,2.61,0.92,5.87,7.69,10.33,6.8,5.16,2.78,1.29,4.37,15.87,8.6,1.75,2.82,0.98,0.14,8.8,0.72,0.09,0.78,4.81,2.52,2.25,0.44,0.84,0.5,18.82,2.13,1.27,1.71,3.26,1.64,0.67,6.6,3.21,2.02,0.83,0.48,0.53,1.94,0.93,0.48,0.25,0.45,13.92,1.55,7.59,4.59,1.29,1.44,0.76,0.61,0.53,0.53,0.35,0.05,0.11,0.07,1.65,7.48,0.22,0.24,0.44,0.1,1.31,0.83,0.58,0.82,0.04,13.95
"2015_Morrison, Toni_God Help the Child_CT.txt",CONT_NOV,39164,11.58,17.09,86.14,0.04,55.52,16.11,12,4.03,0.33,0.96,5.72,0.95,4.11,7.02,12.62,7.05,6.29,4.78,0.59,4.4,12.77,6.79,2.32,2.24,1.16,0.18,12.75,0.48,0.18,1.11,5.52,2.93,2.55,0.45,0.91,0.56,15.33,2.28,1.3,1.33,2.34,1.24,0.78,4.53,2.64,4.36,1.72,1.15,1.17,3.67,2.08,0.73,0.35,0.62,13.45,2,6.59,5.03,1.74,1.22,1.67,0.93,0.56,0.33,0.29,0.21,0.13,0.32,7.54,5.91,0.12,0.19,0.97,0.16,1.36,3.32,2.27,0.02,0.01,21.32
"2015_NguyenThanh,Viet_TheSympathizer_CT.txt",CONT_NOV,137837,16.15,19.31,83.65,0.06,57.48,15.55,11.05,4.68,1.46,1.2,2.79,0.91,4.5,8.73,11.97,7.43,6.18,3.89,0.8,3.72,13.59,6.3,1.88,2.35,1.22,0.12,11.62,0.44,0.18,0.99,4.58,2.47,2.06,0.33,0.75,0.49,15.27,1.92,1.08,1.66,2.08,1.34,0.57,4.77,2.66,3.52,1.26,1.31,0.71,2.88,1.59,0.53,0.26,0.6,11.6,1.42,5.96,4.21,1.37,1.09,1.07,0.51,0.53,0.43,0.42,0.1,0.11,0.16,5.46,7.49,0.07,0.08,0.64,0.21,0.93,0.11,1.58,0.03,0.01,16.23
"2015_Oates,JoyceCarol_TheSacrifice_CT.txt",CONT_NOV,87511,14.9,20.41,81.99,0.17,51.99,12.73,8.97,0.83,0.41,1.25,5.5,0.98,3.76,7.41,13.23,8.86,7.25,3.28,0.82,3.27,13.05,5.57,2.02,1.75,0.95,0.34,14,0.89,0.16,1.67,5.02,1.9,3.09,0.61,1.31,0.52,14.03,1.8,0.79,1.54,2.41,0.9,0.66,4.74,2.34,4.22,1.92,1.2,0.92,3.68,1.98,0.75,0.36,0.69,12.5,1.56,6.63,4.54,1.84,0.93,0.64,0.68,0.33,0.68,0.35,0.13,0.1,0.47,6.4,6.07,0.15,0.19,0.54,0.32,2.25,2.17,3.68,0.25,0.09,21.42
