Filename,corpus,WC,WPS,Sixltr,Dic,Numerals,funct,pronoun,ppron,i,we,you,shehe,they,ipron,article,verb,auxverb,past,present,future,adverb,preps,conj,negate,quant,number,swear,social,family,friend,humans,affect,posemo,negemo,anx,anger,sad,cogmech,insight,cause,discrep,tentat,certain,inhib,incl,excl,percept,see,hear,feel,bio,body,health,sexual,ingest,relativ,motion,space,time,work,achieve,leisure,home,money,relig,death,assent,nonfl,filler,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP,AllPct
"2010_Winter,Kathleen_Annabel_PW.txt",Cont_3P,81314,81314,14.39,81.93,0,56.54,13.49,8.43,0.05,0.01,0.49,6.83,1.05,5.07,8.33,13.47,8.07,9.66,2.22,0.64,3.32,13.26,7.33,1.77,1.95,1.11,0.02,12.33,0.8,0.08,1.1,2.74,1.7,1.04,0.18,0.27,0.38,16.32,1.86,0.98,1.97,1.98,0.88,0.51,6.09,3.07,3.65,1.66,0.69,1.01,2.94,1.44,0.61,0.26,0.77,13.81,2.17,7.56,4.04,1.12,0.79,1.17,0.95,0.49,0.22,0.11,0.02,0.04,0.29,5.47,5.16,0.13,0.08,0.16,0.01,0.35,0,1.03,0,0,12.4
"2011_Bezmozgis,David_TheFreeWorld_PW.txt",Cont_3P,96883,96883,16.95,77.73,0,52.61,13.55,9.38,1.35,0.37,1.05,4.96,1.65,4.16,8.43,10.15,5.89,5.71,3.04,0.62,3.43,13.23,6.02,1.05,1.98,1.14,0.07,12.56,0.95,0.16,1.08,3.5,1.92,1.56,0.32,0.48,0.38,13.84,1.97,0.97,1.55,1.95,0.97,0.59,4.88,1.92,2.68,1.23,0.61,0.71,2.02,1.11,0.47,0.15,0.37,13.11,2.07,6.45,4.56,1.25,1.17,1.15,0.92,0.47,0.4,0.22,0.08,0.08,0.23,7.12,6.42,0.14,0.1,0.76,0.06,0.26,0,2.11,0.01,0.02,17.02
"2011_Endicott,Marina_LittleShadows_PW.txt",Cont_3P,139434,139434,14.96,79.61,0,52.48,11.09,8.18,0.2,0.06,0.17,6.32,1.43,2.9,8.78,10.11,5.62,6.63,1.79,0.66,3.44,14.91,6.7,1.28,1.74,0.97,0.02,10.97,0.31,0.06,0.95,4.38,2.6,1.75,0.41,0.41,0.57,14.14,1.4,0.81,1.41,1.58,0.94,0.69,5.83,2.29,4.1,1.73,0.82,1.39,3.33,2.23,0.49,0.2,0.46,16.68,2.85,8.95,4.76,0.79,1.12,1.28,0.98,0.39,0.23,0.16,0.07,0.12,0.2,6.02,7.07,0.31,0.3,0.1,0.11,0.78,0,1.82,0.12,0.03,16.77
"2011_Puchner,Eric_ModelHome_PW.txt",Cont_3P,102482,102482,16.26,79.23,0,51.97,13.22,9.39,0.07,0.02,0.23,7.94,1.14,3.82,9.27,9.35,5.08,6.61,1.58,0.44,3.38,15.07,4.92,0.71,1.59,0.9,0.13,12.83,0.69,0.12,0.93,4.19,2,2.18,0.54,0.58,0.55,12.43,1.76,0.88,1.36,2.25,0.83,0.65,4.16,1.8,3.87,1.81,0.53,1.22,4.17,2.59,0.6,0.29,0.83,14.61,2.13,8.21,4.53,0.75,0.95,1.44,1.37,0.39,0.19,0.18,0.02,0.05,0.51,7.24,5.67,0.28,0.17,0.13,0.02,0.54,0,2.39,0.01,0.02,16.47
"2011_Stevens,Taylor_TheInformationist_CT.txt",Cont_3P,71607,71607,17.88,79.89,0,53.95,10.6,7.7,0.03,0,0.03,6.71,0.93,2.9,10.95,8.63,4.74,6.48,1,0.54,2.72,15.41,7.58,0.77,1.66,1.27,0.07,9.84,0.14,0.07,0.43,2.94,1.38,1.51,0.4,0.52,0.35,13.47,1.2,0.75,1.11,1.17,0.56,0.86,7.29,1.04,3.35,1.24,0.78,1.12,3.55,2.53,0.39,0.11,0.57,17.93,3.07,9.6,5.13,1.08,0.96,0.8,1.07,0.44,0.11,0.16,0.02,0.05,0.07,6.24,6.92,0.12,0.16,0.05,0,0.54,0,1.19,0.01,0,15.24
"2012_Ferguson,Will_419_PW.txt",Cont_3P,77066,77066,17.8,76.31,0,50.66,9.84,6.43,0.32,0.13,0.42,4.39,1.17,3.41,9.87,9.08,5.51,6.06,1.69,0.71,3.37,14.94,5.89,0.82,1.75,0.78,0.02,9.73,0.79,0.05,1,3.19,1.57,1.6,0.32,0.46,0.52,12.67,1.24,0.69,1.07,1.56,0.94,0.76,5.33,1.6,3.3,1.2,0.6,1.06,2.65,1.47,0.5,0.05,0.66,16.18,2.7,8.92,4.51,1.38,1,0.96,0.7,0.8,0.29,0.22,0.03,0.11,0.2,7.31,6.82,0.41,0.19,0.35,0.09,0.81,0,1.47,0.09,0.05,17.67
"2012_Fountain,Ben_BillyLynnsLongHalftimeWalk_PW.txt",Cont_3P,70969,70969,15.9,77.22,0,49.4,11.28,7.22,0.17,0.16,0.56,4.74,1.59,4.06,8.36,7.84,4.21,1.79,4.93,0.46,3.81,13.5,6.28,0.81,2.38,1.09,0.42,11.22,0.32,0.1,0.91,5.01,2.86,2.11,0.37,0.86,0.45,13.77,1.79,0.93,0.93,2.22,1.42,0.54,4.95,2,3.54,1.23,1.11,0.98,3.28,2.01,0.55,0.41,0.48,13.58,1.76,7.36,4.46,1.02,1.15,1.2,0.47,0.89,0.45,0.31,0.22,0.1,0.34,5.93,7.32,0.05,0.11,0.36,0.23,1.3,0,2.22,0,0.04,17.57
"2012_Harbach,Chad_TheArtofFielding_CT.txt",Cont_3P,120861,120861,17.52,77.03,0,50.56,11.72,7.97,0.13,0.04,0.32,6.65,0.82,3.75,8.49,8.9,4.81,5.96,1.56,0.53,3.46,13.89,5.93,0.79,2.01,1.45,0.13,10.52,0.27,0.08,0.49,3.64,1.94,1.66,0.37,0.48,0.42,13.62,1.69,0.89,1.44,2.14,0.99,0.57,4.76,2.11,3.45,1.38,0.52,1.32,3.58,2.2,0.5,0.23,0.72,15.15,2.11,8.13,4.91,1.65,1.34,1.69,0.88,0.36,0.17,0.12,0.07,0.05,0.28,6.64,6.54,0.19,0.24,0.18,0.02,0.98,0,2.3,0.01,0.02,17.13
"2012_Johnson,TGeronimo_HoldItTillItHurts_PW.txt",Cont_3P,109849,109849,17.42,79.01,0,51.21,12.47,8.69,0.09,0.04,0.24,6.88,1.44,3.78,8.86,9.29,5.25,6.47,1.66,0.47,3.63,13.19,6.46,0.69,2,1.21,0.24,12.53,0.75,0.23,0.85,3.75,2.03,1.69,0.39,0.58,0.39,13.2,1.71,0.85,1.44,1.88,1.12,0.78,4.65,1.83,3.99,1.65,0.65,1.39,3.84,2.54,0.43,0.32,0.71,15.11,2.14,7.87,5.54,1.19,0.88,1.06,1.12,0.73,0.26,0.35,0.06,0.05,0.6,6.19,7.72,0.17,0.15,0.35,0.06,0.47,0,2.03,0.02,0.01,17.19
"2012_Mantel,Hilary_BringUptheBod_PW.txt",Cont_3P,140485,140485,13.72,83.8,0,57.78,17.69,13.52,2.38,0.5,2.11,7.25,1.28,4.16,7.07,13.76,9.06,2.48,8.51,1.78,3.46,12.26,6.13,1.88,1.69,0.75,0.05,16.67,0.64,0.14,1.29,4.19,2.54,1.62,0.38,0.51,0.37,14.87,2.05,1.02,2.06,2.32,1.18,0.6,4.34,2.96,3.48,1.13,1.49,0.7,2.12,1.41,0.33,0.17,0.27,11.75,1.77,5.71,4.33,0.94,1.77,0.57,0.55,0.57,0.78,0.32,0.15,0.12,0.18,7,7.68,0.52,0.51,0.98,0.05,0.38,0,3.64,0.01,0,20.79
