filenames,corpus,WC,WPS,Sixltr,Dic,Numerals,Pronoun,I,We,Self,You,Other,Negate,Assent,Article,Preps,Number,Affect,Posemo,Posfeel,Optim,Negemo,Anx,Anger,Sad,Cogmech,Cause,Insight,Discrep,Inhib,Tentat,Certain,Senses,See,Hear,Feel,Social,Comm,Othref,Friends,Family,Humans,Time,Past,Present,Future,Space,Up,Down,Incl,Excl,Motion,Occup,School,Job,Achieve,Leisure,Home,Sports,TV,Music,Money,Metaph,Relig,Death,Physcal,Body,Sexual,Eating,Sleep,Groom,Swear,Nonfl,Fillers,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP,AllPct
"1891_Meyer,Christian_GeschichtederProvinzPosen.txt",DE_HIST,131031,15.22,33.74,51.06,3.29,2.92,0.08,0.15,0.23,0.64,2.44,0.72,0.05,12.7,10.01,0.59,2.61,1.63,0.06,0.64,0.97,0.1,0.23,0.23,4.38,1.09,0.75,0.66,0.43,0.53,1.07,0.05,0.02,0.01,0.01,4.31,0.79,3.3,0.06,0.33,0.23,3.54,3.98,1.57,0.57,8.77,0.86,0.26,6.01,1.56,0.79,4.37,1.01,2.02,2.17,1.06,0.36,0.25,0.28,0.2,1.24,1.18,1.02,0.19,0.54,0.47,0.02,0.03,0.03,0.03,0,0,0,6.77,7.29,0.28,0.41,0.03,0.02,6,0.24,0.16,0.42,1.25,20.56
"1892_HenneamRhyn,Otto_DieFrauinderKulturgeschichte.txt",DE_HIST,87273,21.78,31.62,60.21,0.8,5.78,0.04,0.23,0.27,1.69,5.2,1.02,0.13,14.16,10.13,0.56,4.13,2.52,0.39,0.66,1.6,0.13,0.4,0.36,4.63,1.03,0.95,1.06,0.42,0.52,0.84,0.05,0.02,0.01,0,9.45,0.8,6.04,0.23,2.12,1.21,3.56,4.13,2.35,0.4,8.16,0.87,0.24,6.99,2.32,0.81,3.64,0.77,1.23,2.2,1.63,0.84,0.42,0.23,0.19,0.74,1.62,1.3,0.41,0.78,0.51,0.12,0.05,0.02,0.12,0.02,0,0,4.62,8.83,0.08,0.58,0.01,0.09,0.68,0,0.04,0.89,0,16.49
"1893_Huber,Franz_DieGeschichtlicheEntwickelungdesmodernenVerkehrs.txt",DE_HIST,65812,18.63,33.95,51.31,2.94,2.32,0.16,0.15,0.32,0.39,1.88,0.76,0.07,14.1,9.62,0.58,2.26,1.77,0.02,0.65,0.48,0.08,0.06,0.16,5.02,1.55,1.39,0.5,0.28,0.75,0.88,0.04,0.03,0,0,3.65,0.88,2.46,0.06,0.22,0.14,3.97,2.99,2.31,0.46,8.32,0.99,0.19,6,1.68,0.9,4.75,1.04,2.14,2.51,1.41,0.4,0.42,0.42,0.21,1.47,0.36,0.26,0.11,0.32,0.26,0.01,0.02,0.02,0.04,0,0,0,5.76,7.27,0.51,0.83,0.06,0.05,7.29,0,0.34,1.88,0.42,23.03
"1894_Sdralek,Max_DieStrassburgerdiöcesan-synoden.txt",DE_HIST,55727,11,35.34,30.92,5.05,1.86,0.07,0.09,0.16,0.43,1.5,0.59,0.04,7.73,6.89,0.35,1.59,0.95,0.04,0.31,0.64,0.05,0.16,0.24,2.27,0.49,0.5,0.38,0.26,0.22,0.43,0.06,0.02,0.03,0,3.11,0.46,1.96,0.03,0.63,0.19,2.25,1.52,1.53,0.2,5.08,0.45,0.11,3.87,0.79,0.28,2.2,0.67,0.68,1.11,0.59,0.13,0.18,0.08,0.22,0.55,1,0.85,0.16,0.3,0.24,0.04,0.02,0.01,0.02,0,0.01,0,9.87,7.54,0.98,0.65,0.03,0.05,3.93,0.18,0.49,1.22,3.11,27.47
"1894_Wellhausen,J_IsraelitischeundJüdischeGeschichte.txt",DE_HIST,129891,17.18,28.23,60.35,1.67,6.81,0.12,0.11,0.23,0.95,6.16,1.48,0.04,13.5,10.33,0.57,3.56,2.04,0.1,0.63,1.51,0.17,0.49,0.29,5.1,1.44,1.07,0.88,0.36,0.55,1.02,0.07,0.04,0.01,0,8.32,0.76,6.96,0.08,0.45,0.37,3.71,5.35,2.75,0.48,8.83,1.05,0.26,6.29,1.95,0.83,3.64,0.66,1.36,2.27,1.23,0.54,0.31,0.13,0.28,0.67,1.8,1.55,0.3,0.55,0.44,0.02,0.05,0.04,0.05,0.02,0,0,5.95,7.23,0.15,0.8,0.04,0.04,3.64,0.05,0.29,0.57,0.69,18.31
"1897_Hartmann,Ludo_GeschichteItaliensimMittelalterbd1.txt",DE_HIST,136625,15.97,31.79,54.04,2.58,4.1,0.05,0.07,0.12,0.6,3.77,1.03,0.07,13.58,10.09,0.36,3.25,2.02,0.06,0.65,1.23,0.13,0.3,0.44,5.22,1.29,1.08,1.03,0.4,0.64,1.04,0.03,0.02,0.01,0,5.42,0.68,4.43,0.05,0.35,0.22,3.35,4.84,1.66,0.31,8.66,0.86,0.27,6.44,1.83,0.8,3.73,0.65,1.65,2.23,1.21,0.35,0.56,0.18,0.14,1.17,1.35,1.05,0.33,0.33,0.26,0.02,0.03,0.03,0.02,0.01,0,0,6.55,8.28,0.38,1.08,0.03,0.01,3.98,0.02,0.13,0.39,0.15,19.56
"1898_Burckhardt,Jacob_GriechischeKulturgeschichte.txt",DE_HIST,91405,21.76,28.9,59.06,0.43,7.09,0.13,0.04,0.17,1.2,6.4,1.09,0,12.95,10.68,0.57,3.84,2.17,0.18,0.72,1.67,0.21,0.51,0.39,4.86,1.29,0.91,0.9,0.26,0.68,0.94,0.15,0.11,0.03,0,8.97,0.8,7.23,0.17,0.7,0.49,3.16,5.55,1.65,0.39,9.06,0.97,0.21,7,1.81,0.87,3.61,0.55,1.4,2.34,1.36,0.71,0.31,0.15,0.23,0.56,1.23,0.91,0.4,0.71,0.6,0.04,0.04,0.11,0.03,0,0,0,4.78,8.22,0.17,0.33,0.11,0.08,0.07,0,0.01,0.66,0.01,15.11
"1898_Gercke,Herman_DieTorpedowaffe.txt",DE_HIST,31703,15.12,32.87,55.95,2.01,2.76,0,0.01,0.01,0.25,2.61,1.05,0.08,14.24,9.42,0.79,2.33,1.31,0.01,0.53,1.02,0.07,0.29,0.23,7.98,1.72,1.21,1.11,0.47,0.8,0.94,0.08,0.03,0.01,0.04,4.16,0.64,3.05,0.03,0.46,0.2,2.62,2.89,4.22,1.03,8.65,0.92,0.26,5.63,1.75,1.06,6,0.8,1.59,4.4,1.88,0.09,1.54,0.18,0.09,0.71,0.25,0.12,0.14,0.4,0.36,0.03,0.07,0.02,0.02,0.03,0,0,6.62,7.5,0.13,0.44,0.1,0.05,3.72,0.54,0.02,1.08,0.52,20.23
"1899_Babucke,Heinrich_GeschichtedesKolsseums.txt",DE_HIST,28513,16.59,31.29,51.47,3.03,2.89,0.06,0.23,0.28,0.25,2.43,0.63,0.06,12.55,10.04,0.53,2.86,1.8,0.07,0.58,1.05,0.13,0.23,0.22,4.97,1.15,1.03,0.67,0.26,0.8,1.25,0.12,0.08,0,0.02,4.27,0.68,3.2,0.06,0.2,0.24,4.37,3.99,2.58,0.32,9.25,1.07,0.48,5.81,1.68,0.66,3.05,0.51,1.05,2.02,1.22,0.28,0.47,0.29,0.12,0.61,1.04,0.76,0.31,0.66,0.53,0.02,0.11,0.02,0.04,0.01,0,0,6.14,7.95,0.16,0.17,0.02,0.11,3.82,0.32,0.29,1.01,0.9,20.16
"1901_Schürer,Emil_GeschichtedesJüdischenVolkesimZeitalterJesuChristibd1.txt",DE_HIST,358695,7.62,28.16,37.89,8.01,2.54,0.06,0.14,0.2,0.24,2.22,0.6,0.05,8.92,7.85,0.54,1.74,1.01,0.04,0.38,0.72,0.08,0.16,0.16,3.17,0.86,0.71,0.52,0.17,0.49,0.57,0.03,0.02,0.01,0,3.63,0.62,2.64,0.06,0.34,0.14,3.23,2.53,2.21,0.32,6.8,0.73,0.24,4.27,1.33,0.45,2.62,0.7,0.89,1.44,0.82,0.21,0.4,0.1,0.12,0.5,0.81,0.6,0.24,0.31,0.23,0.03,0.02,0.02,0.03,0,0,0,15.17,10.6,0.71,0.52,0.11,0.07,4.42,0.44,1.45,3.08,2.57,40.17
"1904_Schieman,Theodor_GeschichteRusslandsbd1.txt",DE_HIST,249441,16.88,31.34,46.77,1.94,4.64,0.3,0.2,0.5,0.7,3.74,1.01,0.04,10.42,7.89,0.4,3.01,1.99,0.13,0.68,1,0.13,0.19,0.27,4.86,1.11,1.17,0.82,0.32,0.39,1.21,0.06,0.04,0.01,0,6.12,1.01,4.77,0.13,0.42,0.24,3.12,3.76,2.08,0.43,6.46,0.65,0.18,5.05,1.49,0.72,3.6,0.89,1.32,1.97,0.95,0.33,0.31,0.14,0.19,0.7,0.75,0.62,0.15,0.48,0.39,0.04,0.02,0.01,0.02,0.01,0,0,6.21,7.8,0.28,0.27,0.03,0.05,3.17,0.35,1.22,0.44,1.22,20.02
