file.id,mean.char,sd.char,collection
46919_HughesTed_TheWarriorofWinter_1930.txt,4.48,2.0651145214,hp
57483_PlumppSterling_SOB_1940.txt,5.0352112676,2.952128627,hp
41110_HugoRichard_InYourHotDream_1923.txt,3.9139072848,1.7509631534,hp
36926_DuncanRobertEdward_AMONGHISWORDS_1919.txt,5,2.5143881266,hp
63354_HillSelima_TheSignificanceofSignificance_1945.txt,4.7638888889,2.5528980135,hp
65054_MeyerThomas_NIETZSCHE_1947.txt,4.1216216216,2.0132398683,hp
74875_ChampionMiles_LocalColour_1968.txt,5.2620689655,2.5276819905,hp
54682_JordanJune_DirectionsforCarryingExplosiveNuclearWastesthroughMetropolitanNewYork_1936.txt,4.7972972973,2.0896878635,hp
49545_MitchellAdrian_ASunsetCloudProcessionPassingRalphSteadmansHouse_1932.txt,4.8613138686,2.6930806811,hp
57480_PlumppSterling_Echoes_1940.txt,4.6153846154,2.0723636805,hp
35617_MerriamEve_APresidentialYear_1916.txt,4.1310344828,1.9012246507,hp
64904_MackeyNathaniel_SONGOFTHEANDOUMBOULOU_1947.txt,4.2391304348,2.1733433084,hp
49089_KavanaghPJPatrickJoseph_Winterpraise_1931.txt,4.829787234,2.345078271,hp
72531_KayJackie_LoveNest_1961.txt,4.0709219858,1.9807840802,hp
54579_SanchezSonia_IntroductionNgugiwaThiongoatAfricanAmStudies_1935.txt,4.401459854,2.2342910904,hp
67606_JacksonAngela_SecondMeeting_1951.txt,3.6046511628,1.868399234,hp
51951_SwardRobert_ChicagosWaldheimCemetery_1933.txt,4.2330827068,2.4522321867,hp
27826_FitzgeraldRobert_WETSUNDAY_1910.txt,4.9473684211,2.1683529201,hp
55971_SimicCharles_NURSERYRHYME_1938.txt,4.5,2.2107910121,hp
31595_RukeyserMuriel_HOLYFAMILY_1913.txt,3.8615384615,1.6786569297,hp
52261_BarakaImamuAmiri_SacredChantfortheReturnofBlackSpiritandPower_1934.txt,4.5615384615,2.0497829197,hp
57477_PlumppSterling_TheBluesISee_1940.txt,5.4094488189,2.4987435913,hp
72573_KayJackie_Love_1961.txt,4.5080645161,2.1621126665,hp
8501_LindsayVachel_WHENBRYANSPEAKS_1879.txt,4.8064516129,2.3879011411,hp
48846_RothenbergJerome_SATANINGORAY_1931.txt,4.828125,2.3211094788,hp
52377_BarakaImamuAmiri_THETURNCOAT_1934.txt,4.1653543307,1.9097235715,hp
52400_BarakaImamuAmiri_THETURNCOAT_1934.txt,4.157480315,1.9041525084,hp
10356_WilliamsWilliamCarlos_POEM_1883.txt,4.9212598425,2.1588000018,hp
20034_GravesRobert_THEPERSONALTOUCH_1895.txt,3.9830508475,1.6793519856,hp
57490_PlumppSterling_BigMamaThornton_1940.txt,4.3888888889,2.3219723417,hp
52754_WienersJohn_THEWANINGOFTHEHARVESTMOON_1934.txt,3.7716535433,1.7601811612,hp
52281_BarakaImamuAmiri_PlanetaryExchange_1934.txt,4.2142857143,2.317264397,hp
55886_HarrisonTony_ACloseOne_1937.txt,4.825,2.4102808512,hp
57499_PlumppSterling_Official_1940.txt,4.5901639344,2.240698306,hp
28597_PatchenKenneth_CrueltiesoftheSportivePower_1911.txt,3.8536585366,1.5612254898,hp
67560_JacksonAngela_PracticingPatience_1951.txt,4.4047619048,2.067572766,hp
57612_PlumppSterling_COMEHEREMYCHILDRENCOMEHERE_1940.txt,4.5,2.0813457185,hp
23738_RexrothKenneth_MarriedBlues_1905.txt,3.7787610619,1.8790884629,hp
23782_RexrothKenneth_fromWRITTENTOMUSIC_1905.txt,3.7787610619,1.8790884629,hp
28661_PatchenKenneth_HouseandaDeadManinIt_1911.txt,4.3243243243,2.2204101266,hp
74502_ArmitageSimon_Evening_1963.txt,3.9915254237,1.651188449,hp
48844_RothenbergJerome_THEKINGOFTHEJEWS_1931.txt,4.1463414634,2.2495279171,hp
74913_BlancoRichard_PartialListGuantnamoDetainees_1968.txt,4.0406504065,2.4807401526,hp
54718_JordanJune_TornadoWatch_1936.txt,4.3278688525,1.955888008,hp
59347_ClarkTom_skinthelamb_1941.txt,4.5811965812,2.8261077054,hp
52368_BarakaImamuAmiri_FORHETTIE_1934.txt,4.2192982456,2.268517788,hp
54001_KellyRobert_Noticesdarkerformmove_1935.txt,4.0661157025,2.1514938112,hp
52291_BarakaImamuAmiri_JosephToHisBrothers_1934.txt,4.0901639344,2.1628115248,hp
52616_BarakaImamuAmiri_JosephToHisBrothers_1934.txt,4.0901639344,2.1628115248,hp
75076_HannahSophie_SkippingRhymeforGraduates_1971.txt,4.3090909091,2.0486981973,hp
38053_MorganEdwin_CaledonianAntisyzygy_1920.txt,5.843373494,3.0262345907,hp
54433_SanchezSonia_SummerWordsofaSistuhAddict_1935.txt,3.5862068966,1.9068251123,hp
42561_KuminMaxine_TheHermitPicksBerries_1925.txt,4.0762711864,1.9835079848,hp
66827_GallasJohn_Issus_1950.txt,4.2280701754,2.1078659582,hp
57481_PlumppSterling_Groove_1940.txt,4.8230088496,2.2409743118,hp
57701_BarnettAnthony_PLAY_1941.txt,3.7894736842,2.6423162412,hp
