"title","id","collection"
"00023469.txt","pos","C20"
"00020046.txt","neg","C20"
"00023470.txt","pos","C20"
"00020086.txt","pos","C20"
"00023473.txt","pos","C20"
"00020108.txt","neg","C20"
"00020096.txt","neg","C20"
"00020117.txt","neg","C20"
"00020092.txt","pos","C20"
"00020085.txt","pos","C20"
"00020109.txt","pos","C20"
"00020090.txt","neg","C20"
"00020094.txt","pos","C20"
"00020083.txt","pos","C20"
"00023474.txt","pos","C20"
"00020104.txt","pos","C20"
"00020118.txt","pos","C20"
"00020087.txt","pos","C20"
"00020097.txt","neg","C20"
"00020091.txt","neg","C20"
"00020107.txt","pos","C20"
"00020089.txt","neg","C20"
"00020116.txt","neg","C20"
"00020125.txt","pos","C20"
"00020103.txt","neg","C20"
"00020101.txt","neg","C20"
"00020095.txt","pos","C20"
"00023475.txt","pos","C20"
"00020111.txt","pos","C20"
"00020093.txt","pos","C20"
"00020088.txt","neg","C20"
"00020150.txt","pos","C20"
"00020171.txt","pos","C20"
"00020140.txt","neg","C20"
"00020169.txt","pos","C20"
"00020130.txt","pos","C20"
"00020127.txt","neg","C20"
"00023476.txt","pos","C20"
"00020131.txt","neg","C20"
"00020134.txt","pos","C20"
"00020129.txt","neg","C20"
"00020147.txt","pos","C20"
"00020167.txt","pos","C20"
"00023479.txt","pos","C20"
"00020138.txt","neg","C20"
"00020142.txt","pos","C20"
"00020151.txt","pos","C20"
"00020128.txt","pos","C20"
"00020139.txt","pos","C20"
"00020144.txt","neg","C20"
"00020161.txt","pos","C20"
"00020170.txt","pos","C20"
"00023477.txt","pos","C20"
"00020152.txt","pos","C20"
"00020135.txt","pos","C20"
"00020156.txt","neg","C20"
"00020160.txt","pos","C20"
"00020148.txt","pos","C20"
"00020145.txt","pos","C20"
"00020132.txt","neg","C20"
"00020137.txt","neg","C20"
"00020198.txt","pos","C20"
"00020172.txt","pos","C20"
"00020187.txt","pos","C20"
"00020192.txt","pos","C20"
"00020188.txt","pos","C20"
"00020205.txt","pos","C20"
"00020196.txt","pos","C20"
"00023481.txt","neg","C20"
"00020193.txt","neg","C20"
"00020199.txt","pos","C20"
"00020178.txt","pos","C20"
"00020207.txt","pos","C20"
"00020183.txt","pos","C20"
"00020180.txt","neg","C20"
"00020175.txt","neg","C20"
"00020195.txt","neg","C20"
"00020181.txt","pos","C20"
"00020208.txt","pos","C20"
"00020201.txt","pos","C20"
"00023480.txt","pos","C20"
"00020185.txt","pos","C20"
"00020204.txt","pos","C20"
"00020186.txt","neg","C20"
"00020190.txt","neg","C20"
"00020191.txt","pos","C20"
"00020173.txt","pos","C20"
"00020177.txt","pos","C20"
"00020209.txt","neg","C20"
"00020194.txt","pos","C20"
"00020260.txt","pos","C20"
"00020240.txt","pos","C20"
"00020235.txt","pos","C20"
"00020221.txt","pos","C20"
"00020255.txt","pos","C20"
"00020220.txt","neg","C20"
"00020232.txt","pos","C20"
"00020256.txt","neg","C20"
"00023486.txt","pos","C20"
"00020228.txt","pos","C20"
"00020219.txt","pos","C20"
"00020215.txt","neg","C20"
"00020227.txt","neg","C20"
"00020217.txt","pos","C20"
"00020237.txt","neg","C20"
"00020257.txt","pos","C20"
"00020212.txt","pos","C20"
"00020250.txt","pos","C20"
"00020248.txt","pos","C20"
"00020249.txt","pos","C20"
"00020243.txt","pos","C20"
"00020245.txt","neg","C20"
"00020244.txt","neg","C20"
"00020233.txt","pos","C20"
"00020226.txt","pos","C20"
"00023483.txt","pos","C20"
"00023484.txt","pos","C20"
"00020229.txt","pos","C20"
"00020254.txt","pos","C20"
"00020223.txt","neg","C20"
"00020292.txt","pos","C20"
"00020271.txt","pos","C20"
"00020290.txt","neg","C20"
"00020266.txt","neg","C20"
"00020268.txt","pos","C20"
"00020297.txt","neg","C20"
"00020303.txt","pos","C20"
"00020270.txt","pos","C20"
"00020284.txt","pos","C20"
"00023490.txt","pos","C20"
"00020279.txt","pos","C20"
"00020299.txt","pos","C20"
"00020273.txt","pos","C20"
"00020282.txt","neg","C20"
"00020269.txt","pos","C20"
"00020293.txt","neg","C20"
"00020301.txt","pos","C20"
"00020280.txt","pos","C20"
"00020298.txt","neg","C20"
"00020265.txt","pos","C20"
"00020283.txt","neg","C20"
"00023489.txt","neg","C20"
"00020294.txt","pos","C20"
"00020287.txt","pos","C20"
"00020296.txt","pos","C20"
"00020302.txt","neg","C20"
"00020286.txt","neg","C20"
"00023487.txt","pos","C20"
"00020278.txt","pos","C20"
"00020310.txt","pos","C20"
"00023493.txt","pos","C20"
"00020315.txt","pos","C20"
"00020354.txt","neg","C20"
"00020321.txt","pos","C20"
"00020305.txt","pos","C20"
"00020338.txt","neg","C20"
"00020306.txt","pos","C20"
"00020352.txt","pos","C20"
"00020342.txt","neg","C20"
"00020307.txt","pos","C20"
"00020309.txt","pos","C20"
"00020324.txt","neg","C20"
"00020319.txt","neg","C20"
"00020320.txt","neg","C20"
"00020327.txt","neg","C20"
"00020332.txt","pos","C20"
"00020312.txt","neg","C20"
"00020349.txt","pos","C20"
"00020317.txt","neg","C20"
"00020329.txt","pos","C20"
"00020351.txt","neg","C20"
"00020313.txt","pos","C20"
"00020343.txt","neg","C20"
"00020356.txt","pos","C20"
"00020353.txt","pos","C20"
"00020314.txt","pos","C20"
"00020355.txt","pos","C20"
"00020344.txt","neg","C20"
"00020318.txt","pos","C20"
"00020381.txt","pos","C20"
"00020394.txt","neg","C20"
"00020382.txt","neg","C20"
"00020380.txt","neg","C20"
"00020359.txt","pos","C20"
"00020377.txt","pos","C20"
"00020358.txt","pos","C20"
"00020388.txt","pos","C20"
"00020369.txt","neg","C20"
"00020363.txt","pos","C20"
"00020386.txt","pos","C20"
"00020368.txt","neg","C20"
"00020395.txt","pos","C20"
"00020372.txt","neg","C20"
"00020370.txt","pos","C20"
"00020364.txt","pos","C20"
"00020389.txt","neg","C20"
"00020390.txt","neg","C20"
"00020383.txt","neg","C20"
"00020385.txt","neg","C20"
"00020376.txt","pos","C20"
"00020365.txt","pos","C20"
"00020360.txt","neg","C20"
"00020396.txt","pos","C20"
"00020378.txt","neg","C20"
"00020392.txt","pos","C20"
"00023497.txt","pos","C20"
"00023495.txt","neg","C20"
"00020367.txt","pos","C20"
"00023496.txt","pos","C20"
"00020400.txt","pos","C20"
