"","date","means","variable","date.adj"
"no.lines16","1884",13.2358490566038,"no.lines",1919
"quest16","1884",0.00321970094968553,"quest",1919
"quest.line16","1884",0.0237964755345912,"quest.line",1919
"exclam16","1884",0.00150474029874214,"exclam",1919
"exclam.line16","1884",0.0108962852201258,"exclam.line",1919
"period16","1884",0.0287544856257862,"period",1919
"period.line16","1884",0.213869746823899,"period.line",1919
"comma16","1884",0.0788880413805031,"comma",1919
"comma.line16","1884",0.602675477389937,"comma.line",1919
"total16","1884",0.123746694496855,"total",1919
"total.line16","1884",0.934112127987421,"total.line",1919
"total.words17","1885",185.026548672566,"total.words",1920
"no.lines17","1885",25.6935103244838,"no.lines",1920
"quest17","1885",0.00532136106424779,"quest",1920
"quest.line17","1885",Inf,"quest.line",1920
"exclam17","1885",0.00800368627374631,"exclam",1920
"exclam.line17","1885",NA,"exclam.line",1920
"period17","1885",0.0383642165728614,"period",1920
"period.line17","1885",Inf,"period.line",1920
"comma17","1885",0.0777297636430678,"comma",1920
"comma.line17","1885",Inf,"comma.line",1920
"total17","1885",0.13947066180531,"total",1920
"total.line17","1885",Inf,"total.line",1920
"total.words18","1886",141.100831600832,"total.words",1921
"no.lines18","1886",18.6538461538462,"no.lines",1921
"quest18","1886",0.00459176251247401,"quest",1921
"quest.line18","1886",0.0343091778430353,"quest.line",1921
"exclam18","1886",0.0032725651039501,"exclam",1921
"exclam.line18","1886",0.0254575209313929,"exclam.line",1921
"period18","1886",0.041833786970894,"period",1921
"period.line18","1886",0.323670953149688,"period.line",1921
"comma18","1886",0.0809467237037422,"comma",1921
"comma.line18","1886",0.634587427079002,"comma.line",1921
"total18","1886",0.151686880790021,"total",1921
"total.line18","1886",1.18217329178794,"total.line",1921
"total.words19","1887",584.678857142857,"total.words",1922
"no.lines19","1887",59.8285714285714,"no.lines",1922
"quest19","1887",0.00408136218011429,"quest",1922
"quest.line19","1887",0.0363292056445714,"quest.line",1922
"exclam19","1887",0.00282349009371429,"exclam",1922
"exclam.line19","1887",0.0189784573005714,"exclam.line",1922
"period19","1887",0.0396792566845714,"period",1922
"period.line19","1887",0.344646085862857,"period.line",1922
"comma19","1887",0.0802337046525714,"comma",1922
"comma.line19","1887",0.678114375965714,"comma.line",1922
"total19","1887",0.142749528925714,"total",1922
"total.line19","1887",1.23062626582857,"total.line",1922
"total.words20","1888",342.622807017544,"total.words",1923
"no.lines20","1888",52.0767543859649,"no.lines",1923
"quest20","1888",0.00477412989473684,"quest",1923
"quest.line20","1888",NA,"quest.line",1923
"exclam20","1888",0.00790838155745614,"exclam",1923
"exclam.line20","1888",NA,"exclam.line",1923
"period20","1888",0.0443541943508772,"period",1923
"period.line20","1888",Inf,"period.line",1923
"comma20","1888",0.0596081566315789,"comma",1923
"comma.line20","1888",Inf,"comma.line",1923
"total20","1888",0.134038405657895,"total",1923
"total.line20","1888",Inf,"total.line",1923
"total.words21","1889",515.567567567568,"total.words",1924
"no.lines21","1889",57.7297297297297,"no.lines",1924
"quest21","1889",0.00161821956756757,"quest",1924
"quest.line21","1889",0.0405367272972973,"quest.line",1924
"exclam21","1889",0.00904820613513514,"exclam",1924
"exclam.line21","1889",0.104826942702703,"exclam.line",1924
"period21","1889",0.0307707121621622,"period",1924
"period.line21","1889",0.352316042702703,"period.line",1924
"comma21","1889",0.08002188,"comma",1924
"comma.line21","1889",0.919161932432432,"comma.line",1924
"total21","1889",0.13094959,"total",1924
