Filename	Seg	WC	WPS	Sixltr	Dic	Numerals	funct	pronoun	ppron	i	we	you	shehe	they	ipron	article	verb	auxverb	past	present	future	adverb	preps	conj	negate	quant	number	swear	social	family	friend	humans	affect	posemo	negemo	anx	anger	sad	cogmech	insight	cause	discrep	tentat	certain	inhib	incl	excl	percept	see	hear	feel	bio	body	health	sexual	ingest	relativ	motion	space	time	work	achieve	leisure	home	money	relig	death	assent	nonfl	filler	Period	Comma	Colon	SemiC	QMark	Exclam	Dash	Quote	Apostro	Parenth	OtherP	AllPct
100_2014_Buwalda,Peter_BonitaAvenue_CT.txt	1	101	25.25	21.78	71.29	1.98	45.54	14.85	10.89	0.00	0.00	2.97	2.97	4.95	3.96	4.95	11.88	4.95	10.89	0.99	0.00	2.97	11.88	5.94	0.00	0.00	1.98	0.00	18.81	1.98	0.99	0.99	0.99	0.00	0.99	0.00	0.00	0.99	6.93	1.98	0.00	0.00	1.98	0.00	0.00	3.96	0.99	6.93	0.99	2.97	2.97	4.95	4.95	0.00	0.00	0.00	12.87	1.98	4.95	5.94	0.00	0.99	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.97	5.94	0.00	1.98	0.99	0.00	2.97	1.98	1.98	0.00	0.00	17.82
100_2014_CaddickAdams,Peter_SnowandSteel_HIST.txt	1	100	50.00	19.00	74.00	1.00	53.00	8.00	0.00	0.00	0.00	0.00	0.00	0.00	8.00	11.00	8.00	7.00	0.00	7.00	0.00	3.00	15.00	7.00	0.00	3.00	1.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	12.00	0.00	1.00	0.00	2.00	0.00	0.00	8.00	1.00	1.00	0.00	0.00	1.00	3.00	1.00	0.00	0.00	2.00	14.00	2.00	10.00	1.00	0.00	0.00	1.00	0.00	2.00	2.00	0.00	0.00	0.00	0.00	3.00	12.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	15.00
100_2014_Casey,Maud_TheManWhoWalkedAway_CT.txt	1	100	16.67	18.00	71.00	1.00	48.00	12.00	6.00	0.00	0.00	1.00	5.00	0.00	6.00	11.00	13.00	7.00	10.00	3.00	0.00	3.00	11.00	5.00	0.00	2.00	1.00	0.00	11.00	0.00	0.00	1.00	2.00	1.00	1.00	0.00	0.00	0.00	11.00	1.00	1.00	2.00	4.00	1.00	0.00	2.00	2.00	3.00	2.00	1.00	0.00	2.00	0.00	2.00	0.00	0.00	12.00	3.00	6.00	4.00	1.00	0.00	1.00	0.00	1.00	0.00	0.00	0.00	0.00	1.00	3.00	3.00	2.00	0.00	2.00	1.00	0.00	2.00	2.00	0.00	0.00	15.00
100_2014_Clark,Christopher_TheSleepwalkers_HIST.txt	1	100	33.33	34.00	68.00	5.00	47.00	10.00	1.00	0.00	0.00	0.00	1.00	0.00	9.00	9.00	6.00	4.00	6.00	0.00	0.00	1.00	11.00	5.00	0.00	1.00	8.00	0.00	2.00	1.00	0.00	0.00	3.00	1.00	2.00	1.00	1.00	0.00	6.00	0.00	1.00	0.00	0.00	1.00	1.00	3.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	1.00	0.00	0.00	20.00	2.00	5.00	13.00	0.00	1.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	4.00	8.00	0.00	1.00	0.00	0.00	1.00	0.00	3.00	0.00	0.00	17.00
100_2014_Clement,Jennifer_PrayersfortheStolen_CT.txt	1	101	9.18	6.93	89.11	0.00	61.39	23.76	19.80	9.90	0.99	1.98	6.93	0.00	3.96	6.93	17.82	12.87	6.93	7.92	0.99	2.97	8.91	2.97	0.00	3.96	3.96	0.00	13.86	0.99	0.00	0.99	3.96	0.99	2.97	0.00	2.97	0.00	11.88	0.99	1.98	2.97	0.99	0.99	0.99	3.96	0.99	4.95	1.98	1.98	0.00	7.92	5.94	0.99	0.00	0.99	10.89	0.99	4.95	4.95	0.00	1.98	0.99	0.00	0.00	0.00	0.00	0.00	0.00	0.00	10.89	1.98	0.00	0.00	0.00	0.00	1.98	0.00	1.98	0.00	0.00	15.84
100_2014_Cline,EricH_1177BC_HIST.txt	1	100	12.50	28.00	71.00	2.00	48.00	4.00	0.00	0.00	0.00	0.00	0.00	0.00	4.00	10.00	10.00	10.00	2.00	7.00	1.00	2.00	12.00	9.00	0.00	1.00	3.00	0.00	3.00	0.00	0.00	0.00	4.00	0.00	4.00	2.00	2.00	0.00	10.00	1.00	1.00	0.00	0.00	1.00	0.00	6.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	20.00	1.00	8.00	11.00	2.00	0.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00	7.00	8.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	16.00
100_2014_Coen,Ross_FuGo_HIST.txt	1	102	34.00	22.55	63.73	0.98	40.20	1.96	0.00	0.00	0.00	0.00	0.00	0.00	1.96	9.80	1.96	0.98	0.00	1.96	0.00	0.00	20.59	4.90	0.00	0.00	2.94	0.00	0.98	0.00	0.00	0.00	1.96	0.00	1.96	0.00	0.00	1.96	6.86	0.98	0.00	0.00	0.00	0.98	0.00	4.90	0.00	0.98	0.98	0.00	0.00	0.98	0.98	0.00	0.00	0.00	23.53	2.94	18.63	1.96	0.98	0.98	0.98	0.00	0.00	0.00	0.98	0.00	0.00	0.00	2.94	7.84	0.00	0.00	0.00	0.00	4.90	0.00	0.00	0.00	0.00	13.73
100_2014_Cohen,LeahHager_NoBookbuttheWorld_CT.txt	1	102	11.33	16.67	88.24	0.00	61.76	17.65	13.73	9.80	0.98	0.00	0.98	1.96	3.92	4.90	20.59	16.67	6.86	5.88	2.94	8.82	9.80	6.86	0.00	1.96	2.94	0.00	12.75	0.00	0.00	0.00	3.92	2.94	0.98	0.00	0.98	0.00	22.55	1.96	3.92	4.90	0.98	0.00	3.92	5.88	0.98	3.92	2.94	0.00	0.98	0.98	0.00	0.00	0.00	0.98	10.78	0.98	5.88	4.90	0.98	1.96	0.00	1.96	0.00	1.96	0.00	1.96	0.00	0.98	8.82	7.84	1.96	0.00	0.00	0.00	3.92	0.00	4.90	0.00	0.00	25.49
100_2014_Cole,Teju_EveryDayisfortheThief_CT.txt	1	100	16.67	19.00	89.00	0.00	62.00	12.00	11.00	9.00	0.00	0.00	0.00	2.00	1.00	13.00	8.00	5.00	1.00	5.00	1.00	2.00	20.00	6.00	2.00	5.00	3.00	0.00	7.00	0.00	0.00	2.00	1.00	0.00	1.00	0.00	0.00	0.00	11.00	2.00	1.00	0.00	2.00	1.00	0.00	3.00	2.00	0.00	0.00	0.00	0.00	2.00	1.00	1.00	0.00	0.00	24.00	3.00	12.00	8.00	1.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00	6.00	4.00	0.00	0.00	0.00	0.00	1.00	0.00	2.00	0.00	0.00	13.00
100_2014_Cook,Jude_ByronEasy_CT.txt	1	99	33.00	22.22	82.83	1.01	52.53	8.08	6.06	6.06	0.00	0.00	0.00	0.00	2.02	11.11	5.05	5.05	1.01	4.04	0.00	2.02	14.14	7.07	2.02	3.03	2.02	0.00	1.01	0.00	0.00	0.00	3.03	1.01	2.02	1.01	0.00	1.01	20.20	1.01	1.01	1.01	3.03	0.00	3.03	7.07	5.05	3.03	1.01	0.00	2.02	1.01	0.00	0.00	0.00	1.01	22.22	2.02	9.09	10.10	0.00	2.02	1.01	0.00	0.00	2.02	1.01	1.01	0.00	0.00	3.03	11.11	0.00	1.01	0.00	0.00	4.04	0.00	2.02	0.00	0.00	20.20
