LEMMA	PROB
it	0.004365738178687819
journey	0.0007993605115907274
keep	0.0030744635061181825
kiss	0.001229785402447273
knee	0.0011068068622025456
knock	0.0009838283219578184
know	0.011129557892147821
laugh	0.002398081534772182
lay	0.002582549345139273
lead	0.002582549345139273
leave	0.00774764803541782
leg	0.0018446781036709095
let	0.0011068068622025456
letter	0.0007993605115907274
lie	0.0006763819713460001
life	0.0027055278853840006
like	0.0023365922646498187
lip	0.0036278669372194552
listen	0.0007993605115907274
little	0.0011068068622025456
live	0.0008608497817130911
look	0.01838529176658673
lose	0.0015372317530590912
love	0.002398081534772182
make	0.010760622271413639
man	0.0018446781036709095
manner	0.002459570804894546
marry	0.0013527639426920003
master	0.001229785402447273
mean	0.0017831888335485457
meet	0.0015372317530590912
mind	0.007440201684806001
mistake	0.0006763819713460001
money	0.0007993605115907274
more	0.0008608497817130911
mother	0.0035663776670970915
mouth	0.001229785402447273
move	0.0018446781036709095
much	0.0007378712414683637
mutter	0.0007993605115907274
name	0.002398081534772182
nature	0.001045317592080182
neck	0.0015987210231814548
nephew	0.0015987210231814548
nod	0.0011682961323249094
nose	0.0012912746725696365
nothing	0.0011068068622025456
notice	0.0007378712414683637
oblige	0.001045317592080182
observe	0.004857652339666728
offer	0.0013527639426920003
old	0.002213613724405091
one	0.0014757424829367274
open	0.002582549345139273
opinion	0.0007993605115907274
opportunity	0.0007993605115907274
order	0.0007993605115907274
own	0.0023365922646498187
pace	0.0007993605115907274
part	0.0015372317530590912
partner	0.0007993605115907274
pass	0.0028899956957510915
patron	0.001045317592080182
pause	0.0009838283219578184
pay	0.0008608497817130911
person	0.0007378712414683637
pipe	0.0007378712414683637
place	0.002152124454282728
play	0.0008608497817130911
pocket	0.003320420586607637
point	0.001229785402447273
poor	0.0008608497817130911
position	0.0011068068622025456
power	0.001229785402447273
prepare	0.0006763819713460001
presence	0.0007993605115907274
present	0.0015372317530590912
proceed	0.0017831888335485457
promise	0.0009223390518354548
propose	0.0008608497817130911
pursue	0.0033819098567300005
put	0.004980630879911455
question	0.0009223390518354548
raise	0.0018446781036709095
reach	0.0011682961323249094
read	0.0017831888335485457
receive	0.0032589313164852734
recognise	0.0006763819713460001
recover	0.0007993605115907274
regard	0.0016602102933038186
rejoin	0.004304248908565456
release	0.0008608497817130911
relieve	0.0009223390518354548
remain	0.0015987210231814548
remark	0.0011682961323249094
remember	0.0014142532128143639
remind	0.0009838283219578184
repeat	0.0037508454774641824
reply	0.014449978478755458
resolve	0.0013527639426920003
resume	0.002213613724405091
retire	0.0007993605115907274
retort	0.0018446781036709095
return	0.015433806800713275
right	0.0009223390518354548
rise	0.002090635184160364
room	0.0040582918280760005
round	0.0012912746725696365
rouse	0.0009223390518354548
rub	0.0008608497817130911
run	0.0009838283219578184
say	0.1371825616429933
seat	0.002398081534772182
see	0.015126360450101458
seek	0.0007993605115907274
seem	0.003689356207341819
seize	0.0007378712414683637
send	0.0011068068622025456
sense	0.0006763819713460001
set	0.0015987210231814548
shake	0.0040582918280760005
shoulder	0.003135952776240546
show	0.002459570804894546
side	0.0016602102933038186
sight	0.0007378712414683637
sir	0.0013527639426920003
sister	0.007501690954928365
sit	0.009038922707987456
sleep	0.0009223390518354548
smile	0.002152124454282728
son	0.0017831888335485457
speak	0.005288077230523274
spirit	0.001045317592080182
stand	0.006640841173215274
stare	0.0012912746725696365
start	0.0012912746725696365
state	0.0013527639426920003
step	0.002275102994527455
stoop	0.0009223390518354548
stop	0.0037508454774641824
strike	0.001229785402447273
suffer	0.0007378712414683637
suggest	0.0011682961323249094
suppose	0.0011682961323249094
surprise	0.0009838283219578184
survey	0.0006763819713460001
take	0.015741253151325095
tell	0.008792965627498001
thank	0.0018446781036709095
they	0.0008608497817130911
think	0.011252536432392548
thought	0.0028285064256287277
throat	0.0007378712414683637
throw	0.002213613724405091
thrust	0.0008608497817130911
time	0.0016602102933038186
tone	0.0006763819713460001
touch	0.0014757424829367274
trust	0.0007378712414683637
try	0.0015987210231814548
turn	0.006087437742114001
uncle	0.0009223390518354548
understand	0.001967656643915637
urge	0.0011068068622025456
use	0.001045317592080182
visit	0.0012912746725696365
visitor	0.0007993605115907274
voice	0.002090635184160364
wait	0.0017216995634261822
walk	0.0046731845292996375
want	0.002644038615261637
watch	0.002459570804894546
way	0.006271905552481092
wear	0.001229785402447273
whisper	0.0012912746725696365
wife	0.002644038615261637
window	0.0007378712414683637
wish	0.0027055278853840006
withdraw	0.0009223390518354548
wonder	0.0012912746725696365
word	0.001967656643915637
work	0.0017216995634261822
would	0.0012912746725696365
write	0.0007378712414683637
you	0.0009838283219578184
