X,segment,ttr,ant1,ant2,syn1,syn2,ant.syn1,ant.syn2
77,38500,0.6310483871,0.0002806558,0.0631163708,0.0011070312,0.2327416174,0.2535211268,0.2711864407
78,39000,0.5754527163,0.0002794411,0.0698602794,0.0014690619,0.251497006,0.1902173913,0.2777777778
79,39500,0.6169354839,0.0002302291,0.0626223092,0.0015425348,0.2818003914,0.1492537313,0.2222222222
80,40000,0.5316973415,0.0003847695,0.064,0.0012905812,0.232,0.298136646,0.275862069
81,40500,0.6130346232,0.0001676647,0.0459081836,0.0010938124,0.2255489022,0.1532846715,0.203539823
82,41000,0.6008064516,0.0003339934,0.0737051793,0.0010019801,0.2270916335,0.3333333333,0.3245614035
83,41500,0.5947046843,0.0001955034,0.0766129032,0.0009449332,0.2157258065,0.2068965517,0.3551401869
84,42000,0.5594989562,0.0001710655,0.0544354839,0.0004643206,0.1290322581,0.3684210526,0.421875
85,42500,0.6395112016,0.0001282565,0.036,0.0009058116,0.22,0.1415929204,0.1636363636
86,43000,0.5010309278,4.8679171805e-05,0.0160965795,0.0015496203,0.2555331992,0.0314136126,0.062992126
87,43500,0.5889570552,0.0002075848,0.0518962076,0.0010538922,0.1896207585,0.196969697,0.2736842105
88,44000,0.5758196721,0.0003607214,0.086,0.0008256513,0.178,0.4368932039,0.4831460674
89,44500,0.5945378151,0.0001496322,0.0509164969,0.0011721185,0.2199592668,0.1276595745,0.2314814815
90,45000,0.5953878407,0.0001112195,0.0330578512,0.0004021012,0.1219008264,0.2765957447,0.2711864407
91,45500,0.5416666667,0.0001696929,0.0562248996,0.0006222071,0.1967871486,0.2727272727,0.2857142857
92,46000,0.5518672199,0.0001188091,0.041749503,0.0005465217,0.1630218688,0.2173913043,0.256097561
93,46500,0.5970464135,0.0001262329,0.0471311475,0.0009509543,0.1946721311,0.1327433628,0.2421052632
94,47000,0.575257732,4.77133382637e-05,0.015936255,0.0006679867,0.1434262948,0.0714285714,0.1111111111
95,47500,0.5365344468,8.99685110211e-05,0.0343434343,0.0010387274,0.1878787879,0.0866141732,0.1827956989
96,48000,0.5639412998,0.0001873574,0.0584677419,0.0010915608,0.1975806452,0.171641791,0.2959183673
97,48500,0.6033755274,0.000110305,0.0267489712,0.0009248653,0.1934156379,0.119266055,0.1382978723
98,49000,0.5560165975,3.21928998559e-05,0.0160320641,0.0008611601,0.1963927856,0.0373831776,0.0816326531
99,49500,0.5480572597,4.02411248199e-05,0.0180360721,0.0009818834,0.2224448898,0.0409836066,0.0810810811
100,50000,0.5995807128,0.0002053283,0.0578512397,0.0006416508,0.1714876033,0.32,0.3373493976
101,50500,0.553014553,0.0002826385,0.0631364562,0.0013633152,0.1914460285,0.2073170732,0.329787234
102,51000,0.5411522634,0.0001735618,0.0337301587,0.0011281517,0.2222222222,0.1538461538,0.1517857143
103,51500,0.5864197531,0.0002965932,0.074,0.0006573146,0.174,0.4512195122,0.4252873563
104,52000,0.6313645621,0.0003234561,0.0714285714,0.0004654612,0.1488095238,0.6949152542,0.48
105,52500,0.6048387097,0.0002088393,0.0392927308,0.0012530359,0.2554027505,0.1666666667,0.1538461538
106,53000,0.5871743487,0.0006091618,0.0526315789,0.0011345638,0.2066276803,0.5369127517,0.2547169811
107,53500,0.6267748479,8.44173285753e-05,0.0352250489,0.0005755727,0.1487279843,0.1466666667,0.2368421053
