filenames,synonymy,total.words,ttr
00000117_72500.txt,0.2031558185,510,0.5490196078
00000117_77000.txt,0.181640625,528,0.5435606061
00000121_108000.txt,0.2166301969,458,0.5262008734
00000121_112500.txt,0.2199592668,492,0.4817073171
00000121_117000.txt,0.2515463918,489,0.4948875256
00000121_121500.txt,0.208,504,0.5317460317
00000121_126000.txt,0.3382352941,481,0.5446985447
00000121_130500.txt,0.3112449799,501,0.500998004
00000121_135000.txt,0.1673819742,469,0.4925373134
00000121_14000.txt,0.2304609218,505,0.5207920792
00000121_1500.txt,0.2408906883,496,0.560483871
00000121_19500.txt,0.2680412371,488,0.5245901639
00000121_24000.txt,0.1683778234,491,0.5458248473
00000121_28500.txt,0.2402464066,487,0.4722792608
00000121_33000.txt,0.2868852459,489,0.5644171779
00000121_37500.txt,0.2788259958,479,0.5073068894
00000121_69000.txt,0.2081632653,491,0.5478615071
00000121_73500.txt,0.2144288577,499,0.5430861723
00000121_78000.txt,0.2839506173,490,0.493877551
00000121_82500.txt,0.2161616162,496,0.5100806452
00000121_87000.txt,0.2109704641,485,0.4824742268
00000121_91500.txt,0.25,481,0.4927234927
00000121_96000.txt,0.2242424242,498,0.5341365462
00000130_10000.txt,0.1976047904,502,0.4980079681
00000130_104500.txt,0.2661448141,511,0.4677103718
00000130_109000.txt,0.2137254902,514,0.5097276265
00000130_113500.txt,0.1972386588,508,0.4940944882
00000130_118000.txt,0.2624254473,505,0.4811881188
00000130_122500.txt,0.2396039604,508,0.4763779528
00000130_127000.txt,0.3248031496,509,0.4440078585
00000130_39000.txt,0.2426035503,511,0.5127201566
00000130_43500.txt,0.2549800797,510,0.5019607843
00000130_48000.txt,0.2,509,0.4970530452
00000130_52000.txt,0.1812749004,508,0.5059055118
00000130_56500.txt,0.2244094488,513,0.5068226121
00000130_61000.txt,0.1952191235,505,0.5386138614
00000130_65500.txt,0.25,509,0.5166994106
00000130_70000.txt,0.218503937,516,0.5658914729
00000130_7500.txt,0.1507936508,509,0.5500982318
00000130_79500.txt,0.2342519685,510,0.5176470588
00000130_84000.txt,0.2848722986,511,0.4833659491
00000130_88500.txt,0.2594810379,504,0.4880952381
00000130_93000.txt,0.2642998028,511,0.446183953
00000130_97500.txt,0.1861386139,507,0.5049309665
00000133_39000.txt,0.1970649895,479,0.5720250522
00000133_43500.txt,0.2510373444,483,0.5155279503
00000133_5500.txt,0.2092050209,478,0.5523012552
00000134_1000.txt,0.2836734694,499,0.5871743487
00000134_14000.txt,0.2245762712,473,0.5369978858
00000134_18500.txt,0.1983471074,488,0.5635245902
00000134_23000.txt,0.2188139059,498,0.562248996
00000134_27500.txt,0.187755102,497,0.629778672
00000134_32000.txt,0.2470355731,507,0.5443786982
00000134_36500.txt,0.2282157676,488,0.5573770492
00000134_41000.txt,0.1649694501,498,0.6004016064
00000134_45500.txt,0.2408163265,494,0.5546558704
00000134_5000.txt,0.2258726899,487,0.501026694
00000134_54500.txt,0.244488978,497,0.5613682093
00000134_86000.txt,0.152917505,497,0.5633802817
00000134_90500.txt,0.2443991853,493,0.5760649087
00000134_95000.txt,0.2028985507,488,0.6086065574
00000145_1.txt,0.1318458418,494,0.5809716599
