STORY ID	PUB. DATE	CLASS	CHAR. (TOP 100)	NOUN (TOP 100)	CHAR. (TOP 500)	NOUN (TOP 500)	CHAR. (TOP 1000)	NOUN (TOP 1000)
22505	1986	c20	0.8624177291	0.6344412686	0.8152705102	0.7138629515	0.79894807	0.6940220938
22506	1986	c20	0.9570033507	0.9589600585	0.9325127699	0.9175713474	0.926529297	0.8993255462
22507	1986	c20	0.4484196503	0.7844645406	0.5925296272	0.733861241	0.5622153854	0.7027568882
22508	1986	c20	0.5149371723	0.9748243359	0.5224491315	0.9242545166	0.5132638801	0.9119296686
22509	1986	c20	0.9424639696	0.7977240352	0.9101922796	0.6648414563	0.9002661142	0.6294407456
22510	1986	c20	0.4227161101	0.40730654	0.3634193427	0.3349453174	0.353009124	0.2660905782
22511	1986	c20	0.7426230807	0.4042260417	0.6682204484	0.3464101615	0.6500421185	0.310252614
22512	1986	c20	0.8529643271	0.1754116039	0.7958424744	0.1174440439	0.7800736746	0.0980580676
22513	1986	c20	0.9578498702	0.9653780839	0.9300064304	0.9523740597	0.9175906444	0.9443781548
22514	1986	c20	0.912901352	0.5499719409	0.8844215737	0.7016596432	0.8698302307	0.655899471
22515	1986	c20	0.5875027104	0.9406864696	0.55269183	0.9260773792	0.5170904206	0.92115305
22517	1986	c20	0.4075802176	0.7302967433	0.4165201101	0.5901671065	0.3967592225	0.581914374
22518	1986	c20	0.4489646318	0.9622504486	0.397698684	0.3282660821	0.3942487987	0.3125
22519	1986	c20	0.8361049002	0.8208006479	0.7854486553	0.7365632116	0.7706386315	0.6943650748
22520	1986	c20	0.8774729083	0.7236147663	0.8278673014	0.7049509856	0.8152174715	0.7017090438
22521	1986	c20	0.9419369304	0.874299664	0.9223557535	0.8302534031	0.9152057344	0.7986511274
22522	1986	c20	0.8615395373	0.9587641863	0.8017173171	0.9036961141	0.7848573995	0.8767944302
22523	1986	c20	0.9573979325	0.2385593618	0.9416410951	0.1842885351	0.9313442564	0.1594732302
22524	1986	c20	0.7919207147	0.4882084162	0.7380973948	0.4693396641	0.7143734767	0.4415429902
22525	1986	c20	0.826570624	0.9549380897	0.7940804732	0.9180969399	0.7740131095	0.8842199499
22526	1986	c20	0.703763468	0.1889822365	0.6031221858	0.1005037815	0.5780884007	0.0936585812
22527	1986	c20	0.5159866456	0.9750239578	0.5179345063	0.9689901964	0.4769560817	0.962753942
22528	1986	c20	0.5545335946	0.9676514687	0.4811151229	0.9527102153	0.4718879176	0.9482052235
22529	1986	c20	0.4703921461	0.8705715001	0.3972239737	0.7842457028	0.3714738639	0.7715957491
22530	1986	c20	0.8937737293	0.8533878207	0.8641817813	0.7659069061	0.8556388477	0.742940239
22531	1986	c20	0.8833437353	0.7742960066	0.8045790555	0.7525052287	0.7887755601	0.7459254211
22532	1986	c20	0.5909769296	0.7904287792	0.5155315725	0.5589011301	0.5004494706	0.5501120807
22533	1986	c20	0.8121398346	0	0.7464094569	0	0.7234713264	0
22534	1986	c20	0.8865565661	0.8022955571	0.8543306539	0.7245587741	0.8434224159	0.6795208855
22535	1986	c20	0.4190990672	0.3491486244	0.291662188	0.3030457634	0.2802018413	0.8781504811
22537	1986	c20	0.834981904	0.9657558961	0.7879222936	0.910822584	0.7561914851	0.8916279684
22538	1986	c20	0.8929857896	0.9020060382	0.8426731616	0.7743567198	0.8275606514	0.7396379954
22539	1986	c20	0.74297317	0.8907453228	0.7210819997	0.8041975307	0.7153159537	0.7806658856
22540	1986	c20	0.8232048097	0.946121299	0.7898863176	0.9033320386	0.7813058794	0.886435039
22541	1986	c20	0.872097711	0.4131969353	0.8258890315	0.3582189303	0.8113563286	0.3636363636
22542	1986	c20	0.5061027286	0.7137004021	0.4499866237	0.6067853925	0.4298876133	0.6033901246
22543	1986	c20	0.6355783001	0.6501185395	0.5775779723	0.5709643166	0.5612552125	0.5573590494
22544	1986	c20	0.741058424	0.9457400856	0.6786182826	0.8310286972	0.6620489388	0.8036262566
22545	1986	c20	0.2318780754	0	0.1427843123	0	0.1530750246	0
22546	1986	c20	0.8807574808	0.5050803578	0.8365771651	0.4305308248	0.8212084249	0.4080073365
22547	1986	c20	0.9439446763	0.9725436337	0.9251644316	0.9499093015	0.9181728167	0.9457009892
22548	1986	c20	0.9256874267	0.6341382826	0.8896705995	0.6082719222	0.8755617693	0.6078363436
22549	1986	c20	0.9081626892	0.9773466175	0.8780378814	0.9344310521	0.867440191	0.9258343084
22550	1986	c20	0.6955122193	0.8164965809	0.6194613405	0.3333333333	0.600669153	0.3333333333
22551	1986	c20	0.7329402173	0	0.6748478859	0	0.6627266496	0.2750095491
22552	1986	c20	0.839341477	0.5500190982	0.7946776071	0.4082482905	0.7822774068	0.4107919181
22553	1986	c20	0.8732699694	0.2535462764	0.8033126369	0.5567022143	0.7772745629	0.4651302547
22554	1986	c20	0.667492618	0.6237085737	0.5964989077	0.4941662111	0.5544229663	0.4671418359
22555	1986	c20	0.9373310398	0.1508628573	0.9090295797	0.0965890577	0.8938891058	0.0933520056
22557	1986	c20	0.879029023	0	0.8534660514	0	0.8435480703	0
22558	1986	c20	0.8349770362	0.6735753141	0.7961977704	0.2998537655	0.7877865848	0.2920105653
22559	1986	c20	0.7356940747	0.1400280084	0.686369417	0.1104315261	0.6728208072	0.0729324957
22560	1986	c20	0.7074523013	0.625	0.6494443134	0.510952308	0.5949584026	0.4773960376
22561	1986	c20	0.7293079292	0.4422982474	0.6829602816	0.3951444425	0.6613962962	0.3847399085
22562	1986	c20	0.9144514103	0.4299446183	0.8800444349	0.3713374749	0.8682834594	0.3433408205
22563	1986	c20	0.4899002676	0.6687338551	0.3402112095	0.5533985905	0.3255004557	0.5229763604
22564	1986	c20	0.7077315332	0.7351470441	0.6257536952	0.5902626818	0.6039140891	0.6073032227
22565	1986	c20	0.3638034376	0	0.2105587219	0.5	0.1643989873	0.5
22566	1986	c20	0.850935519	0.7098937888	0.8160078684	0.6511985549	0.8044133686	0.6394131436
22567	1986	c20	0.8686329126	0.6115928397	0.8167983033	0.5901769086	0.7996520439	0.6237235573
22568	1986	c20	0.7506576196	0.7758801774	0.711946029	0.606910985	0.6893686568	0.5543478937
22569	1986	c20	0.9205689435	0.9327453726	0.8830836233	0.8646884471	0.8690287742	0.8267633433
22570	1986	c20	0.9311104129	0.7071067812	0.8892482615	0.7071067812	0.8774212754	0.6804138174
22571	1986	c20	0.7045088099	0.6353380872	0.6264004743	0.5025189076	0.6002127265	0.3957898639
22572	1986	c20	0.8692807315	0.596284794	0.8350406817	0.4358550273	0.8228364886	0.3866801406
22573	1986	c20	0.8695909684	0.7127409859	0.7910313515	0.575987643	0.7792155597	0.4996451003
22574	1986	c20	0.8584553525	0	0.797975059	0	0.7727227673	0
22575	1986	c20	0.8193975023	0.7961672128	0.7526721212	0.755917702	0.7238998603	0.7412407634
22577	1986	c20	0.9132044943	0	0.8837818924	0	0.8684843135	0
22578	1986	c20	0.7385009928	0.954343194	0.6058143439	0.8901294985	0.5715040851	0.8755341431
22579	1986	c20	0.8386984276	0.2041241452	0.7587566584	0.2142857143	0.7359767784	0.2434322478
22580	1986	c20	0.6785072508	0.8612538776	0.6211624856	0.7744821094	0.5950960384	0.7142749325
22581	1986	c20	0.9050804431	0	0.8761665662	0.0239731651	0.8660256047	0.0827605889
22582	1986	c20	0.7914233998	0.2545596462	0.7772510722	0.205499963	0.7694981008	0.2020899209
22583	1986	c20	0.8321545909	0.8639455782	0.7737908219	0.8219228549	0.7489457984	0.7990718659
22584	1986	c20	0.9397203486	0.9804467043	0.9207143671	0.9571351309	0.9106156491	0.938695866
22585	1986	c20	0.6795208644	0.6639528096	0.6722983851	0.5237229366	0.6503879461	0.5003432887
