"","feature.list","a.median","b.median","ratio","diff","wilcox.p"
"3","Sixltr",15.82,18.0608,-1.14164348925411,-2.2408,2.07581662985307e-16
"25","quant",2.1,2.4062,-1.14580952380952,-0.3062,1.06819374539441e-13
"76","Dash",0.819999999999999,0.972399999999999,-1.18585365853659,-0.1524,0.042160675370071
"34","negemo",1.74,2.1036,-1.20896551724138,-0.3636,2.90664589893763e-13
"43","certain",1.22,1.4985,-1.22827868852459,-0.2785,3.31132589876913e-16
"35","anx",0.37,0.4731,-1.27864864864865,-0.1031,1.39336462358609e-14
"71","Comma",6.62,8.5009,-1.28412386706948,-1.8809,4.86607132433857e-34
"61","achieve",0.959999999999998,1.2478,-1.29979166666667,-0.2878,1.30422195512552e-23
"32","affect",4.19,5.7654,-1.37599045346062,-1.5754,6.29942335260091e-47
"31","humans",0.87,1.2439,-1.42977011494253,-0.3739,4.01825550426117e-15
"20","future",0.849999999999999,1.2598,-1.48211764705882,-0.4098,7.55202297501954e-34
"68","nonfl",0.0999999999999998,0.1493,-1.493,-0.0492999999999999,4.26681047038876e-20
"33","posemo",2.36000000000001,3.594,-1.5228813559322,-1.234,4.32314779290919e-52
"37","sad",0.420000000000001,0.6619,-1.57595238095238,-0.2419,1.72953701420551e-37
"1","WC",88723,144828.65,-1.63236872062487,-56105.65,3.51500741253479e-16
"5","Numerals",0.0599999999999999,0.1026,-1.71,-0.0426,8.64959998176648e-05
"30","friend",0.13,0.2236,-1.72,-0.0935999999999999,2.58476213051673e-27
"2","WPS",12.25,21.9963,-1.79561632653061,-9.7463,2.60246094576584e-50
"65","relig",0.260000000000001,0.4957,-1.90653846153846,-0.2357,7.31832274523303e-22
"79","Parenth",0.02,0.0489999999999999,-2.45,-0.029,2.87195886349255e-06
"75","Exclam",0.11,0.404,-3.67272727272727,-0.294,3.75843587734076e-36
"73","SemiC",0.0899999999999999,1.0166,-11.2955555555556,-0.9266,2.06335001658025e-62
"80","OtherP",0.01,0.4581,-45.81,-0.4481,4.73920035325287e-24
